element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
483,8,20,1,True,2020-09-14T17:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,2,0,12,18.2,0.0,0.0,1.8,50,0,462939,0,0
483,10,2,2,False,2020-09-21T17:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,1,0,10,11.2,0.0,0.0,1.1,50,-41600,440147,15075,56675
483,25,10,4,True,2020-09-27T11:00:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,7,0,26,42.0,10.0,0.0,5.2,50,-66442,377916,9045,75487
483,29,1,2,False,2020-10-04T13:00:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,3,0,13,18.6,0.0,2.0,2.1,50,-45840,335363,3387,49227
483,46,8,3,True,2020-10-18T11:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,5,0,18,27.8,0.0,0.0,2.8,50,-26830,320507,21356,48186
483,54,11,2,False,2020-10-24T19:00:00Z,2,1,6,90,0,0,0,2,0,0,0,0,0,3,0,14,21.8,0.0,0.0,2.2,49,-47258,266742,2333,49591
483,66,12,4,True,2020-10-31T12:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,7,0,24,44.0,0.0,0.0,4.4,49,-24585,244340,1547,26132
483,71,5,2,False,2020-11-07T17:30:00Z,4,1,8,90,0,0,0,4,0,0,0,0,0,6,0,17,30.8,0.0,0.0,3.1,49,-12557,232343,1946,14503
483,86,19,2,True,2020-11-22T14:00:00Z,0,1,9,90,0,0,0,1,0,0,0,0,0,2,0,12,18.2,0.0,0.0,1.8,48,-16255,216545,2690,18945
483,97,18,3,False,2020-11-28T20:00:00Z,1,0,10,90,0,0,0,1,0,0,0,0,0,5,0,18,35.2,0.0,0.0,3.5,48,-6816,211796,3890,10706
483,105,9,1,True,2020-12-06T14:15:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,2,0,13,17.2,0.0,2.0,1.9,48,-13532,197031,1229,14761
483,117,16,2,False,2020-12-13T12:00:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,3,0,20,25.0,0.0,0.0,2.5,48,-9663,188768,1160,10823
483,124,13,2,True,2020-12-17T20:00:00Z,2,3,13,90,0,0,0,3,0,0,0,0,0,4,0,15,26.6,0.0,0.0,2.7,47,-9641,179375,403,10044
483,129,3,2,False,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,1,0,3,0,12,20.2,0.0,0.0,2.0,47,-6437,173530,1604,8041
483,146,7,2,True,2020-12-26T20:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,2,0,12,10.8,0.0,0.0,1.1,47,-7748,165780,1216,8964
483,150,4,2,False,2020-12-29T18:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,2,0,12,17.2,0.0,0.0,1.7,47,-4880,161426,2134,7014
483,162,6,1,False,2021-01-02T15:00:00Z,2,0,17,90,0,0,0,2,0,0,0,0,0,2,0,13,15.8,0.0,0.0,1.6,47,-4674,156955,2030,6704
483,174,14,9,True,2021-01-12T18:00:00Z,1,0,18,90,0,0,1,0,0,0,0,0,0,3,2,28,19.4,0.0,0.0,1.9,47,2975,199026,13461,10486
483,186,17,1,True,2021-01-17T14:00:00Z,1,3,19,90,0,0,0,3,0,0,0,0,0,2,0,11,10.2,0.0,0.0,1.0,47,-8191,149730,1915,10106
483,192,13,3,False,2021-01-27T20:15:00Z,1,2,20,90,0,0,0,1,0,0,0,0,0,3,0,16,20.0,0.0,0.0,2.0,46,-4745,148083,1910,6655
483,205,12,3,False,2021-01-30T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,0,0,4,0,16,30.2,0.0,0.0,3.0,46,-1873,146445,1817,3690
483,214,18,3,True,2021-02-02T18:00:00Z,2,1,22,90,0,0,0,1,0,0,0,0,0,3,0,15,26.0,0.0,0.0,2.6,46,3544,150690,6386,2842
483,226,5,1,True,2021-02-07T19:15:00Z,1,2,23,90,0,0,0,2,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,46,-3147,147723,2300,5447
483,238,19,3,False,2021-02-15T18:00:00Z,3,0,24,90,0,0,0,3,0,0,0,0,0,6,0,21,37.8,0.0,0.0,3.8,46,-3746,143844,1644,5390
