element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
313,15,6,0,True,2020-09-19T16:30:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,59156,865810,118395,59239
313,19,3,1,False,2020-09-26T11:30:00Z,2,3,3,90,0,0,0,2,0,0,0,0,0,0,0,14,16.2,1.2,0.0,1.7,55,-123785,759590,34697,158482
313,35,17,-1,True,2020-10-04T15:30:00Z,1,6,4,90,0,0,0,6,0,0,0,0,0,0,0,13,27.0,3.1,2.0,3.2,54,-106230,668279,9167,115397
313,45,14,8,False,2020-10-17T19:00:00Z,1,4,5,90,1,0,0,1,0,0,0,0,0,0,0,26,52.2,23.8,42.0,11.8,54,-94333,584766,10097,104430
313,55,5,6,True,2020-10-24T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,28,17.0,4.2,0.0,2.1,54,6338,606360,34222,27884
313,64,1,2,True,2020-11-01T16:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,0,0,8,3.8,3.3,4.0,1.1,54,32323,650958,47820,15497
313,73,7,2,False,2020-11-07T12:30:00Z,1,3,8,90,0,0,0,1,0,0,0,0,0,0,0,6,11.6,1.6,0.0,1.3,54,-7702,646278,23417,31119
313,84,18,8,True,2020-11-21T20:00:00Z,1,0,9,90,0,0,1,0,0,0,0,0,0,0,2,31,17.4,14.8,2.0,3.4,54,27252,698777,58258,31006
313,96,16,1,False,2020-11-29T14:00:00Z,2,3,10,90,0,0,0,2,0,0,0,0,0,0,0,15,18.8,16.4,0.0,3.5,54,-29575,655146,16942,46517
313,108,19,2,False,2020-12-05T17:30:00Z,1,3,11,90,0,0,0,1,0,0,0,0,0,0,0,24,30.6,12.6,0.0,4.3,54,-7909,654648,20350,28259
313,115,12,6,True,2020-12-12T17:30:00Z,0,0,12,90,0,0,1,0,0,0,0,0,0,0,0,25,20.8,1.0,0.0,2.2,54,-25100,631254,8782,33882
313,124,15,1,False,2020-12-17T20:00:00Z,2,3,13,90,0,0,0,2,0,0,0,0,0,0,0,10,16.0,3.1,2.0,2.1,54,24179,665611,34384,10205
313,134,10,1,True,2020-12-20T16:30:00Z,6,2,14,90,0,0,0,2,0,0,0,0,0,0,0,11,34.8,0.4,0.0,3.5,54,-11740,650952,11590,23330
313,143,9,0,False,2020-12-26T12:30:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-66098,584362,6572,72670
313,154,20,6,True,2020-12-29T20:00:00Z,1,0,16,90,0,0,1,0,0,0,0,0,0,0,0,24,10.4,6.0,0.0,1.6,54,-44196,542510,648,44844
313,164,2,6,True,2021-01-01T20:00:00Z,2,1,17,90,0,1,0,1,0,0,0,0,0,0,1,31,43.8,26.2,2.0,7.2,53,11330,557599,27750,16420
313,379,4,6,False,2021-01-12T20:15:00Z,0,1,18,90,0,0,1,0,0,0,0,0,0,0,0,24,22.0,13.5,0.0,3.6,53,179792,1068633,217150,37358
313,184,11,6,False,2021-01-17T16:30:00Z,0,0,19,90,0,0,1,0,0,0,0,0,0,0,0,22,20.2,1.1,2.0,2.3,54,19541,760075,53484,33943
313,171,8,2,False,2021-01-20T20:15:00Z,1,2,19,90,0,0,0,1,0,0,0,0,0,0,0,14,22.8,21.0,6.0,5.0,54,19541,760075,53484,33943
313,192,15,1,True,2021-01-27T20:15:00Z,1,2,20,90,0,0,0,2,0,0,0,0,0,0,0,16,19.8,38.5,10.0,6.8,54,47753,814560,75270,27517
313,199,1,8,False,2021-01-30T17:30:00Z,0,0,21,90,0,0,1,0,0,0,0,1,0,0,3,32,27.2,28.3,6.0,6.2,54,-33749,780782,13524,47273
313,213,16,17,True,2021-02-02T20:15:00Z,9,0,22,90,1,1,1,0,0,0,0,0,0,0,2,53,45.4,6.4,37.0,8.9,54,40041,826337,51121,11080
