element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
512,4,17,3,False,2020-09-13T15:30:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,20,20.4,44.6,4.0,6.9,55,0,143040,0,0
512,12,18,1,True,2020-09-19T11:30:00Z,5,2,2,64,0,0,0,2,0,0,0,1,0,0,0,13,6.4,2.7,0.0,0.9,55,9014,172602,34383,25369
512,21,6,2,False,2020-09-26T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,12,14.6,4.7,33.0,5.2,55,-43447,130294,7437,50884
512,32,3,5,True,2020-10-03T14:00:00Z,4,2,4,90,0,1,0,2,0,0,0,0,0,0,0,29,32.4,34.8,2.0,6.9,55,-14841,119765,8995,23836
512,41,11,2,True,2020-10-17T11:30:00Z,2,2,5,77,0,0,0,2,0,0,0,0,0,0,0,9,7.0,10.9,8.0,2.6,54,-13885,108798,9049,22934
512,56,16,1,False,2020-10-25T14:00:00Z,2,0,6,57,0,0,0,2,0,0,0,0,0,0,0,7,3.6,2.8,10.0,1.6,54,-9583,101034,4851,14434
512,65,14,1,False,2020-11-01T14:00:00Z,2,1,7,90,0,0,0,2,0,0,0,1,0,0,0,13,16.2,3.6,35.0,5.5,54,-8040,94028,2723,10763
512,73,13,1,True,2020-11-07T12:30:00Z,1,3,8,90,0,0,0,3,0,0,0,1,0,0,0,8,10.0,4.8,23.0,3.8,53,-9127,85160,1458,10585
512,81,8,9,False,2020-11-22T12:00:00Z,2,3,9,90,1,0,0,2,0,0,0,0,0,0,2,43,54.2,14.4,33.0,10.2,53,-7885,77615,1852,9737
512,93,10,2,True,2020-11-28T17:30:00Z,0,1,10,90,0,0,0,1,0,0,0,0,0,0,0,8,11.4,5.9,19.0,3.6,53,8449,88271,11709,3260
512,101,4,2,False,2020-12-05T12:30:00Z,1,1,11,80,0,0,0,1,0,0,0,0,0,0,0,16,13.0,24.3,8.0,4.5,53,-768,87457,6553,7321
512,111,5,2,True,2020-12-12T20:00:00Z,1,0,12,90,0,0,1,0,0,0,0,1,0,0,0,3,15.4,2.3,0.0,1.8,53,-4890,82413,2583,7473
512,123,9,3,False,2020-12-16T18:00:00Z,0,2,13,90,0,0,1,0,0,0,0,0,0,0,0,19,11.8,2.3,8.0,2.2,53,-2506,80253,1828,4334
512,133,1,2,True,2020-12-19T17:30:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,12,9.6,3.0,0.0,1.3,53,-1091,79540,3113,4204
512,146,15,6,False,2020-12-26T20:00:00Z,0,1,15,90,0,1,1,0,0,0,0,0,0,0,0,18,21.8,13.3,4.0,3.9,53,-1503,78512,3763,5266
512,163,19,2,True,2021-01-01T17:30:00Z,0,1,17,90,0,0,0,1,0,0,0,0,0,0,0,16,10.8,11.6,11.0,3.3,53,-532,77942,3133,3665
512,176,20,1,False,2021-01-12T20:15:00Z,1,2,18,90,0,0,0,1,0,0,0,1,0,0,0,9,7.0,2.8,4.0,1.4,53,-462,83495,5840,6302
512,191,9,0,True,2021-01-27T20:15:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-9225,58746,51,9276
512,203,14,2,True,2021-01-30T12:30:00Z,0,2,21,90,0,0,0,2,0,0,0,0,0,0,0,17,21.0,24.3,4.0,4.9,52,-2064,56889,264,2328
512,212,10,2,False,2021-02-03T19:30:00Z,1,2,22,90,0,0,0,1,0,0,0,0,0,0,0,23,15.8,24.8,2.0,4.3,52,-848,56125,310,1158
512,224,13,10,False,2021-02-06T20:00:00Z,3,3,23,80,1,1,0,3,0,0,0,0,0,0,0,33,53.2,11.0,35.0,9.9,52,-1006,55200,337,1343
512,233,8,2,True,2021-02-14T19:00:00Z,0,2,24,90,0,0,0,2,0,0,0,0,0,0,0,9,9.4,3.1,0.0,1.3,52,23030,82664,26198,3168
512,153,12,1,True,2021-02-17T20:15:00Z,1,3,24,90,0,0,0,3,0,0,0,1,0,0,0,9,5.6,2.4,4.0,1.2,52,23030,82664,26198,3168
