element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
190,2,1,2,True,2020-09-12T11:30:00Z,0,3,1,62,0,0,0,3,0,0,0,0,0,0,0,-2,0.0,1.8,5.0,0.2,50,0,6711,0,0
190,13,10,1,False,2020-09-19T14:00:00Z,4,3,2,57,0,0,0,4,0,0,0,0,0,0,0,3,0.6,2.0,2.0,0.5,50,174,9228,2197,2023
190,22,2,0,True,2020-09-28T16:45:00Z,0,3,3,51,0,0,0,1,0,0,0,1,0,0,0,1,6.0,37.4,0.0,4.3,50,-1099,8392,1028,2127
190,38,20,1,False,2020-10-04T13:00:00Z,1,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0.8,25.0,3.0,50,-1097,7527,455,1552
190,46,15,0,False,2020-10-18T11:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1236,6439,210,1446
190,53,6,-2,True,2020-10-24T14:00:00Z,1,2,6,21,0,0,0,0,0,0,0,0,1,0,0,-6,0.0,1.3,0.0,0.0,49,-709,5861,131,840
190,61,18,0,True,2020-11-02T17:30:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1145,4727,32,1177
190,78,19,0,False,2020-11-07T20:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-577,4176,30,607
190,81,7,0,True,2020-11-22T12:00:00Z,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-362,3827,108,470
190,94,9,0,False,2020-11-30T17:30:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-116,3765,78,194
190,104,12,1,False,2020-12-05T15:00:00Z,2,0,11,19,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,48,-96,3702,63,159
190,112,11,1,True,2020-12-13T16:30:00Z,1,1,12,16,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,0.8,0.0,0.0,48,-52,3685,60,112
190,121,3,1,True,2020-12-16T20:00:00Z,0,0,13,28,0,0,0,0,0,0,0,0,0,0,0,6,2.4,0.3,0.0,0.3,48,0,3708,74,74
190,135,14,0,False,2020-12-19T20:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-24,3703,58,82
190,141,16,0,True,2020-12-26T15:00:00Z,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-45,3708,89,134
190,157,17,1,False,2021-01-13T20:15:00Z,1,1,18,4,0,0,0,0,0,0,0,0,0,0,0,3,2.0,10.6,0.0,1.3,48,-27,3736,120,147
190,181,5,1,True,2021-01-16T17:30:00Z,0,1,19,7,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.5,7.0,1.1,48,10,3693,104,94
190,171,13,1,True,2021-01-20T20:15:00Z,1,2,19,19,0,0,0,0,0,0,0,0,0,0,0,6,4.4,21.0,0.0,2.5,48,10,3693,104,94
190,189,3,0,False,2021-01-27T19:30:00Z,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-70,3643,67,137
190,207,18,0,False,2021-01-30T15:00:00Z,2,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-63,3598,28,91
190,211,9,0,True,2021-02-03T18:00:00Z,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-75,3533,23,98
190,221,19,0,True,2021-02-06T17:30:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-145,3387,0,145
190,233,7,0,False,2021-02-14T19:00:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-108,3278,0,108
190,160,4,0,False,2021-02-17T18:00:00Z,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-108,3278,0,108
