element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
465,8,15,3,False,2020-09-14T17:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,6,12.8,1.8,17.0,3.2,65,0,1189095,0,0
465,18,12,2,True,2020-09-21T19:15:00Z,1,3,2,90,0,0,0,3,0,0,0,0,0,0,0,17,25.6,39.2,2.0,6.7,65,-102740,1192596,59207,161947
465,28,19,2,False,2020-09-27T18:00:00Z,4,0,3,61,0,0,0,2,0,0,0,0,0,0,0,9,7.8,8.3,0.0,1.6,65,-150445,1079344,66003,216448
465,38,8,1,True,2020-10-04T13:00:00Z,1,0,4,8,0,0,0,0,0,0,0,0,0,0,0,3,4.0,0.1,0.0,0.4,65,-79097,1025920,66904,146001
465,42,10,1,False,2020-10-19T19:00:00Z,0,1,5,25,0,0,0,0,0,0,0,0,0,0,0,5,3.4,10.3,0.0,1.4,64,-190973,842684,22727,213700
465,58,14,1,True,2020-10-25T16:30:00Z,1,1,6,22,0,0,0,1,0,0,0,0,0,0,0,4,4.2,10.8,4.0,1.9,64,-105668,749359,14567,120235
465,68,6,1,True,2020-10-30T20:00:00Z,2,0,7,14,0,0,0,0,0,0,0,0,0,0,0,2,3.0,0.0,21.0,2.4,63,-91919,665159,8945,100864
465,74,9,1,False,2020-11-08T14:00:00Z,1,0,8,30,0,0,0,0,0,0,0,0,0,0,0,3,1.6,3.8,2.0,0.7,63,-88734,578447,3901,92635
465,88,16,1,True,2020-11-23T20:00:00Z,1,1,9,90,0,0,0,1,0,0,0,1,0,0,0,5,12.4,11.9,13.0,3.7,62,-57397,524031,4662,62059
465,89,1,1,False,2020-11-29T19:15:00Z,1,2,10,90,0,0,0,1,0,0,0,1,0,0,0,6,6.8,36.0,8.0,5.1,62,-24615,503060,4133,28748
465,103,11,2,False,2020-12-06T19:15:00Z,4,0,11,90,0,0,0,4,0,0,0,0,0,0,0,10,13.0,43.5,12.0,6.9,62,-23593,480840,5119,28712
465,118,2,1,True,2020-12-12T12:30:00Z,0,1,12,90,0,0,0,1,0,0,0,1,0,0,0,6,11.6,26.6,17.0,5.5,62,-12913,470497,6630,19543
465,126,5,1,True,2020-12-15T18:00:00Z,2,1,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.7,20.0,2.1,61,-8830,462552,5628,14458
465,130,4,1,False,2020-12-21T17:30:00Z,2,1,14,30,0,0,0,0,0,0,0,0,0,0,0,9,15.4,44.9,0.0,6.0,61,-10732,452687,4815,15547
465,148,17,2,True,2020-12-27T19:15:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,7,7.0,25.4,6.0,3.8,61,-14938,438679,3811,18749
465,154,13,2,False,2020-12-29T20:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,6,7.0,23.1,24.0,5.4,61,-6085,433719,1948,8033
465,159,3,5,False,2021-01-02T17:30:00Z,3,3,17,90,0,1,0,3,0,0,0,0,0,0,0,28,22.0,30.2,6.0,5.8,61,-5092,429615,4446,9538
465,176,7,0,True,2021-01-12T20:15:00Z,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-69,442590,12698,12767
465,188,18,2,True,2021-01-16T12:30:00Z,2,3,19,90,0,0,0,3,0,0,0,0,0,0,0,12,18.0,38.8,33.0,9.0,61,-10745,420042,1379,12124
465,194,5,3,False,2021-01-27T18:00:00Z,0,0,20,89,0,0,1,0,0,0,0,0,0,0,0,8,6.4,10.8,0.0,1.7,61,-8086,414136,2186,10272
465,202,6,1,False,2021-01-30T15:00:00Z,1,0,21,27,0,0,0,0,0,0,0,0,0,0,0,3,4.4,1.4,4.0,1.0,60,-4866,409954,1135,6001
465,215,1,2,True,2021-02-02T18:00:00Z,2,1,22,90,0,0,0,1,0,0,0,0,0,0,0,11,11.6,17.2,0.0,2.9,60,-4747,405731,943,5690
465,228,9,3,True,2021-02-07T14:00:00Z,0,0,23,90,0,0,1,0,0,0,0,0,0,0,0,14,17.4,38.6,26.0,8.2,60,-4870,401517,1006,5876
465,236,16,2,False,2021-02-14T12:00:00Z,1,2,24,90,0,0,0,1,0,0,0,0,0,0,0,8,11.0,13.5,14.0,3.9,60,-5207,396927,1077,6284
465,248,10,6,True,2021-02-19T20:00:00Z,1,0,25,90,0,1,1,0,0,0,0,0,0,0,0,7,4.4,14.8,17.0,3.6,60,-3082,394719,1852,4934
465,255,14,4,False,2021-02-27T20:00:00Z,1,1,26,90,0,0,0,1,0,0,0,0,0,0,2,26,32.0,51.9,52.0,13.6,60,626,396505,4820,4194
465,284,12,2,False,2021-03-02T20:00:00Z,4,1,26,90,0,0,0,4,0,0,0,0,0,0,0,10,8.6,2.9,30.0,4.2,60,626,396505,4820,4194
465,259,2,3,False,2021-03-06T17:30:00Z,0,0,27,90,0,0,1,0,0,0,0,0,0,0,0,5,6.8,13.5,0.0,2.0,60,-867,396225,3229,4096
465,278,11,2,True,2021-03-15T20:00:00Z,0,1,28,90,0,0,0,1,0,0,0,0,0,0,0,10,15.2,32.3,17.0,6.5,60,-1982,394748,2350,4332
