element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
557,38,20,1,False,2020-10-04T13:00:00Z,1,0,4,23,0,0,0,0,0,0,0,0,0,0,0,9,11.2,12.8,2.0,2.6,50,380,436,430,50
557,46,15,10,False,2020-10-18T11:00:00Z,1,1,5,90,1,0,0,1,0,0,0,0,0,0,3,32,55.6,39.9,44.0,14.0,50,1074,1730,1566,492
557,53,6,2,True,2020-10-24T14:00:00Z,1,2,6,90,0,0,0,2,0,0,0,0,0,0,0,-1,9.0,22.0,41.0,7.2,50,21516,26493,24877,3361
557,61,18,2,True,2020-11-02T17:30:00Z,2,0,7,89,0,0,1,0,0,0,0,1,0,0,0,6,10.2,25.1,42.0,7.7,50,12126,38279,15643,3517
557,78,19,0,False,2020-11-07T20:00:00Z,1,0,8,90,0,0,0,1,0,0,1,0,0,0,0,2,13.6,15.4,28.0,5.7,50,-619,37428,5845,6464
557,81,7,5,True,2020-11-22T12:00:00Z,2,3,9,90,0,1,0,3,0,0,0,0,0,0,0,26,30.8,35.0,16.0,8.2,50,-4582,32700,3565,8147
557,94,9,9,False,2020-11-30T17:30:00Z,1,2,10,89,1,0,0,1,0,0,0,0,0,0,2,21,45.0,12.3,47.0,10.4,50,-584,32601,3077,3661
557,104,12,2,False,2020-12-05T15:00:00Z,2,0,11,90,0,0,0,2,0,0,0,0,0,0,0,1,1.0,4.9,22.0,2.8,50,9432,43363,13479,4047
557,112,11,4,True,2020-12-13T16:30:00Z,1,1,12,87,0,1,0,1,0,0,0,1,0,0,0,13,30.6,25.8,9.0,6.5,50,7577,51041,12245,4668
557,121,3,3,True,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,8,17.6,14.2,62.0,9.4,50,50348,103500,53477,3129
557,135,14,2,False,2020-12-19T20:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,4,11.8,10.2,46.0,6.8,50,12932,115456,20598,7666
557,141,16,3,True,2020-12-26T15:00:00Z,0,0,15,89,0,0,1,0,0,0,0,0,0,0,0,10,14.2,38.7,35.0,8.8,50,6702,123126,20908,14206
557,157,17,4,False,2021-01-13T20:15:00Z,1,1,18,23,0,1,0,0,0,0,0,0,0,0,0,17,23.2,35.5,4.0,6.3,50,-12657,74364,9264,21921
557,181,5,1,True,2021-01-16T17:30:00Z,0,1,19,90,0,0,0,1,0,0,0,1,0,0,0,-2,3.6,7.7,26.0,3.7,50,6474,104589,22720,16246
557,171,13,7,True,2021-01-20T20:15:00Z,1,2,19,90,1,0,0,2,0,0,0,0,0,0,0,26,46.0,0.9,69.0,11.6,50,6474,104589,22720,16246
557,189,3,3,False,2021-01-27T19:30:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,13,16.0,64.1,10.0,9.0,50,7709,111211,24571,16862
557,207,18,2,False,2021-01-30T15:00:00Z,2,2,21,90,0,0,0,2,0,0,0,0,0,0,0,11,6.4,18.0,35.0,5.9,50,-11756,99519,9147,20903
557,211,9,2,True,2021-02-03T18:00:00Z,0,2,22,90,0,0,0,2,0,0,0,0,0,0,0,9,5.6,27.5,11.0,4.4,50,-13238,86484,3786,17024
557,221,19,3,True,2021-02-06T17:30:00Z,0,0,23,90,0,0,1,0,0,0,0,0,0,0,0,16,3.6,44.9,38.0,8.7,50,-7935,78839,5380,13315
557,233,7,3,False,2021-02-14T19:00:00Z,0,2,24,82,0,0,1,0,0,0,0,0,0,0,0,8,4.0,38.8,17.0,6.0,50,38074,133143,50289,12215
557,160,4,2,False,2021-02-17T18:00:00Z,1,1,24,90,0,0,0,1,0,0,0,0,0,0,0,11,9.4,31.4,10.0,5.1,50,38074,133143,50289,12215
