element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
568,45,14,0,False,2020-10-17T19:00:00Z,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,50001,62121,57981,7980
568,55,5,0,True,2020-10-24T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,25878,87906,35811,9933
568,64,1,0,True,2020-11-01T16:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-20025,67127,11760,31785
568,73,7,0,False,2020-11-07T12:30:00Z,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-15942,51625,1136,17078
568,84,18,6,True,2020-11-21T20:00:00Z,1,0,9,90,0,0,1,0,0,0,0,0,0,0,0,22,9.4,5.5,5.0,2.0,55,36105,97096,43517,7412
568,96,16,1,False,2020-11-29T14:00:00Z,2,3,10,83,0,0,0,2,0,0,0,0,0,0,0,17,30.0,34.3,0.0,6.4,55,34928,130818,39651,4723
568,108,19,5,False,2020-12-05T17:30:00Z,1,3,11,90,0,1,0,1,0,0,0,0,0,0,0,25,26.0,31.3,0.0,5.7,55,5439,135893,19724,14285
568,115,12,0,True,2020-12-12T17:30:00Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,2422,139318,14832,12410
568,124,15,1,False,2020-12-17T20:00:00Z,2,3,13,90,0,0,0,2,0,0,0,0,0,0,0,14,19.0,27.3,0.0,4.6,55,-15169,125416,5444,20613
568,134,10,1,True,2020-12-20T16:30:00Z,6,2,14,30,0,0,0,1,0,0,0,0,0,0,0,5,11.6,28.3,17.0,5.7,55,-7966,118180,4280,12246
568,143,9,0,False,2020-12-26T12:30:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-12851,106369,6195,19046
568,154,20,1,True,2020-12-29T20:00:00Z,1,0,16,45,0,0,0,0,0,0,0,0,0,0,0,9,1.6,7.1,0.0,0.9,55,-11304,96043,2747,14051
568,164,2,0,True,2021-01-01T20:00:00Z,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-9133,87725,3627,12760
568,379,4,0,False,2021-01-12T20:15:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-7948,84970,7665,15613
568,184,11,0,False,2021-01-17T16:30:00Z,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-9521,71557,879,10400
568,171,8,0,False,2021-01-20T20:15:00Z,1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-9521,71557,879,10400
568,192,15,7,True,2021-01-27T20:15:00Z,1,2,20,81,0,1,0,2,0,0,0,0,0,0,3,26,24.4,34.0,8.0,6.6,55,-10336,62741,1295,11631
568,199,1,0,False,2021-01-30T17:30:00Z,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-2828,60396,963,3791
568,213,16,0,True,2021-02-02T20:15:00Z,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-3131,57511,605,3736
568,224,7,0,True,2021-02-06T20:00:00Z,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-5850,51867,393,6243
568,237,18,0,False,2021-02-14T14:00:00Z,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3583,48651,528,4111
