element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
6,2,8,7,False,2020-09-12T11:30:00Z,0,3,1,86,1,0,1,0,0,0,0,0,0,0,1,29,38.6,12.7,48.0,9.9,85,0,196064,0,0
6,9,19,7,True,2020-09-19T19:00:00Z,2,1,2,76,1,0,0,1,0,0,0,0,0,0,1,29,33.0,5.7,31.0,7.0,85,59951,342387,93434,33483
6,23,11,7,False,2020-09-28T19:00:00Z,3,1,3,73,1,0,0,2,0,0,0,0,0,0,1,22,40.4,11.4,55.0,10.7,85,-21852,340935,47809,69661
6,29,15,0,True,2020-10-04T13:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,29347,395242,65917,36570
6,44,12,1,False,2020-10-17T16:30:00Z,1,0,5,21,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,85,-58733,339461,24370,83103
6,49,9,1,True,2020-10-25T19:15:00Z,0,1,6,90,0,0,0,1,0,0,0,1,0,0,0,-3,2.4,21.4,46.0,7.0,85,-55111,290288,7838,62949
6,64,13,2,False,2020-11-01T16:30:00Z,0,1,7,75,0,0,1,0,0,0,0,0,0,0,0,9,12.0,22.0,2.0,3.6,84,-38142,256783,3406,41548
6,69,2,2,True,2020-11-08T19:15:00Z,0,3,8,64,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.6,4.0,0.1,84,-5819,254990,16777,22596
6,82,10,0,False,2020-11-22T16:30:00Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-19270,237159,6786,26056
6,89,20,1,True,2020-11-29T19:15:00Z,1,2,10,9,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,2.0,0.2,83,-19886,218478,1759,21645
6,106,17,1,False,2020-12-06T16:30:00Z,2,0,11,90,0,0,0,2,0,0,0,1,0,0,0,5,12.8,15.1,55.0,8.3,83,-12057,207878,4397,16454
6,109,4,1,True,2020-12-13T19:15:00Z,0,1,12,59,0,0,0,0,0,0,0,0,0,0,0,1,7.6,22.1,23.0,5.3,83,-3653,206347,7466,11119
6,119,16,0,True,2020-12-16T18:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-7281,199418,2375,9656
6,133,7,1,False,2020-12-19T17:30:00Z,2,1,14,14,0,0,0,0,0,0,0,0,0,0,0,6,3.2,10.3,12.0,2.6,82,-8941,191024,978,9919
6,139,5,8,True,2020-12-26T17:30:00Z,3,1,15,90,1,0,0,1,0,0,0,0,0,0,2,28,37.8,4.9,40.0,8.3,82,-7144,184930,1896,9040
6,149,3,7,False,2020-12-29T18:00:00Z,0,1,16,24,1,0,0,0,0,0,0,0,0,0,2,30,33.6,0.4,17.0,5.1,82,22976,210136,25879,2903
6,168,18,12,False,2021-01-02T20:00:00Z,0,4,17,90,2,0,1,0,0,0,0,0,0,0,2,53,87.6,32.3,95.0,21.5,82,44034,256906,52898,8864
6,169,6,2,True,2021-01-14T20:00:00Z,0,0,18,80,0,0,1,0,0,0,0,0,0,0,0,7,0.4,3.8,6.0,1.0,83,277285,1080368,315381,38096
6,179,14,2,True,2021-01-18T20:00:00Z,3,0,19,90,0,0,1,0,0,0,0,0,0,0,0,5,18.8,24.6,62.0,10.5,83,-56037,443811,61342,117379
6,197,16,11,False,2021-01-26T20:15:00Z,1,3,20,90,1,1,0,1,0,0,0,0,0,0,2,37,52.4,16.1,56.0,12.5,83,13212,490598,92457,79245
6,199,13,2,True,2021-01-30T17:30:00Z,0,0,21,90,0,0,1,0,0,0,0,0,0,0,0,2,0.0,1.1,12.0,1.3,84,196816,693962,225624,28808
6,215,20,4,False,2021-02-02T18:00:00Z,2,1,22,45,0,1,0,1,0,0,0,0,0,0,0,10,16.6,12.2,2.0,3.1,84,-83087,606267,48579,131666
6,219,2,1,False,2021-02-06T12:30:00Z,1,0,23,58,0,0,0,1,0,0,0,0,0,0,0,2,3.8,16.6,0.0,2.0,84,14102,627404,53618,39516
6,229,10,0,True,2021-02-14T16:30:00Z,4,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-120962,503677,22015,142977
6,239,12,1,True,2021-02-21T16:30:00Z,0,1,25,17,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0.5,0.0,0.2,82,-112031,396865,7246,119277
6,253,9,8,False,2021-02-28T12:00:00Z,1,3,26,82,1,0,0,1,0,0,0,0,0,0,2,31,36.4,2.6,17.0,5.6,81,-79792,316981,4174,83966
6,261,4,1,False,2021-03-06T12:30:00Z,1,1,27,27,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.6,4.0,0.5,81,19723,342388,32282,12559
6,269,17,8,True,2021-03-14T16:30:00Z,2,1,28,87,1,0,0,1,0,0,0,0,0,0,2,29,35.6,2.7,76.0,11.4,81,-21394,321193,12198,33592
