element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
71,7,5,1,True,2020-09-14T19:15:00Z,1,3,1,11,0,0,0,0,0,0,0,0,0,0,0,3,4.4,0.7,0.0,0.5,55,0,3104,0,0
71,16,14,1,False,2020-09-20T13:00:00Z,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,4,2.0,10.4,18.0,3.0,55,-235,3804,305,540
71,19,13,3,True,2020-09-26T11:30:00Z,2,3,3,16,0,1,0,1,0,0,0,1,0,0,0,20,24.2,30.4,10.0,6.5,55,-348,3886,304,652
71,32,7,0,False,2020-10-03T14:00:00Z,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-247,3920,386,633
71,40,6,0,False,2020-10-18T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-774,3195,52,826
71,51,18,0,True,2020-10-26T17:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-309,2939,20,329
71,67,17,0,False,2020-11-01T19:15:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-208,2749,21,229
71,70,4,1,True,2020-11-06T17:30:00Z,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,5,2.0,1.3,0.0,0.3,54,-195,2559,21,216
71,79,2,0,False,2020-11-21T15:00:00Z,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-17,2629,75,92
71,90,11,1,True,2020-11-28T12:30:00Z,1,1,10,19,0,0,0,0,0,0,0,0,0,0,0,4,4.2,0.7,35.0,4.0,54,-29,2633,37,66
71,100,16,1,True,2020-12-07T20:00:00Z,1,2,11,9,0,0,0,0,0,0,0,0,0,0,0,5,1.0,0.7,4.0,0.6,54,-6,2671,73,79
71,114,9,1,False,2020-12-13T19:15:00Z,3,0,12,55,0,0,0,3,0,0,0,0,0,0,0,8,7.6,15.8,20.0,4.3,54,-24,2675,51,75
71,121,8,1,False,2020-12-16T20:00:00Z,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,54,16,2721,74,58
71,129,15,1,True,2020-12-20T12:00:00Z,1,1,14,45,0,0,0,1,0,0,0,0,0,0,0,4,4.6,27.3,31.0,6.3,54,-18,2722,59,77
71,147,19,1,False,2020-12-27T14:15:00Z,2,2,15,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,54,-42,2738,68,110
71,149,1,1,True,2020-12-29T18:00:00Z,0,1,16,74,0,0,0,1,0,0,0,1,0,0,0,3,1.4,6.8,25.0,3.3,54,-16,2735,47,63
71,159,20,0,True,2021-01-02T17:30:00Z,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-23,2732,46,69
71,178,12,0,False,2021-01-13T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-59,2757,74,133
71,182,10,0,False,2021-01-16T15:00:00Z,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-71,2658,15,86
71,189,8,0,True,2021-01-27T19:30:00Z,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-29,2643,84,113
71,200,17,0,True,2021-01-31T19:15:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-95,2550,14,109
71,216,11,0,False,2021-02-03T20:15:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,113,2671,162,49
71,220,4,0,False,2021-02-06T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-117,2554,32,149
71,230,2,0,True,2021-02-13T20:00:00Z,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-30,2525,61,91
