element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
338,6,19,3,False,2020-09-12T19:00:00Z,0,2,1,74,0,0,1,0,0,0,0,0,0,0,0,7,3.8,2.8,5.0,1.2,55,0,1361562,0,0
338,16,3,1,True,2020-09-20T13:00:00Z,0,3,2,32,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.6,0.0,0.0,55,-83797,1348064,80068,163865
338,26,17,0,False,2020-09-27T13:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-641093,698170,12187,653280
338,36,4,12,True,2020-10-03T19:00:00Z,3,1,4,72,1,1,0,1,0,0,0,0,0,0,2,42,60.2,37.4,23.0,12.1,54,-190292,526681,4317,194609
338,45,13,2,True,2020-10-17T19:00:00Z,1,4,5,90,0,0,0,4,0,0,0,0,0,0,0,15,18.4,25.3,13.0,5.7,53,-20265,520353,63152,83417
338,58,20,3,False,2020-10-25T16:30:00Z,1,1,6,78,0,0,1,0,0,0,0,0,0,0,0,10,17.6,13.1,9.0,4.0,53,-6393,519419,42070,48463
338,65,7,3,True,2020-11-01T14:00:00Z,2,1,7,73,0,0,1,0,0,0,0,0,0,0,0,1,7.8,2.1,25.0,3.5,53,3611,527223,37771,34160
338,76,16,2,False,2020-11-06T20:00:00Z,2,0,8,90,0,0,0,2,0,0,0,0,0,0,0,6,9.8,6.4,0.0,1.6,53,-15930,512662,27416,43346
338,85,5,2,True,2020-11-21T12:30:00Z,0,2,9,73,0,0,0,2,0,0,0,0,0,0,0,5,3.0,11.8,4.0,1.9,53,-51600,458695,17288,68888
338,92,6,0,False,2020-11-27T20:00:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-34227,428811,17699,51926
338,116,18,0,True,2020-12-12T15:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-35591,298913,1344,36935
338,122,10,0,False,2020-12-16T18:00:00Z,5,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-23195,276216,494,23689
338,135,8,0,True,2020-12-19T20:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-20643,256195,365,21008
338,145,12,0,False,2020-12-26T20:00:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-22256,233585,460,22716
338,155,11,0,True,2020-12-30T20:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-11685,222550,97,11782
338,165,9,0,True,2021-01-03T14:15:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-10704,212055,197,10901
338,174,15,0,False,2021-01-12T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-11560,197226,292,11852
338,179,1,0,False,2021-01-18T20:00:00Z,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-5066,195641,217,5283
338,99,2,1,False,2021-01-23T20:00:00Z,2,0,19,19,0,0,0,0,0,0,0,0,0,0,0,3,1.2,1.2,0.0,0.2,51,-5066,195641,217,5283
338,196,10,1,True,2021-01-26T18:00:00Z,1,2,20,26,0,0,0,0,0,0,0,0,0,0,0,0,3.6,10.6,10.0,2.4,51,-2929,193407,1891,4820
338,203,7,1,False,2021-01-30T12:30:00Z,0,2,21,23,0,0,0,0,0,0,0,0,0,0,0,3,3.6,0.3,0.0,0.4,51,-2121,191495,1137,3258
338,217,6,1,True,2021-02-02T20:15:00Z,1,2,22,27,0,0,0,0,0,0,0,0,0,0,0,-1,1.6,1.7,40.0,4.3,51,29,191749,2277,2248
338,225,16,8,True,2021-02-06T15:00:00Z,3,2,23,66,0,2,0,2,0,0,0,0,0,0,0,33,43.2,22.6,6.0,7.2,51,-1961,189926,1098,3059
338,231,5,2,False,2021-02-15T20:00:00Z,2,0,24,71,0,0,0,2,0,0,0,0,0,0,0,8,9.4,27.8,22.0,5.9,51,2262,192500,5318,3056
338,245,13,7,False,2021-02-21T19:00:00Z,3,1,25,76,1,0,0,3,0,0,0,0,0,0,0,23,41.8,0.7,49.0,9.2,51,-1427,191350,1582,3009
338,255,20,3,True,2021-02-27T20:00:00Z,1,1,26,62,0,0,1,0,0,0,0,0,0,0,0,9,11.2,46.3,33.0,9.1,51,8130,200381,12514,4384
338,267,18,0,False,2021-03-07T12:00:00Z,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-8898,191273,1690,10588
338,276,2,0,True,2021-03-12T20:00:00Z,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-5485,185864,160,5645
