element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
516,2,1,0,True,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,71203,0,0
516,13,10,1,False,2020-09-19T14:00:00Z,4,3,2,90,0,0,0,4,0,0,0,0,0,3,0,17,24.4,0.0,0.0,2.4,45,-4124,87432,9436,13560
516,22,2,1,True,2020-09-28T16:45:00Z,0,3,3,90,0,0,0,3,0,0,0,0,0,2,0,11,19.2,0.0,0.0,1.9,45,-2084,94818,14452,16536
516,38,20,3,False,2020-10-04T13:00:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,4,0,17,26.2,0.0,0.0,2.6,45,-7566,89827,4123,11689
516,46,15,3,False,2020-10-18T11:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,5,0,18,34.2,0.0,0.0,3.4,45,-795,94310,9526,10321
516,53,6,3,True,2020-10-24T14:00:00Z,1,2,6,90,0,0,0,2,0,0,0,0,0,8,0,24,59.0,0.0,0.0,5.9,45,170,96163,7328,7158
516,61,18,6,True,2020-11-02T17:30:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,1,0,22,10.4,0.0,0.0,1.0,45,396,98365,5597,5201
516,78,19,4,False,2020-11-07T20:00:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,6,0,20,42.4,0.0,0.0,4.2,45,-182,99407,4889,5071
516,81,7,2,True,2020-11-22T12:00:00Z,2,3,9,90,0,0,0,3,0,0,0,0,0,4,0,18,30.2,0.0,0.0,3.0,45,-196,101083,5506,5702
516,94,9,2,False,2020-11-30T17:30:00Z,1,2,10,90,0,0,0,1,0,0,0,0,0,2,0,12,17.4,0.0,0.0,1.7,45,-1755,100136,2582,4337
516,104,12,2,False,2020-12-05T15:00:00Z,2,0,11,90,0,0,0,2,0,0,0,0,0,4,0,16,34.2,0.0,0.0,3.4,45,-2167,98750,2849,5016
516,112,11,3,True,2020-12-13T16:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,5,0,19,30.6,0.0,0.0,3.1,45,-954,99117,2994,3948
516,121,3,9,True,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,4,2,29,26.8,0.0,0.0,2.7,45,3599,104244,6176,2577
516,135,14,3,False,2020-12-19T20:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,4,0,15,29.8,0.0,0.0,3.0,45,5855,110969,8668,2813
516,141,16,8,True,2020-12-26T15:00:00Z,0,0,15,90,0,0,1,0,0,0,0,0,0,2,2,25,9.4,0.0,0.0,0.9,45,4693,117635,10210,5517
516,157,17,3,False,2021-01-13T20:15:00Z,1,1,18,90,0,0,0,1,0,0,0,0,0,5,0,19,34.0,0.0,0.0,3.4,45,20753,190931,40247,19494
516,181,5,3,True,2021-01-16T17:30:00Z,0,1,19,90,0,0,0,1,0,0,0,0,0,5,0,20,37.2,0.0,0.0,3.7,45,34034,204173,49429,15395
516,171,13,2,True,2021-01-20T20:15:00Z,1,2,19,90,0,0,0,2,0,0,0,0,0,3,0,10,17.8,0.0,0.0,1.8,45,34034,204173,49429,15395
516,189,3,10,False,2021-01-27T19:30:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,5,3,33,38.2,0.0,0.0,3.8,45,23104,224178,39496,16392
516,207,18,1,False,2021-01-30T15:00:00Z,2,2,21,90,0,0,0,2,0,0,0,0,0,1,0,9,10.8,0.0,0.0,1.1,45,34161,261297,40783,6622
516,211,9,2,True,2021-02-03T18:00:00Z,0,2,22,90,0,0,0,2,0,0,0,0,0,3,0,13,24.0,0.0,0.0,2.4,45,-5529,255395,8453,13982
