element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
255,3,10,4,True,2020-09-12T16:30:00Z,4,3,1,90,0,1,0,3,0,0,0,0,0,0,0,20,23.4,19.6,4.0,4.7,70,0,766431,0,0
255,11,5,6,False,2020-09-20T15:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,0,0,26,10.6,14.3,26.0,5.1,70,-47931,807793,52291,100222
255,23,1,10,True,2020-09-28T19:00:00Z,3,1,3,90,1,0,0,1,0,0,0,0,0,0,2,29,41.0,31.5,23.0,9.6,70,10264,866682,111207,100943
255,30,2,-1,False,2020-10-04T18:15:00Z,7,2,4,90,0,0,0,7,0,0,0,0,0,0,0,13,24.4,27.2,31.0,8.3,70,108222,1025161,153683,45461
255,41,7,6,False,2020-10-17T11:30:00Z,2,2,5,90,0,1,0,2,0,0,0,0,0,0,2,33,35.0,43.4,8.0,8.6,70,70877,1122717,175983,105106
255,54,15,2,True,2020-10-24T19:00:00Z,2,1,6,90,0,0,0,1,0,0,0,0,0,0,0,16,18.2,26.4,22.0,6.7,71,233298,1389355,277246,43948
255,63,19,2,True,2020-10-31T17:30:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,11,8.6,10.2,10.0,2.9,71,40402,1430907,97685,57283
255,75,12,2,False,2020-11-08T16:30:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,0,0,13,8.4,12.3,4.0,2.5,71,-111027,1316396,30057,141084
255,83,9,12,True,2020-11-22T19:15:00Z,3,0,9,90,0,1,1,0,0,0,0,0,0,0,3,45,33.8,49.3,3.0,8.6,71,-59878,1264038,88812,148690
255,90,3,2,False,2020-11-28T12:30:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,14,17.4,19.5,2.0,3.9,71,193664,1496252,218782,25118
255,103,20,6,True,2020-12-06T19:15:00Z,4,0,11,90,0,0,1,0,0,0,0,0,0,0,0,24,19.8,31.3,8.0,5.9,72,-83918,1377655,55934,139852
255,112,8,2,False,2020-12-13T16:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,17,15.2,29.0,8.0,5.2,72,19641,1436427,66761,47120
255,127,17,5,True,2020-12-16T20:00:00Z,2,1,13,90,0,1,0,1,0,0,0,0,0,0,0,25,36.4,62.7,6.0,10.5,72,-59078,1369429,16477,75555
255,132,6,10,False,2020-12-19T12:30:00Z,0,7,14,90,0,1,1,0,0,0,0,0,0,0,1,50,41.4,54.4,0.0,9.6,72,41753,1425120,66773,25020
255,144,18,2,True,2020-12-27T16:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,11,11.6,32.4,6.0,5.0,73,261028,1712964,283955,22927
255,155,14,9,False,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,3,33,19.2,45.4,2.0,6.7,73,50422,1759949,87784,37362
255,166,16,1,False,2021-01-04T20:00:00Z,1,0,17,90,0,0,0,1,0,0,0,1,0,0,0,16,20.4,66.2,14.0,10.1,74,39739,1807073,84844,45105
255,184,13,6,True,2021-01-17T16:30:00Z,0,0,19,90,0,0,1,0,0,0,0,0,0,0,0,28,11.6,34.3,6.0,5.2,74,-17952,1664698,60295,78247
255,177,4,2,True,2021-01-21T20:00:00Z,0,1,19,90,0,0,0,1,0,0,0,0,0,0,0,14,14.0,38.6,35.0,8.8,74,-17952,1664698,60295,78247
255,198,17,2,False,2021-01-28T20:00:00Z,1,3,20,90,0,0,0,1,0,0,0,0,0,0,0,16,10.2,15.8,0.0,2.6,74,-68822,1591449,43894,112716
255,208,19,2,False,2021-01-31T16:30:00Z,1,3,21,90,0,0,0,1,0,0,0,0,0,0,0,13,18.8,7.2,2.0,2.8,74,-13464,1583443,49338,62802
255,216,3,2,True,2021-02-03T20:15:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,13,14.8,8.4,8.0,3.1,74,50230,1640207,82210,31980
255,223,12,0,True,2021-02-07T16:30:00Z,1,4,23,84,0,0,0,4,0,0,0,0,0,0,0,12,6.0,8.7,4.0,1.9,74,-98129,1544680,25857,123986
255,234,9,1,False,2021-02-13T12:30:00Z,3,1,24,90,0,0,0,3,0,0,0,0,0,0,0,14,20.2,19.2,24.0,6.3,73,-144248,1397371,17300,161548
255,244,7,1,True,2021-02-20T17:30:00Z,0,2,25,90,0,0,0,2,0,0,0,0,0,0,0,14,16.2,30.3,2.0,4.9,73,-80075,1329290,16641,96716
255,256,15,7,False,2021-02-28T19:15:00Z,0,2,26,90,0,0,1,0,0,0,0,0,0,0,1,29,14.4,28.8,25.0,6.8,72,-96301,1233193,16811,113112
255,283,5,2,True,2021-03-04T20:15:00Z,0,1,26,90,0,0,0,1,0,0,0,0,0,0,0,16,20.8,20.9,1.0,4.3,72,-96301,1233193,16811,113112
255,263,8,2,True,2021-03-07T14:00:00Z,0,1,27,90,0,0,0,1,0,0,0,0,0,0,0,16,12.4,19.5,6.0,3.8,72,-21590,1219645,16717,38307
255,278,20,6,False,2021-03-15T20:00:00Z,0,1,28,90,0,0,1,0,0,0,0,0,0,0,0,25,7.8,3.6,0.0,1.1,72,-73188,1147031,4544,77732
