element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
137,1,16,8,True,2020-09-12T14:00:00Z,1,0,1,90,0,1,1,0,0,0,0,0,0,0,2,26,28.4,33.7,2.0,6.4,60,0,16534,0,0
137,15,13,9,False,2020-09-19T16:30:00Z,1,3,2,90,1,0,0,1,0,0,0,0,0,0,2,27,39.6,20.9,40.0,10.1,60,11126,51702,18748,7622
137,21,7,5,True,2020-09-26T14:00:00Z,1,2,3,90,0,1,0,2,0,0,0,0,0,0,0,20,32.8,38.3,0.0,7.1,60,53033,127637,85897,32864
137,31,5,2,False,2020-10-03T11:30:00Z,4,0,4,90,0,0,0,4,0,0,0,0,0,0,0,9,7.8,29.4,0.0,3.7,61,115403,267037,148642,33239
137,40,3,2,True,2020-10-18T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,6,13.4,8.9,0.0,2.2,61,-420,268785,56780,57200
137,53,8,2,False,2020-10-24T14:00:00Z,1,2,6,90,0,0,0,1,0,0,0,0,0,0,0,9,28.2,28.5,2.0,5.9,61,-20703,249458,20309,41012
137,68,20,2,False,2020-10-30T20:00:00Z,2,0,7,71,0,0,0,2,0,0,0,0,0,0,0,9,18.4,23.2,22.0,6.4,60,-34170,217206,8937,43107
137,72,10,2,True,2020-11-07T15:00:00Z,4,1,8,70,0,0,0,1,0,0,0,0,0,0,0,5,12.2,3.1,15.0,3.0,60,-27795,190466,7397,35192
137,80,4,2,False,2020-11-23T17:30:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,0,0,19,20.4,64.4,20.0,10.5,59,-20187,171750,8374,28561
137,92,14,3,True,2020-11-27T20:00:00Z,0,2,10,66,0,0,1,0,0,0,0,0,0,0,0,10,6.4,24.3,0.0,3.1,59,-3158,171715,12379,15537
137,107,18,0,False,2020-12-06T12:00:00Z,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-14456,156793,5876,20332
137,110,17,1,True,2020-12-13T14:15:00Z,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,58,-20036,137330,1783,21819
137,125,19,4,False,2020-12-16T20:00:00Z,1,1,13,84,0,0,0,1,0,0,0,0,0,0,2,32,25.0,32.5,8.0,6.6,58,-9366,128764,1700,11066
137,132,11,0,True,2020-12-19T12:30:00Z,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-6577,122641,1553,8130
137,140,2,1,False,2020-12-26T15:00:00Z,3,0,15,8,0,0,0,0,0,0,0,0,0,0,0,4,5.4,15.1,0.0,2.1,57,-9156,113811,1704,10860
137,152,9,5,True,2020-12-28T15:00:00Z,1,1,16,90,0,1,0,1,0,0,0,0,0,0,0,17,26.4,33.3,4.0,6.4,57,-4540,109707,590,5130
137,162,15,3,True,2021-01-02T15:00:00Z,2,0,17,90,0,0,1,0,0,0,0,0,0,0,0,11,13.2,21.6,33.0,6.8,57,1846,112240,5702,3856
137,169,1,3,False,2021-01-14T20:00:00Z,0,0,18,90,0,0,1,0,0,0,0,0,0,0,0,13,11.8,30.2,3.0,4.5,57,-2787,112831,4201,6988
137,185,12,2,False,2021-01-17T19:15:00Z,4,0,19,78,0,0,0,3,0,0,0,0,0,0,0,5,9.4,2.7,0.0,1.2,56,-4325,104842,1015,5340
137,195,19,2,True,2021-01-26T18:00:00Z,2,3,20,65,0,0,0,3,0,0,0,0,0,0,0,4,8.0,3.2,0.0,1.1,56,-2969,103078,1675,4644
137,202,20,1,True,2021-01-30T15:00:00Z,1,0,21,11,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0.5,8.0,0.9,56,-3569,99588,318,3887
137,217,14,1,False,2021-02-02T20:15:00Z,1,2,22,32,0,0,0,0,0,0,0,0,0,0,0,-2,2.8,1.3,6.0,1.0,56,-2503,97214,282,2785
137,222,10,1,False,2021-02-08T20:00:00Z,2,0,23,45,0,0,0,1,0,0,0,0,0,0,0,12,15.0,14.6,7.0,3.7,56,-2575,94719,297,2872
137,232,4,1,True,2021-02-13T15:00:00Z,0,3,24,28,0,0,0,0,0,0,0,0,0,0,0,3,8.8,15.8,26.0,5.1,55,-2313,92493,676,2989
