element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
432,6,14,1,True,2020-09-12T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,14,30.0,1.1,6.0,3.7,50,0,25125,0,0
432,9,1,1,False,2020-09-19T19:00:00Z,2,1,2,90,0,0,0,2,0,0,0,0,0,0,0,12,24.4,0.5,19.0,4.4,50,-4340,23987,667,5007
432,28,20,6,True,2020-09-27T18:00:00Z,4,0,3,90,0,0,1,0,0,0,0,0,0,0,0,21,18.6,0.2,4.0,2.3,50,-2377,23227,889,3266
432,34,9,6,False,2020-10-04T11:00:00Z,0,3,4,90,0,0,1,0,0,0,0,0,0,0,0,22,15.4,0.0,2.0,1.7,49,-418,24233,1519,1937
432,47,17,0,False,2020-10-18T15:30:00Z,3,3,5,90,0,0,0,3,0,0,0,1,0,0,0,8,11.4,11.7,2.0,2.5,49,1215,27552,3187,1972
432,57,12,2,True,2020-10-24T11:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,10,11.2,0.0,0.0,1.1,49,394,28770,2687,2293
432,63,11,1,False,2020-10-31T17:30:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,8,10.4,0.2,0.0,1.1,49,388,29960,1963,1575
432,78,8,5,True,2020-11-07T20:00:00Z,1,0,8,62,0,0,1,0,0,0,0,1,0,0,0,20,9.0,0.3,2.0,1.1,49,1654,32703,3501,1847
432,86,15,6,False,2020-11-22T14:00:00Z,0,1,9,90,0,0,1,0,0,0,0,0,0,0,0,20,8.0,0.3,6.0,1.4,49,-4027,27985,386,4413
432,98,2,9,True,2020-11-30T20:00:00Z,2,1,10,90,1,0,0,1,0,0,0,0,0,0,1,22,51.6,0.0,35.0,8.7,49,1518,30549,2457,939
432,108,13,1,True,2020-12-05T17:30:00Z,1,3,11,90,0,0,0,3,0,0,0,0,0,0,0,11,10.0,10.0,2.0,2.2,49,23509,60120,26048,2539
432,113,10,11,False,2020-12-11T20:00:00Z,1,2,12,90,1,0,0,1,0,0,0,0,0,0,3,33,58.4,24.4,25.0,10.8,49,7017,66287,12375,5358
432,125,6,2,True,2020-12-16T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,11,13.0,0.7,0.0,1.4,49,56551,129193,59703,3152
432,131,5,1,False,2020-12-21T20:00:00Z,3,0,14,90,0,0,0,3,0,0,0,0,0,0,0,13,8.2,0.5,8.0,1.7,50,35732,165415,43737,8005
432,147,3,1,True,2020-12-27T14:15:00Z,2,2,15,90,0,0,0,2,0,0,0,0,0,0,0,11,12.2,0.1,0.0,1.2,50,26148,195124,37888,11740
432,156,16,6,False,2020-12-29T18:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,21,13.8,0.4,0.0,1.4,50,-2299,191819,11068,13367
432,163,7,7,False,2021-01-01T17:30:00Z,0,1,17,90,0,0,1,0,0,0,0,0,0,0,1,27,22.6,0.3,4.0,2.7,50,2057,195006,15851,13794
432,187,4,5,True,2021-01-16T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,1,0,0,0,20,18.2,0.8,47.0,6.6,50,72281,293737,88790,16509
432,175,18,2,True,2021-01-19T18:00:00Z,2,1,19,90,0,0,0,1,0,0,0,0,0,0,0,15,14.6,0.3,0.0,1.5,50,72281,293737,88790,16509
432,195,6,1,False,2021-01-26T18:00:00Z,2,3,20,90,0,0,0,2,0,0,0,0,0,0,0,14,9.6,0.3,0.0,1.0,50,-11767,259204,15970,27737
432,208,11,1,True,2021-01-31T16:30:00Z,1,3,21,90,0,0,0,3,0,0,0,0,0,0,0,8,7.8,0.3,2.0,1.0,50,-28911,230311,3854,32765
432,209,2,2,False,2021-02-03T20:15:00Z,1,3,22,90,0,0,0,1,0,0,0,0,0,0,0,13,10.2,0.8,0.0,1.1,50,-8951,222303,5221,14172
