element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
45,10,15,0,True,2020-09-21T17:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-709,10543,922,1631
45,22,8,0,False,2020-09-28T16:45:00Z,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-1756,9412,665,2421
45,30,11,0,True,2020-10-04T18:15:00Z,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-1307,8507,391,1698
45,43,9,0,False,2020-10-18T18:15:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-1141,7681,271,1412
45,50,10,0,True,2020-10-23T19:00:00Z,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-490,7433,276,766
45,59,16,0,True,2020-11-01T12:00:00Z,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-429,7166,186,615
45,69,1,1,False,2020-11-08T19:15:00Z,0,3,8,2,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.3,0.0,0.2,58,-401,6894,122,523
45,79,3,1,True,2020-11-21T15:00:00Z,1,2,9,16,0,0,0,0,0,0,0,0,0,0,0,5,5.6,16.0,0.0,2.2,58,-238,6845,216,454
45,98,19,1,False,2020-11-30T20:00:00Z,2,1,10,16,0,0,0,0,0,0,0,0,0,0,0,3,1.2,1.8,0.0,0.3,57,-102,6839,169,271
45,118,20,7,False,2020-12-12T12:30:00Z,0,1,12,15,1,0,0,0,0,0,0,0,0,0,1,23,33.0,0.3,19.0,5.2,57,-77,6787,183,260
45,120,4,3,True,2020-12-17T18:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,8,20.4,67.0,80.0,16.7,57,1739,8759,2026,287
45,138,18,16,False,2020-12-20T19:15:00Z,0,3,14,90,2,0,1,0,0,0,0,0,0,0,3,51,82.8,9.7,120.0,21.3,57,1827,10690,2393,566
45,140,6,9,True,2020-12-26T15:00:00Z,3,0,15,85,1,0,1,0,0,0,0,0,0,0,1,29,52.4,35.2,81.0,16.9,57,60898,79094,65012,4114
45,151,5,7,False,2020-12-28T17:30:00Z,1,1,16,81,1,0,0,1,0,0,0,1,0,0,1,22,40.6,21.9,55.0,11.8,57,62770,142509,71670,8900
45,164,13,2,False,2021-01-01T20:00:00Z,2,1,17,83,0,0,0,2,0,0,0,0,0,0,0,11,9.6,2.8,33.0,4.5,58,160439,307695,179304,18865
45,380,12,1,False,2021-01-20T18:00:00Z,2,0,19,22,0,0,0,2,0,0,0,0,0,0,0,5,4.2,1.0,0.0,0.5,58,48051,355384,94410,46359
45,99,14,1,True,2021-01-23T20:00:00Z,2,0,19,10,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.3,2.0,0.5,58,48051,355384,94410,46359
45,190,4,1,False,2021-01-27T18:00:00Z,3,2,20,7,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0.8,0.0,0.1,58,-80927,262206,16117,97044
45,206,16,0,False,2021-01-30T20:00:00Z,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-99920,162792,936,100856
45,209,19,1,True,2021-02-03T20:15:00Z,1,3,22,45,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0.9,2.0,0.4,56,-42579,120947,730,43309
