element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
307,15,6,0,True,2020-09-19T16:30:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-627,1726,51,678
307,19,3,0,False,2020-09-26T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-304,1475,32,336
307,35,17,0,True,2020-10-04T15:30:00Z,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-144,1342,30,174
307,45,14,0,False,2020-10-17T19:00:00Z,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-74,1308,61,135
307,55,5,0,True,2020-10-24T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,6432,8840,7039,607
307,64,1,0,True,2020-11-01T16:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,830,9778,2566,1736
307,73,7,1,False,2020-11-07T12:30:00Z,1,3,8,23,0,0,0,0,0,0,0,0,0,0,0,2,7.0,0.3,0.0,0.7,45,-1025,8918,651,1676
307,84,18,0,True,2020-11-21T20:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,292,9840,1711,1419
307,96,16,0,False,2020-11-29T14:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-714,9102,469,1183
307,108,19,0,False,2020-12-05T17:30:00Z,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-970,8218,255,1225
307,115,12,0,True,2020-12-12T17:30:00Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-474,7937,326,800
307,124,15,0,False,2020-12-17T20:00:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-385,7636,158,543
307,134,10,0,True,2020-12-20T16:30:00Z,6,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-299,7407,193,492
307,143,9,-1,False,2020-12-26T12:30:00Z,2,2,15,24,0,0,0,1,1,0,0,0,0,0,0,-4,0.0,1.1,0.0,0.0,42,135,7704,710,575
307,154,20,0,True,2020-12-29T20:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,766,8633,1228,462
307,164,2,1,True,2021-01-01T20:00:00Z,2,1,17,1,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.0,0.0,0.0,42,-268,8381,580,848
307,379,4,1,False,2021-01-12T20:15:00Z,0,1,18,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,42,244,10719,1482,1238
307,184,11,0,False,2021-01-17T16:30:00Z,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-348,8532,400,748
307,171,8,0,False,2021-01-20T20:15:00Z,1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-348,8532,400,748
307,192,15,0,True,2021-01-27T20:15:00Z,1,2,20,82,0,0,0,2,0,0,0,1,0,0,0,15,26.2,2.6,0.0,2.9,42,-625,8004,306,931
307,199,1,0,False,2021-01-30T17:30:00Z,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-167,7925,310,477
307,213,16,0,True,2021-02-02T20:15:00Z,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-110,7877,228,338
307,224,7,0,True,2021-02-06T20:00:00Z,3,3,23,1,0,0,0,1,0,0,0,1,0,0,0,-1,0.0,0.0,0.0,0.0,42,-418,7528,180,598
307,237,18,0,False,2021-02-14T14:00:00Z,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-253,7378,331,584
