element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
280,18,20,0,False,2020-09-21T19:15:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-27389,302527,24063,51452
280,24,9,0,True,2020-09-27T15:30:00Z,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-88900,212908,1943,90843
280,33,10,2,False,2020-10-03T16:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,9,10.8,0.7,6.0,1.8,60,-15958,207518,5388,21346
280,44,1,0,True,2020-10-17T16:30:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-756,217028,12571,13327
280,57,19,0,False,2020-10-24T11:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-28209,187709,3381,31590
280,66,15,8,False,2020-10-31T12:30:00Z,0,1,7,90,0,0,1,0,0,0,0,0,0,0,2,29,20.4,11.4,4.0,3.6,60,-2703,189224,9433,12136
280,75,11,1,True,2020-11-08T16:30:00Z,1,1,8,90,0,0,0,1,0,0,0,1,0,0,0,9,10.2,1.2,0.0,1.1,60,4893,197644,9047,4154
280,87,17,1,False,2020-11-21T17:30:00Z,2,0,9,90,0,0,0,2,0,0,0,0,0,0,0,15,17.2,13.2,2.0,3.2,60,6134,209184,12472,6338
280,95,4,0,True,2020-11-28T15:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,17057,231660,22702,5645
280,104,8,0,True,2020-12-05T15:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-2522,229353,12310,14832
280,115,13,0,False,2020-12-12T17:30:00Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-17503,212913,3316,20819
280,128,18,0,True,2020-12-15T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-9780,204978,2919,12699
280,136,16,0,False,2020-12-19T15:00:00Z,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-9821,196230,1584,11405
280,145,14,0,True,2020-12-26T20:00:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-6958,191126,8767,15725
280,161,5,0,False,2021-01-03T16:30:00Z,1,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-2458,190513,3129,5587
280,178,3,0,True,2021-01-13T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-12568,177767,2980,15548
280,185,6,0,True,2021-01-17T19:15:00Z,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-6688,172497,48,6736
280,380,2,0,True,2021-01-20T18:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-6688,172497,48,6736
280,193,18,1,False,2021-01-26T20:15:00Z,0,5,20,38,0,0,0,0,0,0,0,0,0,0,0,7,4.2,1.9,4.0,1.0,60,-4916,168498,1648,6564
280,205,15,6,True,2021-01-30T15:00:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,0,0,25,19.0,6.1,27.0,5.2,60,-340,169000,1737,2077
280,210,4,7,False,2021-02-03T18:00:00Z,0,2,22,90,0,0,1,0,0,0,0,0,0,0,1,29,14.8,5.0,0.0,2.0,60,2426,172323,3735,1309
280,223,11,0,False,2021-02-07T16:30:00Z,1,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,1300,174766,3261,1961
280,235,17,6,True,2021-02-13T17:30:00Z,3,0,24,90,0,0,1,0,0,0,0,0,0,0,0,20,8.6,1.0,2.0,1.2,60,220,176541,5071,4851
280,153,7,2,False,2021-02-17T20:15:00Z,1,3,24,90,0,0,0,1,0,0,0,0,0,0,0,16,19.2,1.8,0.0,2.1,60,220,176541,5071,4851
280,239,1,0,False,2021-02-21T16:30:00Z,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,1522,179333,4073,2551
280,254,19,0,True,2021-02-27T12:30:00Z,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-2581,177910,2477,5058
280,284,20,2,True,2021-03-02T20:00:00Z,4,1,26,90,0,0,0,1,0,0,0,0,0,0,0,14,24.6,4.8,2.0,3.1,60,-2581,177910,2477,5058
280,264,13,0,True,2021-03-07T16:30:00Z,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-2795,176133,1381,4176
280,325,16,1,True,2021-03-10T18:00:00Z,5,2,27,90,0,0,0,2,0,0,0,0,0,0,0,8,8.2,0.8,0.0,0.9,60,-2795,176133,1381,4176
280,272,8,6,False,2021-03-13T20:00:00Z,0,3,28,90,0,0,1,0,0,0,0,0,0,0,0,28,20.4,2.0,0.0,2.2,60,-2001,174833,941,2942
