element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
395,4,7,2,True,2020-09-13T15:30:00Z,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,15,20.2,35.5,36.0,9.2,50,0,155868,0,0
395,17,16,1,False,2020-09-20T11:00:00Z,2,5,2,90,0,0,0,2,0,0,0,0,0,0,0,2,4.4,2.0,0.0,0.6,50,-12410,155739,13490,25900
395,26,14,2,True,2020-09-27T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,16,11.0,11.8,2.0,2.5,50,-19850,142235,15628,35478
395,35,13,4,False,2020-10-04T15:30:00Z,1,6,4,17,0,1,0,0,0,0,0,0,0,0,0,13,6.2,0.6,4.0,1.1,49,-24434,117844,2873,27307
395,47,19,0,True,2020-10-18T15:30:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-18380,103036,8354,26734
395,52,4,6,False,2020-10-26T20:00:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,20,5.6,4.8,4.0,1.4,48,-18840,84909,3016,21856
395,67,3,1,True,2020-11-01T19:15:00Z,2,1,7,5,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.0,0.0,0.2,48,3995,91329,10894,6899
395,77,18,0,False,2020-11-08T12:00:00Z,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-5569,86370,4498,10067
395,87,12,0,True,2020-11-21T17:30:00Z,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-12425,73515,1291,13716
395,91,5,1,False,2020-11-29T16:30:00Z,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,47,-7819,66625,677,8496
395,106,1,1,True,2020-12-06T16:30:00Z,2,0,11,18,0,0,0,0,0,0,0,0,0,0,0,4,6.2,0.0,0.0,0.6,47,-5017,62046,688,5705
395,110,6,1,False,2020-12-13T14:15:00Z,1,1,12,6,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0.9,0.0,0.2,47,-3544,59104,612,4156
395,127,11,1,False,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,0,0,12,18.2,0.2,0.0,1.8,46,-2332,57024,362,2694
395,137,9,0,True,2020-12-20T14:15:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-1164,56129,926,2090
395,148,20,6,False,2020-12-27T19:15:00Z,1,1,15,90,0,1,0,1,0,0,0,0,0,0,1,22,35.0,20.9,2.0,5.8,46,-2044,54475,1183,3227
395,167,10,6,True,2021-01-02T12:30:00Z,3,0,17,90,0,0,1,0,0,0,0,0,0,0,0,28,18.4,21.9,10.0,5.0,46,685,61049,2893,2208
395,157,8,0,True,2021-01-13T20:15:00Z,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,14433,112763,20455,6022
395,186,15,2,False,2021-01-17T14:00:00Z,1,3,19,90,0,0,0,1,0,0,0,0,0,0,0,13,20.2,11.6,0.0,3.2,46,-7300,66855,1307,8607
395,198,11,1,True,2021-01-28T20:00:00Z,1,3,20,90,0,0,0,3,0,0,0,0,0,0,0,12,13.4,2.5,0.0,1.6,46,-4056,65031,1469,5525
395,200,3,2,False,2021-01-31T19:15:00Z,1,0,21,90,0,0,0,1,0,0,0,0,0,0,0,16,17.0,13.3,0.0,3.0,46,-816,64460,2258,3074
395,218,5,2,True,2021-02-04T20:00:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,10,11.2,1.9,0.0,1.3,46,-966,63698,1026,1992
395,227,18,6,True,2021-02-07T12:00:00Z,2,0,23,90,0,0,1,0,0,0,0,0,0,0,0,23,9.6,3.8,4.0,1.7,46,2504,66770,4436,1932
395,235,12,0,False,2021-02-13T17:30:00Z,3,0,24,90,0,0,0,3,0,0,0,1,0,0,0,10,8.2,2.7,1.0,1.2,46,-1433,65448,2738,4171
