element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
566,41,11,1,True,2020-10-17T11:30:00Z,2,2,5,59,0,0,0,1,0,0,0,0,0,0,0,8,20.4,10.4,0.0,3.1,50,1331,1969,1646,315
566,56,16,1,False,2020-10-25T14:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,12,11.0,1.5,0.0,1.3,50,1469,3887,1934,465
566,65,14,0,False,2020-11-01T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,1028,5307,1526,498
566,73,13,0,True,2020-11-07T12:30:00Z,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1346,3894,198,1544
566,81,8,1,False,2020-11-22T12:00:00Z,2,3,9,90,0,0,0,2,0,0,0,0,0,0,0,11,8.6,4.8,0.0,1.3,50,-105,4175,558,663
566,93,10,2,True,2020-11-28T17:30:00Z,0,1,10,90,0,0,0,1,0,0,0,0,0,0,0,12,24.8,1.1,0.0,2.6,50,401,4834,804,403
566,101,4,2,False,2020-12-05T12:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,24,25.0,2.5,0.0,2.8,50,1205,6661,1964,759
566,111,5,7,True,2020-12-12T20:00:00Z,1,0,12,90,0,0,1,0,0,0,0,0,0,0,1,26,14.2,1.0,0.0,1.5,50,-620,5761,501,1121
566,123,9,5,False,2020-12-16T18:00:00Z,0,2,13,90,0,0,1,0,0,0,0,1,0,0,0,17,7.8,1.6,0.0,0.9,50,1053,7087,1512,459
566,133,1,2,True,2020-12-19T17:30:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,17,20.6,5.5,2.0,2.8,50,3224,10672,3890,666
566,146,15,5,False,2020-12-26T20:00:00Z,0,1,15,90,0,0,1,0,0,0,0,1,0,0,0,22,12.2,2.3,17.0,3.2,50,6633,18416,8400,1767
566,163,19,1,True,2021-01-01T17:30:00Z,0,1,17,90,0,0,0,1,0,0,0,1,0,0,0,10,8.0,5.7,0.0,1.4,50,3833,23570,5939,2106
566,176,20,2,False,2021-01-12T20:15:00Z,1,2,18,90,0,0,0,1,0,0,0,0,0,0,0,8,13.8,1.4,0.0,1.5,50,403,27249,4653,4250
566,191,9,2,True,2021-01-27T20:15:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,14,28.2,0.8,0.0,2.9,50,-1915,18310,639,2554
566,203,14,0,True,2021-01-30T12:30:00Z,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,65,18569,1211,1146
566,212,10,4,False,2021-02-03T19:30:00Z,1,2,22,90,0,1,0,1,0,0,0,1,0,0,0,21,35.2,10.8,6.0,5.2,50,-1665,16968,282,1947
566,224,13,1,False,2021-02-06T20:00:00Z,3,3,23,90,0,0,0,3,0,0,0,0,0,0,0,13,10.2,0.6,2.0,1.3,50,436,17664,1512,1076
566,233,8,1,True,2021-02-14T19:00:00Z,0,2,24,90,0,0,0,2,0,0,0,0,0,0,0,13,20.0,1.2,18.0,3.9,50,5988,25145,7549,1561
566,153,12,1,True,2021-02-17T20:15:00Z,1,3,24,90,0,0,0,3,0,0,0,0,0,0,0,9,23.6,0.9,0.0,2.5,50,5988,25145,7549,1561
