element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
452,6,14,0,True,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,161367,0,0
452,9,1,0,False,2020-09-19T19:00:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-12169,163501,7281,19450
452,28,20,1,True,2020-09-27T18:00:00Z,4,0,3,41,0,0,0,0,0,0,0,0,0,0,0,4,3.8,1.3,0.0,0.5,40,-12049,157717,8783,20832
452,34,9,0,False,2020-10-04T11:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,7361,174337,21691,14330
452,47,17,0,False,2020-10-18T15:30:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-10148,163418,7404,17552
452,57,12,0,True,2020-10-24T11:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-6573,159862,9017,15590
452,63,11,0,False,2020-10-31T17:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-4437,156287,4631,9068
452,78,8,0,True,2020-11-07T20:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-7901,148557,1278,9179
452,86,15,0,False,2020-11-22T14:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-4587,146688,4115,8702
452,98,2,0,True,2020-11-30T20:00:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,2621,152715,8013,5392
452,108,13,1,True,2020-12-05T17:30:00Z,1,3,11,5,0,0,0,0,0,0,0,0,0,0,0,3,1.6,0.2,0.0,0.2,39,2662,157560,9294,6632
452,113,10,1,False,2020-12-11T20:00:00Z,1,2,12,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,39,9203,167931,15221,6018
452,125,6,0,True,2020-12-16T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,14278,184575,20038,5760
452,131,5,0,False,2020-12-21T20:00:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,7876,190906,13935,6059
452,147,3,7,True,2020-12-27T14:15:00Z,2,2,15,90,1,0,0,2,0,0,0,0,0,0,0,22,39.2,2.0,17.0,5.8,39,11696,206828,21353,9657
452,156,16,0,False,2020-12-29T18:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,37436,246108,43994,6558
452,163,7,0,False,2021-01-01T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,6148,251253,23043,16895
452,187,4,0,True,2021-01-16T15:00:00Z,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-4250,254856,17675,21925
452,175,18,0,True,2021-01-19T18:00:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-4250,254856,17675,21925
452,195,6,0,False,2021-01-26T18:00:00Z,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-14333,235947,7819,22152
452,208,11,0,True,2021-01-31T16:30:00Z,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-12806,223388,1091,13897
452,209,2,1,False,2021-02-03T20:15:00Z,1,3,22,2,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,39,-10069,213759,1023,11092
452,221,8,0,False,2021-02-06T17:30:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-10096,204047,1721,11817
452,238,15,6,True,2021-02-15T18:00:00Z,3,0,24,90,0,0,1,0,0,0,0,0,0,0,0,23,9.8,12.4,0.0,2.2,39,-8990,194979,1698,10688
