element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
88,14,9,0,False,2020-09-20T18:00:00Z,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-7386,20376,129,7515
88,20,16,0,True,2020-09-26T19:00:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-4983,15704,129,5112
88,36,14,0,False,2020-10-03T19:00:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2417,13517,76,2493
88,48,18,0,False,2020-10-19T16:30:00Z,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1309,12294,127,1436
88,52,17,0,True,2020-10-26T20:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-987,11337,35,1022
88,60,5,0,True,2020-10-31T15:00:00Z,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-676,10720,95,771
88,70,3,8,False,2020-11-06T17:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,2,29,33.8,0.1,4.0,3.8,49,-478,10269,64,542
88,80,6,6,True,2020-11-23T17:30:00Z,1,0,9,90,0,0,1,0,0,0,0,0,0,0,0,23,14.0,0.0,0.0,1.4,49,3083,14631,3810,727
88,95,12,0,False,2020-11-28T15:00:00Z,5,0,10,90,0,0,0,5,0,0,0,0,0,0,0,12,12.6,0.2,2.0,1.5,49,453,14869,1586,1133
88,101,7,2,True,2020-12-05T12:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,16,32.2,0.3,2.0,3.5,49,999,16421,2226,1227
88,109,1,7,False,2020-12-13T19:15:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,1,26,30.4,0.3,14.0,4.5,49,-166,16308,1015,1181
88,120,2,6,False,2020-12-17T18:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,19,13.8,0.2,17.0,3.1,49,939,17528,1490,551
88,130,20,2,True,2020-12-21T17:30:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,10,13.2,0.5,4.0,1.8,49,3902,21798,4536,634
88,142,10,2,False,2020-12-27T12:00:00Z,1,0,15,90,0,0,0,1,0,0,0,0,0,0,0,11,15.0,10.6,14.0,4.0,49,2267,24383,3752,1485
88,150,15,15,True,2020-12-29T18:00:00Z,1,0,16,90,1,0,1,0,0,0,0,0,0,0,3,39,49.4,0.4,41.0,9.1,49,7721,32929,8885,1164
88,379,13,2,True,2021-01-12T20:15:00Z,0,1,18,90,0,0,0,1,0,0,0,0,0,0,0,13,19.6,10.1,5.0,3.5,49,20811,148530,49806,28995
88,187,19,2,False,2021-01-16T15:00:00Z,1,0,19,90,0,0,0,1,0,0,0,0,0,0,0,14,39.0,1.7,8.0,4.9,49,-4785,133175,14841,19626
88,177,11,7,False,2021-01-21T20:00:00Z,0,1,19,90,0,0,1,0,0,0,0,0,0,0,1,25,37.6,0.0,0.0,3.8,49,-4785,133175,14841,19626
88,190,2,7,True,2021-01-27T18:00:00Z,3,2,20,90,1,0,0,2,0,0,0,0,0,0,0,23,48.6,0.2,33.0,8.2,49,-5883,128380,10953,16836
88,201,5,1,False,2021-01-31T12:00:00Z,2,0,21,90,0,0,0,2,0,0,0,0,0,0,0,10,18.0,0.1,0.0,1.8,49,3683,133563,12843,9160
88,210,12,1,True,2021-02-03T18:00:00Z,0,2,22,90,0,0,0,2,0,0,0,0,0,0,0,9,18.2,0.0,0.0,1.8,49,-1966,131925,6180,8146
88,220,3,1,True,2021-02-06T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,1,0,0,0,9,15.8,0.8,17.0,3.4,50,87144,221344,94806,7662
88,232,6,6,False,2021-02-13T15:00:00Z,0,3,24,83,0,0,1,0,0,0,0,0,0,0,0,23,18.8,10.4,4.0,3.3,50,342743,605513,357629,14886
88,160,8,0,True,2021-02-17T18:00:00Z,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,342743,605513,357629,14886
