element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
74,7,5,1,True,2020-09-14T19:15:00Z,1,3,1,78,0,0,0,3,0,0,0,0,0,0,0,16,14.2,0.8,0.0,1.5,45,0,103827,0,0
74,16,14,6,False,2020-09-20T13:00:00Z,0,3,2,90,0,0,1,0,0,0,0,0,0,0,0,21,12.8,3.8,0.0,1.7,45,-12682,96397,4037,16719
74,19,13,0,True,2020-09-26T11:30:00Z,2,3,3,90,0,0,0,3,0,0,0,1,0,0,0,14,22.6,17.0,2.0,4.2,45,7469,111432,21069,13600
74,32,7,0,False,2020-10-03T14:00:00Z,4,2,4,90,0,0,0,4,0,0,0,0,0,0,0,13,25.4,3.1,0.0,2.9,45,-5843,106517,5085,10928
74,40,6,2,False,2020-10-18T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,10,14.0,3.6,6.0,2.4,45,-6696,101660,6049,12745
74,51,18,2,True,2020-10-26T17:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,12,12.0,1.8,2.0,1.6,45,-1281,101629,4856,6137
74,67,17,1,False,2020-11-01T19:15:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,12,15.6,1.3,0.0,1.7,45,-3975,97883,1837,5812
74,70,4,6,True,2020-11-06T17:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,27,11.8,3.2,0.0,1.5,45,-1178,98103,3952,5130
74,79,2,2,False,2020-11-21T15:00:00Z,1,2,9,90,0,0,0,1,0,0,0,0,0,0,0,8,13.8,0.4,0.0,1.4,45,-3198,94550,2380,5578
74,90,11,1,True,2020-11-28T12:30:00Z,1,1,10,90,0,0,0,1,0,0,0,1,0,0,0,11,21.8,20.6,0.0,4.2,45,-2620,92411,1596,4216
74,100,16,1,True,2020-12-07T20:00:00Z,1,2,11,80,0,0,0,2,0,0,0,0,0,0,0,7,3.6,0.2,0.0,0.4,44,224,93521,3871,3647
74,114,9,1,False,2020-12-13T19:15:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,0,0,16,18.0,2.1,0.0,2.0,44,-1667,91951,2053,3720
74,121,8,6,False,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,25,18.2,1.8,2.0,2.2,44,1392,93842,4114,2722
74,129,15,2,True,2020-12-20T12:00:00Z,1,1,14,71,0,0,0,1,0,0,0,0,0,0,0,11,3.2,3.8,0.0,0.7,44,10462,105178,12427,1965
74,147,19,1,False,2020-12-27T14:15:00Z,2,2,15,90,0,0,0,2,0,0,0,0,0,0,0,14,12.8,12.5,0.0,2.5,44,-1695,103352,5049,6744
74,149,1,0,True,2020-12-29T18:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2455,101075,2382,4837
74,159,20,1,True,2021-01-02T17:30:00Z,3,3,17,90,0,0,0,3,0,0,0,0,0,0,0,12,10.2,14.3,0.0,2.5,44,-4406,96878,2642,7048
74,178,12,2,False,2021-01-13T18:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,0,0,14,6.4,2.2,0.0,0.9,44,-4293,88530,4095,8388
74,182,10,6,False,2021-01-16T15:00:00Z,0,1,19,90,0,0,1,0,0,0,0,0,0,0,0,20,8.0,2.3,26.0,3.6,44,-4888,86965,2601,7489
74,189,8,8,True,2021-01-27T19:30:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,2,28,14.4,12.3,4.0,3.1,44,1223,90431,6418,5195
74,200,17,6,True,2021-01-31T19:15:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,0,0,25,16.6,12.5,21.0,5.0,44,720,91375,4446,3726
74,216,11,6,False,2021-02-03T20:15:00Z,0,1,22,90,0,0,1,0,0,0,0,0,0,0,0,22,4.4,0.7,4.0,0.9,44,4422,96232,6832,2410
74,220,4,2,False,2021-02-06T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,10,19.2,0.5,0.0,2.0,44,23598,121177,26611,3013
74,230,2,6,True,2021-02-13T20:00:00Z,0,0,24,90,0,0,1,0,0,0,0,0,0,0,0,25,7.6,0.9,0.0,0.9,44,10030,131595,19844,9814
74,241,6,1,True,2021-02-22T20:00:00Z,1,2,25,90,0,0,0,2,0,0,0,0,0,0,0,15,14.6,3.8,18.0,3.6,44,37506,171597,46868,9362
74,258,18,2,False,2021-02-27T15:00:00Z,1,0,26,83,0,0,0,1,0,0,0,0,0,0,0,14,13.2,0.8,0.0,1.4,44,10781,182149,30946,20165
74,260,9,1,True,2021-03-06T20:00:00Z,1,2,27,90,0,0,0,2,0,0,0,0,0,0,0,12,9.8,0.1,2.0,1.2,44,-801,182072,7821,8622
74,277,16,2,False,2021-03-14T12:00:00Z,1,2,28,90,0,0,0,1,0,0,0,0,0,0,0,7,8.0,0.1,0.0,0.8,44,5076,187501,12594,7518
