element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
154,4,17,0,False,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,10689,0,0
154,12,18,0,True,2020-09-19T11:30:00Z,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-1784,11165,913,2697
154,21,6,0,False,2020-09-26T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-2276,9629,666,2942
154,32,3,0,True,2020-10-03T14:00:00Z,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-1061,9184,700,1761
154,41,11,0,True,2020-10-17T11:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-1076,8576,464,1540
154,56,16,0,False,2020-10-25T14:00:00Z,2,0,6,45,0,0,0,0,0,0,0,1,0,0,0,3,14.0,27.0,4.0,4.5,58,-455,8416,295,750
154,65,14,1,False,2020-11-01T14:00:00Z,2,1,7,30,0,0,0,1,0,0,0,0,0,0,0,6,7.6,13.8,0.0,2.1,58,-296,8380,296,592
154,73,13,8,True,2020-11-07T12:30:00Z,1,3,8,90,1,0,0,3,0,0,0,0,0,0,1,28,45.6,30.4,20.0,9.6,58,-239,8313,241,480
154,81,8,0,False,2020-11-22T12:00:00Z,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,2531,11888,3297,766
154,93,10,1,True,2020-11-28T17:30:00Z,0,1,10,8,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1.1,0.0,0.2,58,-469,11384,818,1287
154,101,4,0,False,2020-12-05T12:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-623,10966,527,1150
154,111,5,0,True,2020-12-12T20:00:00Z,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-736,10392,262,998
154,123,9,0,False,2020-12-16T18:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-275,10234,213,488
154,133,1,0,True,2020-12-19T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-324,10003,203,527
154,146,15,0,False,2020-12-26T20:00:00Z,0,1,15,35,0,0,0,0,0,0,0,1,0,0,0,3,3.0,1.5,26.0,3.1,58,-293,9889,336,629
154,163,19,3,True,2021-01-01T17:30:00Z,0,1,17,63,0,0,1,0,0,0,0,0,0,0,0,2,7.4,14.6,11.0,3.3,58,-82,9855,254,336
154,176,20,0,False,2021-01-12T20:15:00Z,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,206,10742,679,473
154,191,9,0,True,2021-01-27T20:15:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-286,9861,135,421
154,203,14,0,True,2021-01-30T12:30:00Z,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-172,9751,86,258
154,212,10,0,False,2021-02-03T19:30:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-135,9659,83,218
