element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
343,8,20,2,True,2020-09-14T17:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,-4,1.4,3.0,23.0,2.7,60,0,17568,0,0
343,10,2,0,False,2020-09-21T17:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,30,21686,4385,4355
343,25,10,1,True,2020-09-27T11:00:00Z,0,1,3,16,0,0,0,1,0,0,0,0,0,0,0,1,2.0,0.1,19.0,2.1,59,-5336,17103,1203,6539
343,29,1,1,False,2020-10-04T13:00:00Z,2,1,4,14,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.5,2.0,0.4,58,-3619,13929,377,3996
343,46,8,7,True,2020-10-18T11:00:00Z,1,1,5,9,1,0,0,0,0,0,0,0,0,0,2,26,33.2,0.3,17.0,5.1,58,-1828,12462,465,2293
343,54,11,0,False,2020-10-24T19:00:00Z,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-400,12394,761,1161
343,66,12,0,True,2020-10-31T12:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-911,11599,372,1283
343,71,5,0,False,2020-11-07T17:30:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-701,10984,235,936
343,86,19,0,True,2020-11-22T14:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-527,10603,339,866
343,97,18,0,False,2020-11-28T20:00:00Z,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-394,10268,112,506
343,105,9,0,True,2020-12-06T14:15:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-409,9887,128,537
343,117,16,1,False,2020-12-13T12:00:00Z,3,0,12,59,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,1.3,2.0,0.2,56,-287,9638,98,385
343,124,13,0,True,2020-12-17T20:00:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-126,9550,95,221
343,129,3,0,False,2020-12-20T12:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-109,9455,127,236
343,146,7,0,True,2020-12-26T20:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-222,9268,106,328
343,150,4,0,False,2020-12-29T18:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-113,9171,61,174
343,162,6,0,False,2021-01-02T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-89,9101,78,167
343,174,14,5,True,2021-01-12T18:00:00Z,1,0,18,31,1,0,0,0,0,0,0,1,0,0,1,22,31.4,10.4,19.0,6.1,55,-61,9179,309,370
343,186,17,1,True,2021-01-17T14:00:00Z,1,3,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,55,947,10199,1413,466
343,192,13,2,False,2021-01-27T20:15:00Z,1,2,20,69,0,0,0,1,0,0,0,0,0,0,0,-1,1.6,1.3,17.0,2.0,55,-116,10012,499,615
343,205,12,1,False,2021-01-30T15:00:00Z,1,0,21,12,0,0,0,0,0,0,0,0,0,0,0,3,2.0,11.3,2.0,1.5,55,74,10141,469,395
343,214,18,9,True,2021-02-02T18:00:00Z,2,1,22,85,1,0,0,1,0,0,0,0,0,0,3,32,36.2,2.7,25.0,6.4,55,586,10804,1035,449
343,226,5,1,True,2021-02-07T19:15:00Z,1,2,23,22,0,0,0,0,0,0,0,0,0,0,0,2,4.4,0.8,21.0,2.6,55,3408,14685,4435,1027
343,238,19,2,False,2021-02-15T18:00:00Z,3,0,24,90,0,0,0,3,0,0,0,0,0,0,0,5,1.6,18.7,10.0,3.0,55,1511,16464,3539,2028
