season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2007/08,41135,60,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2008/09,41135,55,47,55,1101,0,1,0,9,0,0,0,2,0,0,3,0,0.0,0.0,0.0,0.0
2009/10,41135,60,58,103,2254,0,6,0,20,0,0,0,6,0,0,2,0,0.0,0.0,0.0,0.0
2010/11,41135,70,71,144,2827,4,5,13,27,0,0,0,12,0,0,5,0,0.0,0.0,0.0,0.0
2011/12,41135,70,66,80,2265,3,1,4,35,0,0,0,6,0,1,7,0,0.0,0.0,0.0,0.0
2012/13,41135,65,69,143,2945,5,1,12,34,0,0,0,4,1,0,12,0,0.0,0.0,0.0,0.0
2013/14,41135,65,67,159,3179,3,1,16,27,0,0,0,8,0,0,16,208,0.0,0.0,0.0,0.0
2014/15,41135,70,77,179,3420,4,6,17,32,0,0,0,10,1,0,13,796,0.0,0.0,0.0,0.0
2015/16,41135,70,66,111,2916,2,3,8,44,0,0,0,5,0,0,13,593,0.0,0.0,0.0,0.0
2016/17,41135,60,56,23,589,0,1,1,9,0,0,0,2,0,0,2,143,114.6,69.4,112.0,29.4
