element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
302,15,6,2,True,2020-09-19T16:30:00Z,1,3,2,90,0,0,0,3,0,0,0,0,0,0,0,13,25.6,78.4,25.0,12.9,105,451998,1623046,525858,73860
302,19,3,12,False,2020-09-26T11:30:00Z,2,3,3,90,1,1,0,2,0,0,0,1,0,0,3,40,60.6,40.8,19.0,12.0,105,-274258,1344788,80386,354644
302,35,17,6,True,2020-10-04T15:30:00Z,1,6,4,45,1,0,0,4,0,0,0,0,0,0,0,21,35.4,16.6,23.0,7.5,105,76237,1473422,187021,110784
302,45,14,11,False,2020-10-17T19:00:00Z,1,4,5,90,1,1,0,1,0,0,1,0,0,0,3,49,85.4,78.7,56.0,22.0,105,-1258,1508759,192662,193920
302,55,5,3,True,2020-10-24T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,14,18.6,60.9,16.0,9.6,105,85046,1609144,163779,78733
302,64,1,2,True,2020-11-01T16:30:00Z,0,1,7,74,0,0,0,1,0,0,0,0,0,0,0,7,9.2,17.5,8.0,3.5,105,-17677,1601697,68832,86509
302,73,7,17,False,2020-11-07T12:30:00Z,1,3,8,90,2,1,0,1,0,0,0,1,0,0,3,51,93.6,21.2,58.0,17.3,105,-108368,1495550,38692,147060
302,84,18,11,True,2020-11-21T20:00:00Z,1,0,9,90,1,0,1,0,0,0,0,0,0,0,3,44,58.0,86.5,56.0,20.1,107,1033358,2644080,1055501,22143
302,96,16,10,False,2020-11-29T14:00:00Z,2,3,10,90,1,1,0,2,0,0,0,0,0,0,0,26,35.6,20.1,54.0,11.0,108,241785,2832510,298414,56629
302,108,19,6,False,2020-12-05T17:30:00Z,1,3,11,45,0,1,0,0,0,0,0,0,0,0,2,31,35.2,87.0,0.0,12.2,109,242451,3103036,283987,41536
302,115,12,3,True,2020-12-12T17:30:00Z,0,0,12,90,0,0,1,0,0,0,0,0,0,0,0,7,17.2,27.7,37.0,8.2,109,-32910,3049874,124346,157256
302,124,15,2,False,2020-12-17T20:00:00Z,2,3,13,79,0,0,0,1,0,0,0,0,0,0,0,7,6.6,15.9,1.0,2.4,110,173773,3258678,211622,37849
302,134,10,17,True,2020-12-20T16:30:00Z,6,2,14,70,2,1,0,1,0,0,0,0,0,0,2,64,94.0,36.9,54.0,18.5,110,-5647,3248370,83501,89148
302,143,9,12,False,2020-12-26T12:30:00Z,2,2,15,90,1,1,0,2,0,0,0,1,0,0,3,39,58.4,40.4,47.0,14.6,110,88219,3359878,201910,113691
302,154,20,6,True,2020-12-29T20:00:00Z,1,0,16,90,0,1,1,0,0,0,0,0,0,0,0,16,35.6,45.2,55.0,13.6,111,264327,3644822,276147,11820
302,164,2,10,True,2021-01-01T20:00:00Z,2,1,17,86,1,0,0,1,0,0,0,0,0,0,3,34,47.4,55.7,52.0,15.5,112,213222,3869250,229413,16191
302,379,4,2,False,2021-01-12T20:15:00Z,0,1,18,88,0,0,1,0,0,0,0,1,0,0,0,13,20.2,30.9,41.0,9.2,113,271408,4398545,294187,22779
302,184,11,3,False,2021-01-17T16:30:00Z,0,0,19,88,0,0,1,0,0,0,0,0,0,0,0,3,7.4,24.5,47.0,7.9,113,-12831,4139736,91675,104506
302,171,8,5,False,2021-01-20T20:15:00Z,1,2,19,90,0,1,0,1,0,0,0,0,0,0,0,20,13.8,37.2,23.0,7.4,113,-12831,4139736,91675,104506
302,192,15,2,True,2021-01-27T20:15:00Z,1,2,20,90,0,0,0,2,0,0,0,0,0,0,0,15,18.2,37.8,38.0,9.4,113,315163,4491956,348430,33267
302,199,1,3,False,2021-01-30T17:30:00Z,0,0,21,90,0,0,1,0,0,0,0,0,0,0,0,8,7.0,16.3,18.0,4.1,114,-57421,4435441,75425,132846
302,213,16,17,True,2021-02-02T20:15:00Z,9,0,22,90,1,2,1,0,0,0,0,0,0,0,3,54,89.4,65.2,69.0,22.4,114,16203,4465306,93203,77000
302,224,7,7,True,2021-02-06T20:00:00Z,3,3,23,90,1,0,0,3,0,0,0,0,0,0,0,29,35.0,53.3,20.0,10.8,115,187847,4675676,200383,12536
302,237,18,9,False,2021-02-14T14:00:00Z,1,1,24,90,1,0,0,1,0,0,0,0,0,0,2,23,48.4,11.8,33.0,9.3,115,79908,4774932,110716,30808
302,245,14,12,True,2021-02-21T19:00:00Z,3,1,25,90,1,1,0,1,0,0,0,1,0,0,3,41,60.8,43.6,29.0,13.3,116,41622,4834223,63513,21891
302,249,5,3,False,2021-02-28T16:30:00Z,0,0,26,90,0,0,1,0,0,0,0,0,0,0,0,7,11.0,16.8,18.0,4.6,116,19376,4871297,82355,62979
302,281,6,3,False,2021-03-03T20:15:00Z,0,0,26,90,0,0,1,0,0,0,0,0,0,0,0,13,15.2,62.4,6.0,8.4,116,19376,4871297,82355,62979
302,264,12,10,False,2021-03-07T16:30:00Z,0,2,27,90,1,0,1,0,0,0,0,0,0,0,2,33,40.4,12.7,17.0,7.0,116,-300771,4576726,24698,325469
302,275,19,3,True,2021-03-14T19:15:00Z,1,0,28,90,0,0,1,0,0,0,0,0,0,0,0,14,24.8,64.8,35.0,12.5,115,75377,4669546,112205,36828
