element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
122,7,3,1,False,2020-09-14T19:15:00Z,1,3,1,10,0,0,0,0,0,0,0,0,0,0,0,3,0.8,1.3,0.0,0.2,60,0,28187,0,0
122,11,11,0,True,2020-09-20T15:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-7163,24640,1444,8607
122,27,18,6,False,2020-09-26T16:30:00Z,3,3,3,45,1,0,0,0,0,0,0,0,0,0,0,25,40.6,28.6,31.0,10.0,58,-6871,18974,982,7853
122,31,6,3,True,2020-10-03T11:30:00Z,4,0,4,82,0,0,1,0,0,0,0,0,0,0,0,16,5.2,29.6,18.0,5.3,58,7007,29562,11179,4172
122,39,16,0,True,2020-10-17T14:00:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-840,29958,5507,6347
122,55,13,0,False,2020-10-24T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-4911,25332,908,5819
122,60,4,1,False,2020-10-31T15:00:00Z,0,3,7,17,0,0,0,0,0,0,0,0,0,0,0,3,3.0,10.9,4.0,1.8,58,-2735,23142,834,3569
122,71,15,0,True,2020-11-07T17:30:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-1777,21628,702,2479
122,85,14,1,False,2020-11-21T12:30:00Z,0,2,9,14,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2.2,12.0,1.4,57,-1960,20005,506,2466
122,91,17,0,True,2020-11-29T16:30:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-497,19768,578,1075
122,102,10,0,True,2020-12-05T20:00:00Z,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-766,19172,468,1234
122,111,7,0,False,2020-12-12T20:00:00Z,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-1483,17747,172,1655
122,126,20,0,False,2020-12-15T18:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-969,16793,22,991
122,131,19,0,True,2020-12-21T20:00:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-591,16235,21,612
122,139,1,4,False,2020-12-26T17:30:00Z,3,1,15,45,0,1,0,1,0,0,0,0,0,0,0,19,27.0,29.8,24.0,8.1,57,-312,16041,186,498
122,151,2,2,True,2020-12-28T17:30:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,9,13.2,24.5,13.0,5.1,57,6160,22830,6573,413
122,161,12,7,True,2021-01-03T16:30:00Z,1,3,17,26,1,0,0,0,0,0,0,0,0,0,1,27,43.0,27.3,21.0,9.1,57,-2389,20152,796,3185
122,181,8,1,False,2021-01-16T17:30:00Z,0,1,19,15,0,0,0,0,0,0,0,0,0,0,0,5,4.0,1.6,2.0,0.8,57,4313,26344,6077,1764
122,173,9,2,False,2021-01-19T20:15:00Z,2,0,19,67,0,0,0,2,0,0,0,0,0,0,0,7,1.8,19.7,4.0,2.6,57,4313,26344,6077,1764
122,194,20,3,True,2021-01-27T18:00:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,15,17.6,39.8,29.0,8.6,57,-1505,24261,2018,3523
122,201,4,7,True,2021-01-31T12:00:00Z,2,0,21,72,0,1,1,0,0,0,0,0,0,0,1,29,26.8,39.2,46.0,11.2,57,3685,28391,5719,2034
122,218,17,3,False,2021-02-04T20:00:00Z,0,1,22,64,0,0,1,0,0,0,0,0,0,0,0,6,4.0,5.9,35.0,4.5,57,28185,57749,30168,1983
122,226,15,1,False,2021-02-07T19:15:00Z,1,2,23,28,0,0,0,0,0,0,0,0,0,0,0,5,6.6,22.5,4.0,3.3,57,19546,78092,25001,5455
122,231,14,3,True,2021-02-15T20:00:00Z,2,0,24,77,0,0,1,0,0,0,0,0,0,0,0,13,15.6,28.4,16.0,6.0,57,-10768,67075,6980,17748
122,246,16,1,False,2021-02-20T12:30:00Z,1,1,25,30,0,0,0,0,0,0,0,0,0,0,0,5,2.6,1.8,2.0,0.6,57,-7278,61058,5247,12525
122,249,13,1,True,2021-02-28T16:30:00Z,0,0,26,45,0,0,0,0,0,0,0,0,0,0,0,8,12.6,24.9,4.0,4.2,57,-10881,50259,3726,14607
122,283,11,0,False,2021-03-04T20:15:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-10881,50259,3726,14607
122,262,7,3,True,2021-03-08T18:00:00Z,2,0,27,65,0,0,1,0,0,0,0,0,0,0,0,6,7.6,6.8,25.0,3.9,57,-4862,46119,2485,7347
122,273,10,1,False,2021-03-13T12:30:00Z,0,0,28,11,0,0,0,0,0,0,0,0,0,0,0,3,3.6,0.7,19.0,2.3,57,-1197,45271,3696,4893
