element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
506,6,19,8,False,2020-09-12T19:00:00Z,0,2,1,84,1,0,1,0,0,0,0,0,0,0,2,32,32.0,23.3,50.0,10.5,65,0,538610,0,0
506,16,3,2,True,2020-09-20T13:00:00Z,0,3,2,90,0,0,0,3,0,0,0,0,0,0,0,-1,0.0,0.8,10.0,0.8,65,287580,985394,372449,84869
506,26,17,8,False,2020-09-27T13:00:00Z,1,1,3,90,1,0,0,1,0,0,0,0,0,0,2,29,33.2,2.4,19.0,5.5,65,-252768,708132,39691,292459
506,36,4,16,True,2020-10-03T19:00:00Z,3,1,4,90,2,1,0,1,0,0,0,0,0,0,3,62,86.8,21.4,58.0,16.6,64,-33427,706711,73218,106645
506,45,13,2,True,2020-10-17T19:00:00Z,1,4,5,90,0,0,0,4,0,0,0,0,0,0,0,4,6.6,12.1,53.0,7.2,65,237723,987870,341620,103897
506,58,20,5,False,2020-10-25T16:30:00Z,1,1,6,90,0,1,0,1,0,0,0,0,0,0,0,14,3.8,13.2,24.0,4.1,65,4821,992172,129025,124204
506,65,7,12,True,2020-11-01T14:00:00Z,2,1,7,86,2,0,1,0,0,0,0,1,0,0,3,53,63.4,14.1,78.0,15.6,65,-63076,934766,56857,119933
506,76,16,2,False,2020-11-06T20:00:00Z,2,0,8,77,0,0,0,1,0,0,0,0,0,0,0,4,8.2,0.8,0.0,0.9,66,275289,1236495,308845,33556
506,85,5,0,True,2020-11-21T12:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-309536,886652,23269,332805
506,92,6,12,False,2020-11-27T20:00:00Z,0,2,10,90,1,1,1,0,0,0,0,0,0,0,3,39,50.0,15.3,27.0,9.2,65,-78963,839846,35988,114951
506,116,18,1,True,2020-12-12T15:00:00Z,2,1,12,90,0,0,0,1,0,0,0,1,0,0,0,-2,0.0,14.2,6.0,2.0,66,277587,1300824,315694,38107
506,122,10,5,False,2020-12-16T18:00:00Z,5,2,13,90,0,1,0,5,0,0,0,0,0,0,0,10,26.4,34.7,36.0,9.7,66,-23869,1263358,58463,82332
506,135,8,9,True,2020-12-19T20:00:00Z,1,1,14,90,1,0,0,1,0,0,0,0,0,0,3,28,45.0,1.3,37.0,8.3,66,79431,1353430,118561,39130
506,145,12,0,False,2020-12-26T20:00:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-136215,1215598,84104,220319
506,155,11,2,True,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,2,0.4,12.9,42.0,5.5,66,-111064,1108095,31923,142987
506,165,9,2,True,2021-01-03T14:15:00Z,1,2,17,90,0,0,0,2,0,0,0,0,0,0,0,5,3.8,1.8,4.0,1.0,65,-9486,1104459,81380,90866
506,174,15,2,False,2021-01-12T18:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,0,0,-3,0.4,2.2,27.0,3.0,66,448646,2230524,545303,96657
506,179,1,2,False,2021-01-18T20:00:00Z,3,0,19,90,0,0,0,3,0,0,0,0,0,0,0,7,10.6,12.2,18.0,4.1,66,74530,1599004,274169,199639
506,99,2,2,False,2021-01-23T20:00:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,3,2.2,2.2,2.0,0.6,66,74530,1599004,274169,199639
506,196,10,5,True,2021-01-26T18:00:00Z,1,2,20,90,0,1,0,2,0,0,0,0,0,0,0,17,18.2,11.3,26.0,5.6,66,-136722,1483790,105010,241732
506,203,7,13,False,2021-01-30T12:30:00Z,0,2,21,90,2,0,1,0,0,0,0,0,0,0,3,42,73.0,3.6,81.0,15.8,66,-76417,1410324,54736,131153
506,217,6,5,True,2021-02-02T20:15:00Z,1,2,22,90,0,1,0,2,0,0,0,0,0,0,0,10,12.0,17.1,34.0,6.3,67,521506,1950311,536264,14758
506,225,16,1,True,2021-02-06T15:00:00Z,3,2,23,35,0,0,0,1,0,0,0,0,0,0,0,1,3.2,0.2,21.0,2.4,68,75641,2027762,138008,62367
506,231,5,0,False,2021-02-15T20:00:00Z,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,-986874,1007441,6768,993642
