element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
564,47,19,0,True,2020-10-18T15:30:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,1008,1832,1400,392
564,52,4,0,False,2020-10-26T20:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,426,2770,1106,680
564,67,3,0,True,2020-11-01T19:15:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,-150,3032,652,802
564,77,18,1,False,2020-11-08T12:00:00Z,0,1,8,12,0,0,0,0,0,0,0,0,0,0,0,2,2.0,10.3,21.0,3.3,70,-245,3029,360,605
564,87,12,0,True,2020-11-21T17:30:00Z,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,-171,3243,375,546
564,91,5,0,False,2020-11-29T16:30:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,-65,3382,261,326
564,106,1,0,True,2020-12-06T16:30:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,-170,3410,311,481
564,110,6,0,False,2020-12-13T14:15:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-121,3424,229,350
564,127,11,0,False,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-61,3477,126,187
564,137,9,0,True,2020-12-20T14:15:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-100,3484,120,220
564,148,20,0,False,2020-12-27T19:15:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-93,3612,181,274
564,167,10,1,True,2021-01-02T12:30:00Z,3,0,17,3,0,0,0,0,0,0,0,0,0,0,0,5,3.2,0.1,0.0,0.3,69,-133,3656,95,228
564,157,8,1,True,2021-01-13T20:15:00Z,1,1,18,9,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,69,1153,6118,1676,523
564,186,15,1,False,2021-01-17T14:00:00Z,1,3,19,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,69,20,5163,701,681
564,198,11,0,True,2021-01-28T20:00:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-174,5294,588,762
564,200,3,1,False,2021-01-31T19:15:00Z,1,0,21,45,0,0,0,0,0,0,0,0,0,0,0,5,11.0,11.6,58.0,8.1,69,6361,11969,7124,763
564,218,5,2,True,2021-02-04T20:00:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,-1,2.0,2.8,6.0,1.1,69,-863,11156,2091,2954
