element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
97,14,9,3,False,2020-09-20T18:00:00Z,4,2,2,90,0,1,0,4,0,0,0,0,0,0,0,23,29.6,29.3,2.0,6.1,45,-7381,306344,25148,32529
97,20,16,2,True,2020-09-26T19:00:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,0,0,11,8.8,3.0,7.0,1.9,45,14866,328562,66644,51778
97,36,14,1,False,2020-10-03T19:00:00Z,3,1,4,90,0,0,0,3,0,0,0,0,0,0,0,11,6.0,3.3,0.0,0.9,45,-14700,314039,13697,28397
97,48,18,5,False,2020-10-19T16:30:00Z,0,0,5,90,0,0,1,0,0,0,0,1,0,0,0,17,9.8,1.8,0.0,1.2,45,-30016,286721,15815,45831
97,52,17,2,True,2020-10-26T20:00:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,19,19.6,13.5,0.0,3.3,45,-21597,265012,4335,25932
97,60,5,1,True,2020-10-31T15:00:00Z,0,3,7,90,0,0,0,3,0,0,0,0,0,0,0,12,8.6,0.8,2.0,1.1,45,-14306,252110,3008,17314
97,70,3,8,False,2020-11-06T17:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,2,29,37.2,15.1,0.0,5.2,45,-14708,237990,3898,18606
97,80,6,7,True,2020-11-23T17:30:00Z,1,0,9,90,0,0,1,0,0,0,0,0,0,0,1,24,17.2,15.7,0.0,3.3,45,-15850,221429,8510,24360
97,95,12,0,False,2020-11-28T15:00:00Z,5,0,10,90,0,0,0,5,0,0,0,0,0,0,0,13,13.2,15.4,4.0,3.3,44,-2503,221649,9987,12490
97,101,7,2,True,2020-12-05T12:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,11,16.0,1.6,0.0,1.8,44,4348,227721,15831,11483
97,109,1,6,False,2020-12-13T19:15:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,0,24,13.8,1.3,18.0,3.3,44,1595,230127,11389,9794
97,120,2,6,False,2020-12-17T18:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,22,28.4,1.0,0.0,2.9,44,21643,253122,26872,5229
97,130,20,5,True,2020-12-21T17:30:00Z,2,1,14,90,0,1,0,1,0,0,0,0,0,0,0,17,28.0,15.4,2.0,4.5,44,92451,348093,96935,4484
97,142,10,2,False,2020-12-27T12:00:00Z,1,0,15,90,0,0,0,1,0,0,0,0,0,0,0,15,16.4,19.2,0.0,3.6,45,108680,461279,119119,10439
97,150,15,1,True,2020-12-29T18:00:00Z,1,0,16,8,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,45,137595,603053,149582,11987
97,379,13,0,True,2021-01-12T20:15:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-81015,218545,1869,82884
97,187,19,0,False,2021-01-16T15:00:00Z,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-101760,256442,1172,102932
97,177,11,1,False,2021-01-21T20:00:00Z,0,1,19,48,0,0,0,0,0,0,0,0,0,0,0,6,11.6,0.3,0.0,1.2,45,-101760,256442,1172,102932
97,190,2,0,True,2021-01-27T18:00:00Z,3,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-48185,222142,1073,49258
97,201,5,0,False,2021-01-31T12:00:00Z,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-31214,191133,246,31460
97,210,12,0,True,2021-02-03T18:00:00Z,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-18657,172650,150,18807
