element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
345,8,20,1,True,2020-09-14T17:00:00Z,0,2,1,70,0,0,0,2,0,0,0,0,0,0,0,14,11.4,1.5,2.0,1.5,50,0,135308,0,0
345,10,2,2,False,2020-09-21T17:00:00Z,1,0,2,67,0,0,0,1,0,0,0,0,0,0,0,11,16.0,0.8,4.0,2.1,50,-14295,126555,3894,18189
345,25,10,2,True,2020-09-27T11:00:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,0,0,7,19.6,1.5,6.0,2.7,50,-14673,113907,4266,18939
345,29,1,1,False,2020-10-04T13:00:00Z,2,1,4,75,0,0,0,2,0,0,0,0,0,0,0,13,11.6,0.8,6.0,1.8,49,-15282,99516,1429,16711
345,46,8,4,True,2020-10-18T11:00:00Z,1,1,5,80,0,0,0,1,0,0,0,0,0,0,2,26,28.6,29.6,4.0,6.2,49,-7235,95073,5612,12847
345,54,11,1,False,2020-10-24T19:00:00Z,2,1,6,90,0,0,0,2,0,0,0,0,0,0,0,7,20.4,2.8,24.0,4.7,49,-8170,85940,1585,9755
345,66,12,2,True,2020-10-31T12:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,0,0,13,13.4,3.8,4.0,2.1,49,-5762,80889,996,6758
345,71,5,0,False,2020-11-07T17:30:00Z,4,1,8,90,0,0,0,4,0,0,0,0,0,0,0,8,10.2,1.3,2.0,1.4,48,-4609,76470,936,5545
345,86,19,2,True,2020-11-22T14:00:00Z,0,1,9,75,0,0,0,1,0,0,0,0,0,0,0,18,19.8,18.0,0.0,3.8,48,-4706,72136,1739,6445
345,97,18,2,False,2020-11-28T20:00:00Z,1,0,10,90,0,0,0,1,0,0,0,0,0,0,0,16,12.8,16.2,5.0,3.4,48,-1278,71690,2712,3990
345,105,9,1,True,2020-12-06T14:15:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,0,0,9,26.4,14.8,0.0,4.1,48,-4963,66169,542,5505
345,117,16,1,False,2020-12-13T12:00:00Z,3,0,12,69,0,0,0,2,0,0,0,0,0,0,0,6,13.8,2.0,2.0,1.8,47,-3551,63043,555,4106
345,124,13,1,True,2020-12-17T20:00:00Z,2,3,13,90,0,0,0,3,0,0,0,0,0,0,0,13,5.8,2.8,7.0,1.6,47,-3126,60045,212,3338
345,129,3,1,False,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,1,0,0,0,10,28.2,1.0,2.0,3.1,47,-1636,58608,960,2596
345,146,7,2,True,2020-12-26T20:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,0,10,9.2,2.1,4.0,1.5,47,-2892,55771,593,3485
345,150,4,2,False,2020-12-29T18:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,16,11.6,5.4,0.0,1.7,47,-625,55326,1226,1851
345,162,6,1,False,2021-01-02T15:00:00Z,2,0,17,90,0,0,0,2,0,0,0,0,0,0,0,8,10.8,14.4,24.0,4.9,46,-1275,54145,953,2228
345,174,14,1,True,2021-01-12T18:00:00Z,1,0,18,50,0,0,0,0,0,0,0,0,0,0,0,11,4.0,3.6,0.0,0.8,46,2527,72034,6315,3788
345,186,17,1,True,2021-01-17T14:00:00Z,1,3,19,73,0,0,0,3,0,0,0,0,0,0,0,18,21.2,12.7,4.0,3.8,46,-4014,52011,211,4225
345,192,13,2,False,2021-01-27T20:15:00Z,1,2,20,90,0,0,0,1,0,0,0,0,0,0,0,16,25.8,0.3,0.0,2.6,46,-2191,50856,369,2560
345,205,12,2,False,2021-01-30T15:00:00Z,1,0,21,77,0,0,0,1,0,0,0,0,0,0,0,8,6.6,1.0,0.0,0.8,46,-1115,49845,432,1547
345,214,18,5,True,2021-02-02T18:00:00Z,2,1,22,90,0,1,0,1,0,0,0,0,0,0,0,23,52.0,24.3,14.0,9.0,46,1044,51129,2205,1161
345,226,5,0,True,2021-02-07T19:15:00Z,1,2,23,90,0,0,0,2,0,0,0,1,0,0,0,5,18.2,1.2,0.0,1.9,46,-1382,49797,584,1966
345,238,19,0,False,2021-02-15T18:00:00Z,3,0,24,90,0,0,0,3,0,0,0,1,0,0,0,8,11.4,3.6,25.0,4.0,46,-1315,48501,522,1837
