element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
91,14,9,6,False,2020-09-20T18:00:00Z,4,2,2,90,1,0,0,4,0,0,0,0,0,0,0,24,37.2,1.1,44.0,8.2,65,-10246,139905,11817,22063
91,20,16,2,True,2020-09-26T19:00:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,0,0,2,1.2,3.1,25.0,2.9,65,11334,158345,45880,34546
91,36,14,2,False,2020-10-03T19:00:00Z,3,1,4,90,0,0,0,3,0,0,0,0,0,0,0,2,1.2,1.1,33.0,3.5,65,-20647,138067,9361,30008
91,48,18,2,False,2020-10-19T16:30:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,-8,0.0,2.5,39.0,3.6,64,-22180,118759,7515,29695
91,52,17,2,True,2020-10-26T20:00:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,3,6.6,13.8,33.0,5.3,64,-20725,98206,1722,22447
91,60,5,2,True,2020-10-31T15:00:00Z,0,3,7,90,0,0,0,3,0,0,0,0,0,0,0,1,0.2,0.8,0.0,0.1,63,-13733,85826,2116,15849
91,70,3,2,False,2020-11-06T17:30:00Z,0,0,8,83,0,0,1,0,0,0,0,0,0,0,0,5,3.2,2.5,17.0,2.3,63,-6310,80485,3377,9687
91,80,6,8,True,2020-11-23T17:30:00Z,1,0,9,90,1,0,1,0,0,0,0,0,0,0,2,26,43.8,22.7,55.0,12.2,62,-7534,73483,1994,9528
91,95,12,2,False,2020-11-28T15:00:00Z,5,0,10,66,0,0,0,4,0,0,0,0,0,0,0,5,0.0,1.3,0.0,0.0,62,-2619,71469,1687,4306
91,101,7,2,True,2020-12-05T12:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,1,9.8,14.9,58.0,8.3,62,2243,75311,6849,4606
91,109,1,2,False,2020-12-13T19:15:00Z,0,1,12,69,0,0,1,0,0,0,0,0,0,0,0,-1,0.0,11.8,4.0,1.4,62,-4150,70719,2119,6269
91,120,2,2,False,2020-12-17T18:00:00Z,0,0,13,81,0,0,1,0,0,0,0,0,0,0,0,4,1.4,1.3,17.0,2.0,62,-1290,69851,1812,3102
91,130,20,9,True,2020-12-21T17:30:00Z,2,1,14,90,1,0,0,1,0,0,0,0,0,0,3,32,47.8,14.1,58.0,12.0,62,-1011,69107,2186,3197
91,142,10,2,False,2020-12-27T12:00:00Z,1,0,15,90,0,0,0,1,0,0,0,0,0,0,0,1,8.8,37.3,44.0,9.0,62,14004,84453,17491,3487
91,150,15,2,True,2020-12-29T18:00:00Z,1,0,16,90,0,0,1,0,0,0,0,0,0,0,0,1,4.4,12.5,19.0,3.6,62,40550,126896,45855,5305
91,379,13,2,True,2021-01-12T20:15:00Z,0,1,18,79,0,0,0,1,0,0,0,0,0,0,0,4,1.6,15.1,20.0,3.7,62,14355,156016,38349,23994
91,187,19,2,False,2021-01-16T15:00:00Z,1,0,19,71,0,0,0,1,0,0,0,0,0,0,0,5,3.2,4.3,7.0,1.5,62,-4344,151766,23336,27680
91,177,11,2,False,2021-01-21T20:00:00Z,0,1,19,90,0,0,1,0,0,0,0,0,0,0,0,4,2.0,13.3,4.0,1.9,62,-4344,151766,23336,27680
91,190,2,8,True,2021-01-27T18:00:00Z,3,2,20,90,1,0,0,2,0,0,0,0,0,0,2,32,40.4,2.5,34.0,7.7,62,-21828,129445,3554,25382
91,201,5,2,False,2021-01-31T12:00:00Z,2,0,21,61,0,0,0,1,0,0,0,0,0,0,0,3,0.0,1.8,4.0,0.5,62,-7512,122685,8061,15573
91,210,12,0,True,2021-02-03T18:00:00Z,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-21559,100891,1523,23082
