element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
218,5,18,0,False,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1369,0,0
218,14,4,0,True,2020-09-20T18:00:00Z,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,668,5420,1032,364
218,24,12,1,False,2020-09-27T15:30:00Z,2,5,3,10,0,0,0,1,0,0,0,0,0,0,0,3,6.0,0.0,0.0,0.6,45,254,7420,1284,1030
218,34,19,0,True,2020-10-04T11:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,412,8961,1338,926
218,43,2,0,True,2020-10-18T18:15:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-246,9447,807,1053
218,49,1,6,False,2020-10-25T19:15:00Z,0,1,6,90,0,0,1,0,0,0,0,1,0,0,1,23,21.0,3.0,0.0,2.4,45,-216,9551,592,808
218,62,10,2,False,2020-11-02T20:00:00Z,1,4,7,90,0,0,0,1,0,0,0,0,0,0,0,11,16.0,1.4,0.0,1.7,45,973,11091,1485,512
218,74,20,7,True,2020-11-08T14:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,1,24,20.6,1.4,9.0,3.1,45,1066,12624,1697,631
218,83,11,1,False,2020-11-22T19:15:00Z,3,0,9,61,0,0,0,2,0,0,0,0,0,0,0,9,15.0,0.1,0.0,1.5,45,4420,18174,5791,1371
218,94,8,1,True,2020-11-30T17:30:00Z,1,2,10,90,0,0,0,2,0,0,0,0,0,0,0,7,25.8,15.1,2.0,4.3,45,9131,29093,10594,1463
218,105,15,1,False,2020-12-06T14:15:00Z,1,2,11,90,0,0,0,1,0,0,0,1,0,0,0,7,10.6,7.2,1.0,1.9,45,5022,35614,7401,2379
218,114,3,5,True,2020-12-13T19:15:00Z,3,0,12,90,0,0,1,0,0,0,0,1,0,0,0,20,14.4,3.0,8.0,2.5,45,-364,33383,2494,2858
218,123,7,0,True,2020-12-16T18:00:00Z,0,2,13,90,0,0,0,2,0,0,0,1,0,0,0,8,7.6,2.7,2.0,1.2,45,-523,32924,2037,2560
218,137,17,0,False,2020-12-20T14:15:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2403,30679,1272,3675
218,143,13,0,True,2020-12-26T12:30:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-3217,27734,1438,4655
218,152,6,0,False,2020-12-28T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2571,25396,670,3241
218,165,14,0,False,2021-01-03T14:15:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2653,22900,649,3302
218,183,16,0,True,2021-01-16T20:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1054,19992,650,1704
218,173,5,0,True,2021-01-19T20:15:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1054,19992,650,1704
218,191,7,0,False,2021-01-27T20:15:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1428,18752,355,1783
218,204,10,0,True,2021-01-31T14:00:00Z,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-858,17987,197,1055
218,211,8,0,False,2021-02-03T18:00:00Z,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-618,17432,153,771
218,228,20,0,False,2021-02-07T14:00:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-675,16870,145,820
218,234,11,0,True,2021-02-13T12:30:00Z,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-281,16723,562,843
