element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
119,7,3,0,False,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,0,650190,0,0
119,11,11,0,True,2020-09-20T15:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-322911,367635,28655,351566
119,27,18,0,False,2020-09-26T16:30:00Z,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-170911,207071,7561,178472
119,31,6,1,True,2020-10-03T11:30:00Z,4,0,4,7,0,0,0,0,0,0,0,0,0,0,0,7,5.4,0.3,0.0,0.6,83,-32278,182756,14895,47173
119,39,16,2,True,2020-10-17T14:00:00Z,3,3,5,86,0,0,0,2,0,0,0,0,0,0,0,6,12.4,12.2,28.0,5.3,83,97839,299458,133339,35500
119,55,13,3,False,2020-10-24T16:30:00Z,0,0,6,80,0,0,1,0,0,0,0,0,0,0,0,7,8.6,1.6,44.0,5.4,83,-12039,282728,24436,36475
119,60,4,0,False,2020-10-31T15:00:00Z,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,24487,312128,47391,22904
119,71,15,0,True,2020-11-07T17:30:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-125327,183223,3254,128581
119,85,14,0,False,2020-11-21T12:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,-52590,133316,454,53044
119,91,17,1,True,2020-11-29T16:30:00Z,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.8,4.0,0.5,82,-7687,127362,628,8315
119,102,10,8,True,2020-12-05T20:00:00Z,3,1,11,60,1,0,1,0,0,0,0,0,0,0,0,24,40.4,2.9,85.0,12.8,82,1416,129992,4682,3266
119,111,7,0,False,2020-12-12T20:00:00Z,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,71543,203907,75810,4267
119,126,20,2,False,2020-12-15T18:00:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,0,0,12,11.2,19.6,12.0,4.3,82,-19697,182473,8087,27784
119,131,19,6,True,2020-12-21T20:00:00Z,3,0,14,83,0,1,1,0,0,0,0,0,0,0,0,12,9.4,26.6,41.0,7.7,82,6903,190955,16809,9906
119,139,1,2,False,2020-12-26T17:30:00Z,3,1,15,90,0,0,0,3,0,0,0,0,0,0,0,14,18.2,43.9,31.0,9.3,82,2370,194706,15890,13520
119,151,2,2,True,2020-12-28T17:30:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,-4,0.6,5.8,56.0,6.2,82,1910,197497,13869,11959
119,161,12,1,True,2021-01-03T16:30:00Z,1,3,17,90,0,0,0,3,0,0,0,1,0,0,0,13,14.2,14.0,10.0,3.8,82,-10791,187321,8257,19048
119,181,8,3,False,2021-01-16T17:30:00Z,0,1,19,90,0,0,1,0,0,0,0,0,0,0,0,15,9.0,28.4,7.0,4.4,82,5004,181804,15075,10071
119,173,9,2,False,2021-01-19T20:15:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,2,7.2,13.2,6.0,2.6,82,5004,181804,15075,10071
119,194,20,1,True,2021-01-27T18:00:00Z,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,3,0.4,1.7,4.0,0.6,82,-7848,172264,8183,16031
119,201,4,4,True,2021-01-31T12:00:00Z,2,0,21,45,0,1,0,0,0,0,0,0,0,0,0,8,19.2,13.1,47.0,7.9,82,-7270,165475,4631,11901
119,218,17,0,False,2021-02-04T20:00:00Z,0,1,22,25,0,0,0,0,0,0,0,1,0,0,0,-2,0.0,2.0,3.0,0.4,82,-2622,163462,5544,8166
