element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
324,6,19,0,False,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,3326,0,0
324,16,3,0,True,2020-09-20T13:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-181,4113,422,603
324,26,17,0,False,2020-09-27T13:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-355,4317,439,794
324,36,4,0,True,2020-10-03T19:00:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-869,3456,22,891
324,45,13,0,True,2020-10-17T19:00:00Z,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-480,3016,41,521
324,58,20,0,False,2020-10-25T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-213,2834,19,232
324,65,7,0,True,2020-11-01T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-136,2704,15,151
324,76,16,0,False,2020-11-06T20:00:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-24,2786,93,117
324,85,5,1,True,2020-11-21T12:30:00Z,0,2,9,90,0,0,0,2,0,0,0,0,0,0,0,9,12.2,0.9,0.0,1.3,45,-58,2862,93,151
324,92,6,6,False,2020-11-27T20:00:00Z,0,2,10,90,0,0,1,0,0,0,0,0,0,0,0,25,17.4,0.3,0.0,1.8,45,96,3073,212,116
324,116,18,2,True,2020-12-12T15:00:00Z,2,1,12,90,0,0,0,1,0,0,0,0,0,0,0,17,25.2,10.4,2.0,3.8,45,870,4549,1162,292
324,122,10,6,False,2020-12-16T18:00:00Z,5,2,13,90,1,0,0,5,0,0,0,0,0,0,0,25,55.4,0.3,17.0,7.3,45,285,4828,714,429
324,135,8,1,True,2020-12-19T20:00:00Z,1,1,14,90,0,0,0,1,0,0,0,1,0,0,0,11,13.8,0.8,0.0,1.5,45,6390,12040,7162,772
324,145,12,1,False,2020-12-26T20:00:00Z,2,0,15,90,0,0,0,2,0,0,0,0,0,0,0,6,11.2,0.7,18.0,3.0,45,-1778,9957,1845,3623
324,155,11,5,True,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,1,0,0,0,17,20.8,0.8,21.0,4.3,45,-148,9915,941,1089
324,165,9,1,True,2021-01-03T14:15:00Z,1,2,17,90,0,0,0,2,0,0,0,0,0,0,0,9,10.0,1.2,11.0,2.2,45,1381,11474,2521,1140
324,174,15,2,False,2021-01-12T18:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,0,0,12,29.8,0.2,0.0,3.0,45,24881,150902,33040,8159
324,179,1,1,False,2021-01-18T20:00:00Z,3,0,19,90,0,0,0,3,0,0,0,0,0,0,0,11,7.6,0.6,0.0,0.8,45,-4791,30957,4506,9297
324,99,2,0,False,2021-01-23T20:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4791,30957,4506,9297
324,196,10,0,True,2021-01-26T18:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-8128,23471,860,8988
324,203,7,1,False,2021-01-30T12:30:00Z,0,2,21,36,0,0,0,0,0,0,0,0,0,0,0,4,7.4,0.1,0.0,0.8,45,-5984,17553,28,6012
324,217,6,1,True,2021-02-02T20:15:00Z,1,2,22,88,0,0,0,2,0,0,0,0,0,0,0,15,17.2,11.1,22.0,5.0,45,-743,16992,529,1272
324,225,16,0,True,2021-02-06T15:00:00Z,3,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2057,15010,249,2306
324,231,5,1,False,2021-02-15T20:00:00Z,2,0,24,90,0,0,0,2,0,0,0,0,0,0,0,9,16.6,0.3,0.0,1.7,45,-2201,12679,129,2330
324,245,13,1,False,2021-02-21T19:00:00Z,3,1,25,90,0,0,0,3,0,0,0,0,0,0,0,10,25.6,0.2,2.0,2.8,45,-562,12397,200,762
324,255,20,1,True,2021-02-27T20:00:00Z,1,1,26,90,0,0,0,1,0,0,0,1,0,0,0,9,7.2,0.5,4.0,1.2,45,-427,12035,863,1290
324,267,18,8,False,2021-03-07T12:00:00Z,0,0,27,90,0,0,1,0,0,0,0,0,0,0,2,33,34.0,0.0,4.0,3.8,45,-185,12058,628,813
324,276,2,0,True,2021-03-12T20:00:00Z,1,1,28,90,0,0,0,1,1,0,0,0,0,0,0,9,12.0,0.9,2.0,1.5,45,2032,14329,2609,577
