element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
544,27,5,0,True,2020-09-26T16:30:00Z,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,211,329,287,76
544,37,16,0,False,2020-10-04T11:00:00Z,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,157,646,268,111
544,48,4,3,True,2020-10-19T16:30:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,10,13.8,22.5,3.0,3.9,55,-43,793,143,186
544,51,3,2,False,2020-10-26T17:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,9,17.2,2.9,8.0,2.8,55,8,916,116,108
544,61,8,1,False,2020-11-02T17:30:00Z,2,0,7,90,0,0,0,2,0,0,0,1,0,0,0,2,22.0,15.3,0.0,3.7,55,93,1103,181,88
544,77,17,2,True,2020-11-08T12:00:00Z,0,1,8,90,0,0,0,1,0,0,0,0,0,0,0,6,7.6,1.8,21.0,3.0,55,-75,1102,88,163
544,84,13,1,False,2020-11-21T20:00:00Z,1,0,9,90,0,0,0,1,0,0,0,1,0,0,0,16,23.2,48.9,2.0,7.4,55,81,1349,238,157
544,97,15,10,True,2020-11-28T20:00:00Z,1,0,10,90,1,0,1,0,0,0,0,0,0,0,2,32,38.0,2.8,34.0,7.5,55,389,1871,557,168
544,107,6,7,True,2020-12-06T12:00:00Z,1,5,11,90,1,0,0,5,0,0,0,1,0,0,1,32,42.4,8.8,19.0,7.0,55,1694,4015,2137,443
544,116,14,2,False,2020-12-12T15:00:00Z,2,1,12,79,0,0,0,1,0,0,0,0,0,0,0,13,3.2,5.6,39.0,4.8,55,4336,8649,5285,949
544,128,12,1,False,2020-12-15T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,1,0,0,0,3,2.0,1.1,1.0,0.4,55,1455,10195,3020,1565
544,138,2,2,True,2020-12-20T19:15:00Z,0,3,14,90,0,0,0,3,0,0,0,0,0,0,0,9,11.8,2.0,0.0,1.4,55,100,10434,2044,1944
544,144,11,2,False,2020-12-27T16:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,10,17.4,1.7,0.0,1.9,55,-900,9783,1059,1959
544,158,10,2,True,2020-12-29T18:00:00Z,0,5,16,90,0,0,0,5,0,0,0,0,0,0,0,8,8.8,2.4,2.0,1.3,55,145,10122,1131,986
544,168,1,1,True,2021-01-02T20:00:00Z,0,4,17,90,0,0,0,4,0,0,0,1,0,0,0,10,17.8,4.8,9.0,3.2,55,-1091,9071,552,1643
544,188,20,0,False,2021-01-16T12:30:00Z,2,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1227,5352,51,1278
544,175,19,1,False,2021-01-19T18:00:00Z,2,1,19,90,0,0,0,2,0,0,0,1,0,0,0,13,12.2,13.3,23.0,4.9,55,-1227,5352,51,1278
544,193,12,0,True,2021-01-26T20:15:00Z,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-373,5151,296,669
544,207,8,2,True,2021-01-30T15:00:00Z,2,2,21,90,0,0,0,2,0,0,0,0,0,0,0,10,12.2,1.5,4.0,1.8,55,-337,4848,239,576
544,214,15,1,False,2021-02-02T18:00:00Z,2,1,22,16,0,0,0,0,0,0,0,0,0,0,0,7,3.2,0.1,0.0,0.3,55,-160,4726,290,450
544,227,17,1,False,2021-02-07T12:00:00Z,2,0,23,90,0,0,0,2,0,0,0,1,0,0,0,3,6.4,0.7,0.0,0.7,55,-429,4352,52,481
544,237,13,4,True,2021-02-14T14:00:00Z,1,1,24,90,0,1,0,1,0,0,0,1,0,0,0,15,26.2,12.3,3.0,4.2,55,-261,4159,75,336
