element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
576,47,17,0,False,2020-10-18T15:30:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,336,412,395,59
576,57,12,0,True,2020-10-24T11:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,95,689,185,90
576,63,11,0,False,2020-10-31T17:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,2,851,122,120
576,78,8,0,True,2020-11-07T20:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,17,1023,139,122
576,86,15,0,False,2020-11-22T14:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-10,1209,146,156
576,98,2,0,True,2020-11-30T20:00:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-35,1284,83,118
576,108,13,0,True,2020-12-05T17:30:00Z,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,2,1390,101,99
576,113,10,0,False,2020-12-11T20:00:00Z,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-16,1489,101,117
576,125,6,0,True,2020-12-16T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-25,1529,69,94
576,131,5,0,False,2020-12-21T20:00:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-31,1552,51,82
576,147,3,0,True,2020-12-27T14:15:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-10,1713,125,135
576,156,16,6,False,2020-12-29T18:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,18,11.0,0.1,4.0,1.5,45,-5,1768,86,91
576,163,7,6,False,2021-01-01T17:30:00Z,0,1,17,90,0,0,1,0,0,0,0,0,0,0,0,23,11.4,0.1,0.0,1.2,45,219,2069,379,160
576,187,4,6,True,2021-01-16T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,0,0,0,0,24,19.4,10.5,2.0,3.2,45,19502,27713,21494,1992
576,175,18,2,True,2021-01-19T18:00:00Z,2,1,19,90,0,0,0,1,0,0,0,0,0,0,0,12,7.4,0.9,4.0,1.2,45,19502,27713,21494,1992
576,195,6,9,False,2021-01-26T18:00:00Z,2,3,20,90,1,0,0,2,0,0,0,0,0,0,2,26,44.2,0.7,33.0,7.8,45,171,24188,3760,3589
576,208,11,7,True,2021-01-31T16:30:00Z,1,3,21,90,1,0,0,3,0,0,0,0,0,0,0,23,50.0,0.9,44.0,9.5,45,5279,29950,8308,3029
576,209,2,2,False,2021-02-03T20:15:00Z,1,3,22,90,0,0,0,1,0,0,0,0,0,0,0,10,16.4,0.6,0.0,1.7,45,16091,47276,17680,1589
576,221,8,6,False,2021-02-06T17:30:00Z,0,0,23,90,0,0,1,0,0,0,0,0,0,0,0,24,23.8,10.1,4.0,3.8,45,11436,59192,14370,2934
576,238,15,6,True,2021-02-15T18:00:00Z,3,0,24,90,0,0,1,0,0,0,0,0,0,0,0,23,6.8,0.0,4.0,1.1,45,11133,71596,16366,5233
