element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
311,15,6,1,True,2020-09-19T16:30:00Z,1,3,2,45,0,0,0,1,0,0,0,0,0,0,0,4,1.8,5.3,22.0,2.9,65,-652,26990,2827,3479
311,19,3,0,False,2020-09-26T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-4407,24494,1582,5989
311,35,17,0,True,2020-10-04T15:30:00Z,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-4112,21384,702,4814
311,45,14,1,False,2020-10-17T19:00:00Z,1,4,5,75,0,0,0,1,0,0,0,1,0,0,0,13,8.2,25.8,58.0,9.2,64,-2818,19581,628,3446
311,55,5,1,True,2020-10-24T16:30:00Z,0,0,6,57,0,0,0,0,0,0,0,0,0,0,0,1,3.2,11.3,6.0,2.1,63,-986,19108,475,1461
311,64,1,0,True,2020-11-01T16:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-731,18727,375,1106
311,73,7,0,False,2020-11-07T12:30:00Z,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-875,18054,284,1159
311,84,18,0,True,2020-11-21T20:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-683,17722,396,1079
311,96,16,0,False,2020-11-29T14:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-253,17668,349,602
311,108,19,0,False,2020-12-05T17:30:00Z,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-423,17450,279,702
311,115,12,0,True,2020-12-12T17:30:00Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-356,17291,259,615
311,124,15,0,False,2020-12-17T20:00:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-130,17308,247,377
311,134,10,6,True,2020-12-20T16:30:00Z,6,2,14,90,1,0,0,2,0,0,0,1,0,0,0,22,40.2,12.7,42.0,9.5,62,-178,17230,179,357
311,143,9,1,False,2020-12-26T12:30:00Z,2,2,15,53,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.6,0.0,0.0,62,965,18623,1521,556
311,154,20,0,True,2020-12-29T20:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,20,18742,557,537
311,164,2,1,True,2021-01-01T20:00:00Z,2,1,17,3,0,0,0,0,0,0,0,0,0,0,0,3,5.2,0.3,19.0,2.5,62,-226,18634,476,702
311,379,4,0,False,2021-01-12T20:15:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-206,19056,695,901
311,184,11,0,False,2021-01-17T16:30:00Z,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-309,18483,177,486
311,171,8,0,False,2021-01-20T20:15:00Z,1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-309,18483,177,486
311,192,15,0,True,2021-01-27T20:15:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-454,18212,220,674
311,199,1,0,False,2021-01-30T17:30:00Z,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-257,18020,77,334
311,213,16,6,True,2021-02-02T20:15:00Z,9,0,22,30,1,0,0,0,0,0,0,0,0,0,0,23,37.6,16.3,37.0,9.1,62,-221,17869,59,280
311,224,7,0,True,2021-02-06T20:00:00Z,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-29,17955,251,280
311,237,18,0,False,2021-02-14T14:00:00Z,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-248,17817,161,409
