element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
366,1,6,2,False,2020-09-12T14:00:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,0,0,1,8.6,11.2,60.0,8.0,85,0,1467030,0,0
366,17,17,11,True,2020-09-20T11:00:00Z,2,5,2,90,2,0,0,5,0,0,0,0,0,0,1,50,64.2,3.7,38.0,10.6,85,-311008,1228417,26313,337321
366,20,4,9,False,2020-09-26T19:00:00Z,0,1,3,90,1,0,1,0,0,0,0,0,0,0,3,37,41.0,4.6,23.0,6.9,84,-76714,1213775,101457,178171
366,37,18,2,True,2020-10-04T11:00:00Z,2,0,4,90,0,0,1,0,0,0,0,0,0,0,0,9,6.8,23.5,26.0,5.6,85,208787,1480751,282902,74115
366,39,5,7,False,2020-10-17T14:00:00Z,3,3,5,90,1,0,0,3,0,0,0,0,0,0,1,27,36.4,0.9,61.0,9.8,85,-153461,1312469,73937,227398
366,56,7,10,True,2020-10-25T14:00:00Z,2,0,6,90,0,2,1,0,0,0,0,0,0,0,2,30,46.4,29.8,8.0,8.4,85,-27129,1309954,83833,110962
366,59,2,6,False,2020-11-01T12:00:00Z,3,4,7,84,1,0,0,1,0,0,0,0,0,0,0,33,48.4,11.0,18.0,7.7,85,62784,1388488,105584,42800
366,76,14,0,True,2020-11-06T20:00:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-574638,793493,25422,600060
366,88,20,0,False,2020-11-23T20:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-317631,486900,1737,319368
366,96,13,0,True,2020-11-29T14:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-67564,432811,548,68112
366,100,3,8,False,2020-12-07T20:00:00Z,1,2,11,45,1,0,0,0,0,0,0,0,0,0,3,31,39.4,10.3,38.0,8.8,83,-22616,411580,7975,30591
366,117,15,5,True,2020-12-13T12:00:00Z,3,0,12,90,0,1,1,0,0,0,0,0,0,0,0,8,25.6,24.8,82.0,13.2,83,154058,581781,166036,11978
366,119,1,1,False,2020-12-16T18:00:00Z,1,1,13,90,0,0,0,1,0,0,0,1,0,0,0,5,2.2,1.6,5.0,0.9,84,54508,632656,73077,18569
366,136,12,1,True,2020-12-19T15:00:00Z,0,1,14,40,0,0,0,1,0,0,0,0,0,0,0,5,9.6,0.8,22.0,3.2,84,-9853,620139,34009,43862
366,141,8,0,False,2020-12-26T15:00:00Z,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-158329,459212,5857,164186
366,156,19,2,True,2020-12-29T18:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,-1,0.0,1.5,0.0,0.1,83,-40187,423045,909,41096
366,166,11,9,True,2021-01-04T20:00:00Z,1,0,17,76,1,0,1,0,0,0,0,0,0,0,3,39,45.6,20.9,26.0,9.3,83,4643,430091,21125,16482
366,183,9,0,False,2021-01-16T20:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,14177,503740,89469,75292
366,197,1,2,True,2021-01-26T20:15:00Z,1,3,20,73,0,0,0,3,0,0,0,0,0,0,0,12,12.0,16.8,53.0,8.2,83,85030,596390,132647,47617
366,206,2,2,True,2021-01-30T20:00:00Z,0,1,21,90,0,0,0,1,0,0,0,0,0,0,0,11,8.8,26.0,35.0,7.0,84,142253,743864,166140,23887
366,213,13,2,False,2021-02-02T20:15:00Z,9,0,22,69,0,0,0,5,0,0,0,0,0,0,0,7,10.0,0.5,0.0,1.1,84,50334,795668,92665,42331
366,225,14,2,False,2021-02-06T15:00:00Z,3,2,23,90,0,0,0,3,0,0,0,0,0,0,0,-4,11.4,12.3,68.0,9.2,84,-5561,793628,52661,58222
366,236,20,8,True,2021-02-14T12:00:00Z,1,2,24,90,1,0,0,2,0,0,0,0,0,0,2,32,42.0,21.2,26.0,8.9,84,-43334,750432,68367,111701
366,246,5,2,True,2021-02-20T12:30:00Z,1,1,25,84,0,0,0,1,0,0,0,0,0,0,0,-3,0.0,1.8,4.0,0.0,85,616273,1385122,644025,27752
366,172,10,1,False,2021-02-23T18:00:00Z,3,0,25,32,0,0,0,2,0,0,0,0,0,0,0,0,2.4,11.6,5.0,1.9,85,616273,1385122,644025,27752
366,251,7,2,False,2021-03-01T20:00:00Z,1,0,26,90,0,0,0,1,0,0,0,0,0,0,0,4,6.2,2.6,22.0,3.1,84,-568470,791954,17712,586182
366,265,15,1,False,2021-03-06T15:00:00Z,0,2,27,12,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,84,57572,873434,100249,42677
366,325,12,0,False,2021-03-10T18:00:00Z,5,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,57572,873434,100249,42677
366,277,3,0,True,2021-03-14T12:00:00Z,1,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-310856,559263,705,311561
