element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
422,5,9,2,True,2020-09-13T13:00:00Z,0,3,1,68,0,0,0,1,0,0,0,0,0,0,0,6,6.2,11.5,12.0,3.0,45,0,5791,0,0
422,12,7,0,False,2020-09-19T11:30:00Z,5,2,2,90,0,0,0,5,0,0,0,0,0,0,0,5,6.6,9.2,2.0,1.8,45,146,8033,1199,1053
422,27,5,3,True,2020-09-26T16:30:00Z,3,3,3,90,0,1,0,3,0,0,0,1,0,0,0,20,30.6,18.8,4.0,5.3,45,-644,8001,790,1434
422,37,16,0,False,2020-10-04T11:00:00Z,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,43,8633,992,949
422,48,4,7,True,2020-10-19T16:30:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,1,26,20.6,15.3,21.0,5.7,45,-464,8560,573,1037
422,51,3,2,False,2020-10-26T17:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,12,11.6,6.0,11.0,2.9,45,1003,9999,1727,724
422,61,8,1,False,2020-11-02T17:30:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,13,26.6,15.0,4.0,4.6,45,824,11141,1816,992
422,77,17,2,True,2020-11-08T12:00:00Z,0,1,8,90,0,0,0,1,0,0,0,0,0,0,0,16,16.2,19.6,43.0,7.9,45,-964,10085,333,1297
422,84,13,2,False,2020-11-21T20:00:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,0,0,4,7.8,0.8,0.0,0.9,45,-361,9953,590,951
422,97,15,6,True,2020-11-28T20:00:00Z,1,0,10,90,0,0,1,0,0,0,0,0,0,0,0,21,18.8,21.6,10.0,5.0,45,3957,15402,5256,1299
422,107,6,1,True,2020-12-06T12:00:00Z,1,5,11,90,0,1,0,5,1,0,0,0,0,0,0,16,24.4,11.6,10.0,4.6,45,1923,18070,4847,2924
422,116,14,7,False,2020-12-12T15:00:00Z,2,1,12,90,1,0,0,2,0,0,0,1,0,0,1,21,41.8,12.3,19.0,7.3,45,-1639,15020,1184,2823
422,128,12,2,False,2020-12-15T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,7,4.4,0.1,4.0,0.9,45,3002,18699,4557,1555
422,138,2,1,True,2020-12-20T19:15:00Z,0,3,14,90,0,0,0,3,0,0,0,0,0,0,0,8,10.4,0.9,0.0,1.1,45,4005,22930,5831,1826
422,144,11,2,False,2020-12-27T16:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,13,26.0,14.8,0.0,4.1,45,-789,22195,2178,2967
422,158,10,0,True,2020-12-29T18:00:00Z,0,5,16,90,0,0,0,5,0,0,0,0,0,0,0,8,12.6,0.8,6.0,1.9,45,3303,25832,4855,1552
422,168,1,0,True,2021-01-02T20:00:00Z,0,4,17,90,0,0,0,4,0,0,0,0,0,0,0,10,7.0,1.8,4.0,1.3,45,-618,25211,3089,3707
422,188,20,1,False,2021-01-16T12:30:00Z,2,3,19,8,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,1832,25648,4651,2819
422,175,19,1,False,2021-01-19T18:00:00Z,2,1,19,20,0,0,0,0,0,0,0,0,0,0,0,4,5.4,4.0,6.0,1.5,45,1832,25648,4651,2819
422,193,12,0,True,2021-01-26T20:15:00Z,0,5,20,90,0,0,0,5,0,0,0,0,0,0,0,9,11.8,0.9,7.0,2.0,45,-2797,21568,933,3730
422,207,8,1,True,2021-01-30T15:00:00Z,2,2,21,90,0,0,0,2,0,0,0,0,0,0,0,5,0.6,0.6,4.0,0.5,45,182,21957,2646,2464
422,214,15,0,False,2021-02-02T18:00:00Z,2,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-316,21804,2149,2465
