element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
3,2,8,0,False,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,69564,0,0
3,9,19,1,True,2020-09-19T19:00:00Z,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,55,-23455,49797,1738,25193
3,23,11,1,False,2020-09-28T19:00:00Z,3,1,3,90,0,0,0,3,0,0,0,0,0,0,0,11,20.2,3.2,0.0,2.3,55,711,61983,7407,6696
3,29,15,2,True,2020-10-04T13:00:00Z,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,13,23.0,0.8,0.0,2.4,55,1264,69592,6180,4916
3,44,12,2,False,2020-10-17T16:30:00Z,1,0,5,90,0,0,0,1,0,0,0,0,0,0,0,12,14.6,3.3,19.0,3.7,55,-1132,73952,5063,6195
3,49,9,1,True,2020-10-25T19:15:00Z,0,1,6,48,0,0,0,0,0,0,0,0,0,0,0,12,8.8,2.5,2.0,1.3,55,2396,79892,6821,4425
3,64,13,0,False,2020-11-01T16:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-8610,72271,2305,10915
3,69,2,0,True,2020-11-08T19:15:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-4860,68445,1916,6776
3,82,10,0,False,2020-11-22T16:30:00Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,209,71295,3796,3587
3,89,20,0,True,2020-11-29T19:15:00Z,1,2,10,45,0,0,0,2,0,0,0,0,0,0,0,1,5.4,13.3,1.0,2.0,55,-2987,69062,1475,4462
3,106,17,0,False,2020-12-06T16:30:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-5802,63329,143,5945
3,109,4,0,True,2020-12-13T19:15:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-3259,60432,101,3360
3,119,16,1,True,2020-12-16T18:00:00Z,1,1,13,25,0,0,0,0,0,0,0,0,0,0,0,4,5.2,0.0,0.0,0.5,55,-1763,58844,40,1803
3,133,7,1,False,2020-12-19T17:30:00Z,2,1,14,90,0,0,0,2,0,0,0,0,0,0,0,14,22.2,2.7,18.0,4.3,54,-84,59159,855,939
3,139,5,0,True,2020-12-26T17:30:00Z,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-497,59418,1037,1534
3,149,3,0,False,2020-12-29T18:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1474,58025,164,1638
3,168,18,0,False,2021-01-02T20:00:00Z,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1414,56695,73,1487
3,169,6,5,True,2021-01-14T20:00:00Z,0,0,18,90,0,0,1,0,0,0,0,1,0,0,0,19,12.0,1.7,2.0,1.6,54,407,59279,1842,1435
3,179,14,6,True,2021-01-18T20:00:00Z,3,0,19,90,0,0,1,0,0,0,0,0,0,0,0,19,4.0,1.3,14.0,1.9,54,280,58406,923,643
3,197,16,2,False,2021-01-26T20:15:00Z,1,3,20,90,0,0,0,1,0,0,0,0,0,0,0,9,3.6,0.8,0.0,0.4,54,675,59961,1774,1099
3,199,13,6,True,2021-01-30T17:30:00Z,0,0,21,90,0,0,1,0,0,0,0,0,0,0,0,26,13.8,0.8,30.0,4.5,54,-150,60191,900,1050
3,215,20,-3,False,2021-02-02T18:00:00Z,2,1,22,47,0,0,0,2,0,0,0,0,1,0,0,-5,0.0,0.3,2.0,0.0,54,4349,65560,5240,891
3,219,2,0,False,2021-02-06T12:30:00Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-6063,59297,197,6260
3,229,10,1,True,2021-02-14T16:30:00Z,4,2,24,90,0,0,0,2,0,0,0,0,0,0,0,13,15.2,11.1,2.0,2.8,54,31,60243,1353,1322
3,239,12,1,True,2021-02-21T16:30:00Z,0,1,25,8,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,54,380,61292,1385,1005
3,253,9,8,False,2021-02-28T12:00:00Z,1,3,26,90,1,0,0,1,0,0,0,0,0,0,0,25,44.4,0.6,21.0,6.6,54,-378,61560,863,1241
3,261,4,2,False,2021-03-06T12:30:00Z,1,1,27,90,0,0,0,1,0,0,0,0,0,0,0,15,14.4,0.8,0.0,1.5,54,5953,68830,7166,1213
3,269,17,2,True,2021-03-14T16:30:00Z,2,1,28,90,0,0,0,1,0,0,0,0,0,0,0,14,17.8,1.0,2.0,2.1,54,-1654,67480,1697,3351
