element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
291,15,6,1,True,2020-09-19T16:30:00Z,1,3,2,90,0,0,0,3,0,0,0,0,0,2,0,12,16.6,0.0,0.0,1.7,55,8554,296170,24934,16380
291,19,3,2,False,2020-09-26T11:30:00Z,2,3,3,90,0,0,0,2,0,0,0,0,0,3,0,13,25.8,0.0,0.0,2.6,55,-17027,297884,18294,35321
291,35,17,-1,True,2020-10-04T15:30:00Z,1,6,4,90,0,0,0,6,0,0,0,0,0,2,0,11,19.8,0.0,0.0,2.0,55,-23850,282198,5325,29175
291,45,14,3,False,2020-10-17T19:00:00Z,1,4,5,90,0,0,0,1,0,0,0,0,0,4,0,15,26.6,0.0,0.0,2.7,55,-18230,275436,11854,30084
291,55,5,6,True,2020-10-24T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,1,0,22,9.4,0.0,0.0,0.9,55,-7559,274878,8189,15748
291,64,1,2,True,2020-11-01T16:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,1,0,9,5.8,0.0,0.0,0.6,54,-1008,281089,7541,8549
291,73,7,2,False,2020-11-07T12:30:00Z,1,3,8,90,0,0,0,1,0,0,0,0,0,0,0,7,1.8,0.0,0.0,0.2,54,-6041,277812,5141,11182
291,84,18,6,True,2020-11-21T20:00:00Z,1,0,9,90,0,0,1,0,0,0,0,0,0,2,0,22,20.2,0.0,0.0,2.0,54,7985,302780,19898,11913
291,96,16,0,False,2020-11-29T14:00:00Z,2,3,10,45,0,0,0,2,0,0,0,0,0,1,0,5,3.6,0.0,0.0,0.4,54,-3651,291830,6019,9670
291,108,19,0,False,2020-12-05T17:30:00Z,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-22383,270309,4309,26692
291,115,12,6,True,2020-12-12T17:30:00Z,0,0,12,90,0,0,1,0,0,0,0,0,0,2,0,24,19.8,0.0,0.0,2.0,54,-15897,256611,1590,17487
291,124,15,0,False,2020-12-17T20:00:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,4889,265828,8997,4108
291,134,10,1,True,2020-12-20T16:30:00Z,6,2,14,90,0,0,0,2,0,0,0,0,0,1,0,10,18.8,0.0,0.0,1.9,53,-8051,256997,2207,10258
291,143,9,1,False,2020-12-26T12:30:00Z,2,2,15,90,0,0,0,2,0,0,0,0,0,1,0,9,10.4,0.0,0.0,1.0,53,-6514,253039,3091,9605
291,154,20,10,True,2020-12-29T20:00:00Z,1,0,16,90,0,0,1,0,0,0,0,0,0,5,3,30,34.2,0.0,0.0,3.4,53,-4217,250038,2045,6262
291,164,2,3,True,2021-01-01T20:00:00Z,2,1,17,90,0,0,0,1,0,0,0,0,0,4,0,14,30.4,0.0,0.0,3.0,53,9480,262195,14447,4967
291,379,4,6,False,2021-01-12T20:15:00Z,0,1,18,90,0,0,1,0,0,0,0,0,0,0,0,20,1.4,0.0,0.0,0.1,53,86228,535004,108459,22231
291,184,11,7,False,2021-01-17T16:30:00Z,0,0,19,90,0,0,1,0,0,0,0,0,0,3,0,27,22.2,0.0,0.0,2.2,53,12095,366906,32135,20040
291,171,8,3,False,2021-01-20T20:15:00Z,1,2,19,90,0,0,0,1,0,0,0,0,0,4,0,18,31.0,0.0,0.0,3.1,53,12095,366906,32135,20040
291,192,15,1,True,2021-01-27T20:15:00Z,1,2,20,90,0,0,0,2,0,0,0,0,0,1,0,9,11.2,0.0,0.0,1.1,53,32770,406165,47887,15117
291,199,1,7,False,2021-01-30T17:30:00Z,0,0,21,90,0,0,1,0,0,0,0,0,0,3,0,25,23.0,0.0,0.0,2.3,53,-15428,390295,6258,21686
291,213,16,6,True,2021-02-02T20:15:00Z,9,0,22,90,0,0,1,0,0,0,0,0,0,1,0,21,6.0,0.0,0.0,0.6,53,2458,395552,10758,8300
291,224,7,1,True,2021-02-06T20:00:00Z,3,3,23,90,0,0,0,3,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,53,13746,414011,26118,12372
291,237,18,2,False,2021-02-14T14:00:00Z,1,1,24,90,0,0,0,1,0,0,0,0,0,2,0,12,21.4,0.0,0.0,2.1,53,-15843,399591,12013,27856
