element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
398,4,7,0,True,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,62607,0,0
398,17,16,1,False,2020-09-20T11:00:00Z,2,5,2,90,0,0,0,2,0,0,0,0,0,0,0,8,11.2,0.2,0.0,1.1,55,-10521,62588,1670,12191
398,26,14,2,True,2020-09-27T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,11,13.2,1.4,52.0,6.7,55,-2613,66672,5021,7634
398,35,13,2,False,2020-10-04T15:30:00Z,1,6,4,90,0,0,0,1,0,0,0,0,0,0,0,11,15.6,0.4,34.0,5.0,54,-4008,65080,1692,5700
398,47,19,-1,True,2020-10-18T15:30:00Z,3,3,5,90,0,0,0,3,1,0,0,0,0,0,0,7,15.0,0.1,0.0,1.5,54,114,68827,5242,5128
398,52,4,0,False,2020-10-26T20:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1440,68403,3535,4975
398,67,3,0,True,2020-11-01T19:15:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2421,66996,2085,4506
398,77,18,0,False,2020-11-08T12:00:00Z,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3784,63840,1251,5035
398,87,12,0,True,2020-11-21T17:30:00Z,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-4179,60366,798,4977
398,91,5,0,False,2020-11-29T16:30:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1802,59242,1152,2954
398,106,1,0,True,2020-12-06T16:30:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1547,58330,1292,2839
398,110,6,0,False,2020-12-13T14:15:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1769,56957,836,2605
398,127,11,0,False,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1317,55914,294,1611
398,137,9,0,True,2020-12-20T14:15:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1089,55043,381,1470
398,148,20,2,False,2020-12-27T19:15:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,14,19.0,1.6,2.0,2.3,53,-1176,54300,687,1863
398,167,10,0,True,2021-01-02T12:30:00Z,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-274,54938,574,848
398,157,8,2,True,2021-01-13T20:15:00Z,1,1,18,90,0,0,0,1,0,0,0,0,0,0,0,13,23.6,0.6,0.0,2.4,52,-1042,54522,800,1842
398,186,15,1,False,2021-01-17T14:00:00Z,1,3,19,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,52,-312,54228,257,569
398,198,11,0,True,2021-01-28T20:00:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-797,53836,334,1131
398,200,3,1,False,2021-01-31T19:15:00Z,1,0,21,45,0,0,0,1,0,0,0,0,0,0,0,5,19.4,0.2,0.0,2.0,52,-373,53632,205,578
398,218,5,0,True,2021-02-04T20:00:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-297,53503,193,490
398,227,18,6,True,2021-02-07T12:00:00Z,2,0,23,90,0,0,1,0,0,0,0,0,0,0,0,22,12.8,1.7,0.0,1.5,52,-306,53446,389,695
398,235,12,1,False,2021-02-13T17:30:00Z,3,0,24,90,0,0,0,3,0,0,0,0,0,0,0,14,26.6,0.4,0.0,2.7,52,516,54532,1297,781
398,247,19,1,False,2021-02-21T12:00:00Z,2,1,25,90,0,0,0,2,0,0,0,0,0,0,0,13,25.0,1.3,6.0,3.2,52,593,55528,1580,987
398,257,4,6,True,2021-02-28T14:00:00Z,4,0,26,90,0,0,1,0,0,0,0,0,0,0,0,27,30.6,0.2,0.0,3.1,52,3410,59707,4898,1488
398,321,8,9,False,2021-03-04T18:00:00Z,0,1,26,90,0,0,1,0,0,0,0,0,0,0,3,29,14.4,0.1,0.0,1.5,52,3410,59707,4898,1488
398,266,6,2,True,2021-03-07T19:15:00Z,4,1,27,90,0,0,0,1,0,0,0,0,0,0,0,15,26.6,0.4,0.0,2.7,52,8387,68504,9548,1161
398,269,1,0,False,2021-03-14T16:30:00Z,2,1,28,90,0,0,0,2,0,0,0,1,0,0,0,14,21.4,0.8,18.0,4.0,52,411,69025,3384,2973
