element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
225,5,18,6,False,2020-09-13T13:00:00Z,0,3,1,74,0,1,1,0,0,0,0,0,0,0,0,25,27.8,16.8,33.0,7.8,55,0,4535,0,0
225,14,4,8,True,2020-09-20T18:00:00Z,4,2,2,82,1,0,0,2,0,0,0,0,0,0,1,29,44.0,29.1,35.0,10.8,55,8800,21300,12889,4089
225,24,12,2,False,2020-09-27T15:30:00Z,2,5,3,68,0,0,0,1,0,0,0,0,0,0,0,5,8.0,11.8,0.0,2.0,55,25188,51928,37903,12715
225,34,19,0,True,2020-10-04T11:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1779,49736,13954,15733
225,43,2,3,True,2020-10-18T18:15:00Z,0,1,5,67,0,0,1,0,0,0,0,0,0,0,0,2,0.0,3.3,2.0,0.2,55,-12764,37182,1472,14236
225,49,1,1,False,2020-10-25T19:15:00Z,0,1,6,59,0,0,0,0,0,0,0,0,0,0,0,5,4.4,4.3,0.0,0.9,55,-4759,33675,1330,6089
225,62,10,2,False,2020-11-02T20:00:00Z,1,4,7,62,0,0,0,1,0,0,0,0,0,0,0,8,6.4,3.6,4.0,1.4,55,-2931,31279,1008,3939
225,74,20,6,True,2020-11-08T14:00:00Z,1,0,8,79,0,1,1,0,0,0,0,0,0,0,0,18,7.8,11.5,2.0,2.1,55,-2977,28488,993,3970
225,83,11,1,False,2020-11-22T19:15:00Z,3,0,9,28,0,0,0,1,0,0,0,0,0,0,0,7,10.8,12.7,4.0,2.8,55,174,29189,3087,2913
225,94,8,1,True,2020-11-30T17:30:00Z,1,2,10,45,0,0,0,2,0,0,0,0,0,0,0,0,2.2,15.9,18.0,3.6,55,1083,30747,3645,2562
225,105,15,1,False,2020-12-06T14:15:00Z,1,2,11,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,55,-2353,28381,1462,3815
225,114,3,1,True,2020-12-13T19:15:00Z,3,0,12,15,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,55,-2828,25823,559,3387
225,123,7,0,True,2020-12-16T18:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2262,23606,245,2507
225,137,17,1,False,2020-12-20T14:15:00Z,0,2,14,6,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.3,0.0,0.2,54,-2387,21309,105,2492
225,143,13,0,True,2020-12-26T12:30:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1687,19673,216,1903
225,152,6,2,False,2020-12-28T15:00:00Z,1,1,16,65,0,0,0,1,0,0,0,0,0,0,0,12,5.8,16.8,16.0,3.9,53,-987,18792,168,1155
225,165,14,0,False,2021-01-03T14:15:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-763,18074,223,986
225,183,16,0,True,2021-01-16T20:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1198,15515,17,1215
225,173,5,0,True,2021-01-19T20:15:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1198,15515,17,1215
225,191,7,0,False,2021-01-27T20:15:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1283,14334,21,1304
225,204,10,0,True,2021-01-31T14:00:00Z,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-556,13793,14,570
225,211,8,0,False,2021-02-03T18:00:00Z,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-351,13436,24,375
225,228,20,0,False,2021-02-07T14:00:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-361,13090,15,376
225,234,11,0,True,2021-02-13T12:30:00Z,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-355,12735,18,373
