element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
468,8,15,0,False,2020-09-14T17:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,215812,0,0
468,11,5,0,False,2020-09-20T15:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-58615,147855,6037,36894
468,23,1,6,True,2020-09-28T19:00:00Z,3,1,3,10,1,0,0,0,0,0,0,0,0,0,0,15,29.2,1.9,28.0,5.9,63,-34280,112469,2068,36348
468,30,2,2,False,2020-10-04T18:15:00Z,7,2,4,90,0,0,0,7,0,0,0,0,0,0,0,5,10.6,18.6,55.0,8.4,63,31250,153894,54964,23714
468,41,7,1,False,2020-10-17T11:30:00Z,2,2,5,12,0,0,0,1,0,0,0,0,0,0,0,5,3.4,11.5,20.0,3.5,63,-14783,138715,22001,36784
468,54,15,9,True,2020-10-24T19:00:00Z,2,1,6,82,1,0,0,1,0,0,0,0,0,0,2,32,37.2,4.0,21.0,6.2,63,-21118,118661,6886,28004
468,63,19,8,True,2020-10-31T17:30:00Z,2,1,7,20,1,0,0,0,0,0,0,0,0,0,2,24,36.4,0.8,19.0,5.6,63,46910,172945,56527,9617
468,75,12,2,False,2020-11-08T16:30:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,0,0,1,0.6,4.9,36.0,4.2,64,343846,541171,360151,16305
468,83,9,9,True,2020-11-22T19:15:00Z,3,0,9,88,1,0,1,0,0,0,0,0,0,0,1,30,46.4,38.2,56.0,14.1,65,307928,878730,353031,45103
468,90,3,9,False,2020-11-28T12:30:00Z,1,1,10,90,1,0,0,1,0,0,0,0,0,0,2,23,32.8,4.3,31.0,6.8,67,783351,1685758,803730,20379
468,103,20,1,True,2020-12-06T19:15:00Z,4,0,11,17,0,0,0,0,0,0,0,0,0,0,0,3,1.4,11.1,0.0,1.3,69,570459,2277609,600538,30079
468,112,8,0,False,2020-12-13T16:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,-105560,2126053,185347,290907
468,127,17,0,True,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-1285903,835528,5235,1291138
468,132,6,0,False,2020-12-19T12:30:00Z,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-394272,461182,734,395006
468,144,18,0,True,2020-12-27T16:30:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,-154517,308316,1017,155534
468,155,14,0,False,2020-12-30T20:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,-36073,275869,369,36442
468,166,16,0,False,2021-01-04T20:00:00Z,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,-30787,245728,474,31261
468,184,13,0,True,2021-01-17T16:30:00Z,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-9977,208858,285,10262
468,177,4,0,True,2021-01-21T20:00:00Z,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-9977,208858,285,10262
468,198,17,0,False,2021-01-28T20:00:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-11164,198367,1066,12230
468,208,19,0,False,2021-01-31T16:30:00Z,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-5603,192952,558,6161
468,216,3,0,True,2021-02-03T20:15:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-3976,189115,980,4956
468,223,12,0,True,2021-02-07T16:30:00Z,1,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-6189,182887,596,6785
468,234,9,0,False,2021-02-13T12:30:00Z,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-6297,176574,788,7085
