element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
256,3,10,0,True,2020-09-12T16:30:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,71975,0,0
256,11,5,0,False,2020-09-20T15:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-11541,73570,4807,16348
256,23,1,0,True,2020-09-28T19:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-14833,62771,3222,18055
256,30,2,0,False,2020-10-04T18:15:00Z,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-8950,56555,1956,10906
256,41,7,0,False,2020-10-17T11:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-6055,53159,2370,8425
256,54,15,0,True,2020-10-24T19:00:00Z,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3327,51215,1728,5055
256,63,19,0,True,2020-10-31T17:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3072,49089,898,3970
256,75,12,0,False,2020-11-08T16:30:00Z,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2159,47462,770,2929
256,83,9,1,True,2020-11-22T19:15:00Z,3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,52,-1444,47012,1321,2765
256,90,3,0,False,2020-11-28T12:30:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-817,46714,796,1613
256,103,20,0,True,2020-12-06T19:15:00Z,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-877,46368,888,1765
256,112,8,1,False,2020-12-13T16:30:00Z,1,1,12,6,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,2.0,0.3,52,-623,46267,907,1530
256,127,17,0,True,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-244,46369,710,954
256,132,6,0,False,2020-12-19T12:30:00Z,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-434,46209,627,1061
256,144,18,1,True,2020-12-27T16:30:00Z,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,52,-758,45826,873,1631
256,155,14,0,False,2020-12-30T20:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-252,45807,458,710
256,166,16,0,False,2021-01-04T20:00:00Z,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-482,45591,496,978
256,184,13,1,True,2021-01-17T16:30:00Z,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,2.0,0.2,52,282,46344,1053,771
256,177,4,1,True,2021-01-21T20:00:00Z,0,1,19,56,0,0,0,0,0,0,0,0,0,0,0,-1,6.4,2.8,31.0,4.0,52,282,46344,1053,771
256,198,17,1,False,2021-01-28T20:00:00Z,1,3,20,3,0,0,0,0,0,0,0,0,0,0,0,2,2.2,0.1,0.0,0.2,52,6,46781,1391,1385
256,208,19,2,False,2021-01-31T16:30:00Z,1,3,21,79,0,0,1,0,0,0,0,0,0,0,0,5,1.8,18.8,23.0,4.4,52,-19,47032,880,899
256,216,3,1,True,2021-02-03T20:15:00Z,0,1,22,26,0,0,0,0,0,0,0,0,0,0,0,4,7.0,10.5,2.0,2.0,52,1037,48444,1977,940
256,223,12,0,True,2021-02-07T16:30:00Z,1,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-164,48840,1400,1564
256,234,9,0,False,2021-02-13T12:30:00Z,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-503,48870,1425,1928
