element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
164,4,17,8,False,2020-09-13T15:30:00Z,0,1,1,88,1,0,1,0,0,0,0,0,0,0,2,34,38.4,13.7,34.0,8.6,70,0,387691,0,0
164,12,18,17,True,2020-09-19T11:30:00Z,5,2,2,70,3,0,0,2,0,0,0,0,0,0,3,74,99.6,0.4,144.0,24.4,71,331148,875767,399696,68548
164,21,6,6,False,2020-09-26T14:00:00Z,1,2,3,90,1,0,0,1,0,0,0,0,0,0,0,21,36.2,6.2,45.0,8.7,73,868743,1922282,969169,100426
164,32,3,6,True,2020-10-03T14:00:00Z,4,2,4,90,1,0,0,2,0,0,0,0,0,0,0,28,41.8,2.3,49.0,9.3,75,940107,2963753,980349,40242
164,41,11,6,True,2020-10-17T11:30:00Z,2,2,5,90,1,0,0,2,0,0,0,0,0,0,0,21,38.6,3.3,51.0,9.3,76,624975,3660283,708612,83637
164,56,16,1,False,2020-10-25T14:00:00Z,2,0,6,90,0,0,0,2,0,0,0,1,0,0,0,1,4.6,4.4,4.0,1.3,77,420514,4129459,454325,33811
164,65,14,8,False,2020-11-01T14:00:00Z,2,1,7,90,1,0,0,2,0,0,0,0,0,0,2,32,46.4,35.2,94.0,17.6,77,15941,4154663,125234,109293
164,73,13,5,True,2020-11-07T12:30:00Z,1,3,8,90,0,1,0,3,0,0,0,0,0,0,0,12,1.6,7.6,10.0,1.9,77,28768,4192051,155125,126357
164,81,8,13,False,2020-11-22T12:00:00Z,2,3,9,90,2,0,0,2,0,0,0,0,0,0,3,52,74.8,14.9,71.0,16.1,78,112176,4362644,220738,108562
164,93,10,2,True,2020-11-28T17:30:00Z,0,1,10,90,0,0,0,1,0,0,0,0,0,0,0,13,11.2,28.2,38.0,7.7,79,205723,4592948,228542,22819
164,101,4,6,False,2020-12-05T12:30:00Z,1,1,11,90,1,0,0,1,0,0,0,0,0,0,0,22,44.6,5.3,105.0,15.5,80,107896,4719468,189954,82058
164,111,5,5,True,2020-12-12T20:00:00Z,1,0,12,90,0,1,1,0,0,0,0,0,0,0,0,14,4.4,1.8,22.0,2.8,80,-152458,4558764,77229,229687
164,123,9,5,False,2020-12-16T18:00:00Z,0,2,13,89,0,1,1,0,0,0,0,0,0,0,0,6,9.6,1.2,70.0,8.1,79,-21832,4557081,57449,79281
164,133,1,4,True,2020-12-19T17:30:00Z,2,1,14,90,0,1,0,1,0,0,0,1,0,0,0,8,1.6,1.5,15.0,1.8,79,67501,4648980,113813,46312
164,146,15,1,False,2020-12-26T20:00:00Z,0,1,15,90,0,0,1,0,0,0,0,1,0,0,0,-3,4.4,16.2,8.0,2.9,80,61358,4735999,147853,86495
164,163,19,2,True,2021-01-01T17:30:00Z,0,1,17,78,0,0,1,0,0,0,0,0,0,0,0,4,0.0,3.5,12.0,1.3,79,-69196,4431270,95444,164640
164,176,20,0,False,2021-01-12T20:15:00Z,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,78,-851564,2850579,65476,917040
164,191,9,2,True,2021-01-27T20:15:00Z,1,1,20,88,0,0,0,1,0,0,0,0,0,0,0,5,5.6,4.5,39.0,4.9,76,-181628,2148929,194104,375732
164,203,14,2,True,2021-01-30T12:30:00Z,0,2,21,90,0,0,0,2,0,0,0,0,0,0,0,2,11.2,16.8,29.0,5.7,76,884381,3053662,925888,41507
164,212,10,9,False,2021-02-03T19:30:00Z,1,2,22,90,1,0,0,1,0,0,0,0,0,0,3,27,49.0,5.1,91.0,14.5,76,14147,3063876,160879,146732
