element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
329,6,19,0,False,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,3224,0,0
329,16,3,0,True,2020-09-20T13:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-855,2498,77,932
329,26,17,0,False,2020-09-27T13:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-484,2098,51,535
329,36,4,0,True,2020-10-03T19:00:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-245,1899,35,280
329,45,13,0,True,2020-10-17T19:00:00Z,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-150,1781,67,217
329,58,20,0,False,2020-10-25T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-65,1730,42,107
329,65,7,0,True,2020-11-01T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-52,1688,29,81
329,76,16,0,False,2020-11-06T20:00:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-46,1650,28,74
329,85,5,0,True,2020-11-21T12:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-20,1641,50,70
329,92,6,0,False,2020-11-27T20:00:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-21,1625,42,63
329,116,18,8,True,2020-12-12T15:00:00Z,2,1,12,21,1,0,0,0,0,0,0,0,0,0,3,30,36.8,13.1,57.0,10.7,59,-6,1642,30,36
329,122,10,1,False,2020-12-16T18:00:00Z,5,2,13,16,0,0,0,3,0,0,0,0,0,0,0,3,0.0,1.2,0.0,0.1,59,1005,2848,1174,169
329,135,8,1,True,2020-12-19T20:00:00Z,1,1,14,15,0,0,0,0,0,0,0,0,0,0,0,3,0.6,2.5,0.0,0.3,59,172,3007,558,386
329,145,12,1,False,2020-12-26T20:00:00Z,2,0,15,8,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,59,-218,2876,346,564
329,155,11,0,True,2020-12-30T20:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-40,2870,202,242
329,165,9,0,True,2021-01-03T14:15:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-38,2883,284,322
329,174,15,0,False,2021-01-12T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,944,5264,1668,724
329,179,1,0,False,2021-01-18T20:00:00Z,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-305,3641,335,640
329,99,2,1,False,2021-01-23T20:00:00Z,2,0,19,9,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,4.0,0.2,59,-305,3641,335,640
329,196,10,1,True,2021-01-26T18:00:00Z,1,2,20,13,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,3.0,0.1,59,-289,3428,343,632
329,203,7,0,False,2021-01-30T12:30:00Z,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-140,3315,125,265
329,217,6,1,True,2021-02-02T20:15:00Z,1,2,22,13,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.5,0.0,0.1,59,-96,3245,248,344
