element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
278,18,20,2,False,2020-09-21T19:15:00Z,1,3,2,90,0,0,0,1,0,0,0,0,0,0,0,11,5.0,0.0,0.0,0.5,60,9469,354253,29834,20365
278,24,9,0,True,2020-09-27T15:30:00Z,2,5,3,90,0,0,0,5,0,0,0,0,0,2,0,13,14.2,0.0,0.0,1.4,60,1381,383518,33928,32547
278,33,10,4,False,2020-10-03T16:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,6,0,17,42.8,0.0,0.0,4.3,60,-28151,362349,10040,38191
278,44,1,7,True,2020-10-17T16:30:00Z,1,0,5,90,0,0,1,0,0,0,0,0,0,3,0,25,29.0,0.0,0.0,2.9,60,19235,401820,47576,28341
278,57,19,2,False,2020-10-24T11:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,1,0,10,7.8,0.0,0.0,0.8,60,26158,441355,40606,14448
278,66,15,6,False,2020-10-31T12:30:00Z,0,1,7,90,0,0,1,0,0,0,0,0,0,1,0,23,8.8,0.0,0.0,0.9,60,-9003,436301,11971,20974
278,75,11,3,True,2020-11-08T16:30:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,2,1,16,22.0,0.0,0.0,2.2,60,-10694,428011,8004,18698
278,87,17,1,False,2020-11-21T17:30:00Z,2,0,9,90,0,0,0,2,0,0,0,0,0,0,0,7,1.6,0.0,0.0,0.2,60,-11509,421178,7660,19169
278,95,4,6,True,2020-11-28T15:00:00Z,5,0,10,90,0,0,1,0,0,0,0,0,0,1,0,26,12.4,0.0,0.0,1.2,60,1671,432941,17852,16181
278,104,8,6,True,2020-12-05T15:00:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,1,0,22,12.2,0.0,0.0,1.2,60,28387,471360,40431,12044
278,115,13,6,False,2020-12-12T17:30:00Z,0,0,12,90,0,0,1,0,0,0,0,0,0,2,0,23,15.6,0.0,0.0,1.6,60,-8801,453521,11082,19883
278,128,18,2,True,2020-12-15T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,1,0,10,11.6,0.0,0.0,1.2,60,19446,481759,27231,7785
278,136,16,6,False,2020-12-19T15:00:00Z,0,1,14,90,0,0,1,0,0,0,0,1,0,3,0,23,22.4,0.0,0.0,2.2,60,-13927,464565,5741,19668
278,145,14,6,True,2020-12-26T20:00:00Z,2,0,15,90,0,0,1,0,0,0,0,0,0,2,0,28,16.8,0.0,0.0,1.7,60,-769,469401,13186,13955
278,161,5,0,False,2021-01-03T16:30:00Z,1,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-21034,445752,10512,31546
278,178,3,6,True,2021-01-13T18:00:00Z,1,0,18,90,0,0,1,0,0,0,0,0,0,1,0,24,8.6,0.0,0.0,0.9,60,-13979,485559,44652,58631
278,185,6,6,True,2021-01-17T19:15:00Z,4,0,19,90,0,0,1,0,0,0,0,0,0,0,0,19,2.0,0.0,0.0,0.2,60,74840,543376,93032,18192
278,380,2,7,True,2021-01-20T18:00:00Z,2,0,19,90,0,0,1,0,0,0,0,0,0,4,0,27,20.4,0.0,0.0,2.0,60,74840,543376,93032,18192
278,193,18,6,False,2021-01-26T20:15:00Z,0,5,20,90,0,0,1,0,0,0,0,0,0,1,0,21,13.6,0.0,0.0,1.4,60,53725,574910,75023,21298
278,205,15,6,True,2021-01-30T15:00:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,1,0,21,8.0,0.0,0.0,0.8,60,44317,623718,61202,16885
278,210,4,5,False,2021-02-03T18:00:00Z,0,2,22,90,0,0,1,0,0,0,0,1,0,0,0,16,2.4,0.0,0.0,0.2,60,30369,658384,42057,11688
