element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
569,45,14,0,False,2020-10-17T19:00:00Z,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,80,24237,27586,40011,15774
569,55,5,1,True,2020-10-24T16:30:00Z,0,0,6,32,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,24.0,2.4,80,7765,35601,14726,6961
569,64,1,1,True,2020-11-01T16:30:00Z,0,1,7,15,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.0,80,12008,50645,18871,6863
569,73,7,5,False,2020-11-07T12:30:00Z,1,3,8,8,1,0,0,0,0,0,0,0,0,0,0,26,34.0,1.3,21.0,5.6,80,-9536,41676,5831,15367
569,84,18,0,True,2020-11-21T20:00:00Z,1,0,9,27,0,0,0,0,0,0,0,1,0,0,0,-1,0.2,0.6,38.0,3.9,80,15967,63515,24413,8446
569,96,16,15,False,2020-11-29T14:00:00Z,2,3,10,45,2,1,0,0,0,0,0,0,0,0,3,68,90.4,15.3,56.0,16.2,80,-13551,48624,3568,17119
569,108,19,1,False,2020-12-05T17:30:00Z,1,3,11,45,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.4,0.0,0.0,81,201055,274902,210304,9249
569,115,12,0,True,2020-12-12T17:30:00Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,80,-108648,146089,9631,118279
569,124,15,0,False,2020-12-17T20:00:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,80,-40656,109219,2293,42949
569,134,10,1,True,2020-12-20T16:30:00Z,6,2,14,19,0,0,0,1,0,0,0,0,0,0,0,0,8.4,0.4,24.0,3.3,79,-28653,81511,1161,29814
569,143,9,4,False,2020-12-26T12:30:00Z,2,2,15,15,0,1,0,1,0,0,0,0,0,0,0,16,18.4,13.5,2.0,3.4,78,-3778,80278,10835,14613
569,154,20,2,True,2020-12-29T20:00:00Z,1,0,16,90,0,0,1,0,0,0,0,0,0,0,0,-4,0.0,3.0,15.0,1.5,78,24475,107749,29452,4977
569,164,2,0,True,2021-01-01T20:00:00Z,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,78,-24652,82802,11919,36571
569,379,4,2,False,2021-01-12T20:15:00Z,0,1,18,90,0,0,1,0,0,0,0,0,0,0,0,9,6.2,21.8,45.0,7.3,78,35443,158336,55253,19810
569,184,11,1,False,2021-01-17T16:30:00Z,0,0,19,29,0,0,0,0,0,0,0,0,0,0,0,3,2.4,0.2,0.0,0.3,78,89570,221262,107271,17701
569,171,8,7,False,2021-01-20T20:15:00Z,1,2,19,90,1,0,0,1,0,0,0,0,0,0,1,29,39.8,2.4,36.0,7.8,78,89570,221262,107271,17701
569,192,15,1,True,2021-01-27T20:15:00Z,1,2,20,24,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.3,6.0,0.7,78,115840,333650,147512,31672
569,199,1,2,False,2021-01-30T17:30:00Z,0,0,21,90,0,0,1,0,0,0,0,0,0,0,0,-3,0.0,15.1,15.0,2.7,79,-7717,325761,47419,55136
569,213,16,5,True,2021-02-02T20:15:00Z,9,0,22,45,1,0,0,0,0,0,0,0,0,0,0,25,31.4,2.5,25.0,5.9,79,26757,355853,59153,32396
