element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
532,13,8,0,True,2020-09-19T14:00:00Z,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0
532,25,15,0,False,2020-09-27T11:00:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,2981,5652,3717,736
532,33,12,0,True,2020-10-03T16:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,1854,8735,2593,739
532,42,20,0,True,2020-10-19T19:00:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,5920,16755,7752,1832
532,50,2,0,False,2020-10-23T19:00:00Z,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,3350,20484,4422,1072
532,62,9,0,True,2020-11-02T20:00:00Z,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,428,21145,1696,1268
532,72,6,0,False,2020-11-07T15:00:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,513,21946,1320,807
532,82,1,0,True,2020-11-22T16:30:00Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,830,23245,1802,972
532,93,7,0,False,2020-11-28T17:30:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,375,23679,1021,646
532,102,5,0,False,2020-12-05T20:00:00Z,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,259,24316,1339,1080
532,113,19,0,True,2020-12-11T20:00:00Z,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,496,24955,1396,900
532,122,14,0,True,2020-12-16T18:00:00Z,5,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,70,25090,801,731
532,134,13,0,False,2020-12-20T16:30:00Z,6,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-148,24989,597,745
532,142,4,0,True,2020-12-27T12:00:00Z,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,275,25547,944,669
532,158,18,0,False,2020-12-29T18:00:00Z,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-41,25536,531,572
532,167,17,0,False,2021-01-02T12:30:00Z,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-458,25171,764,1222
532,182,3,0,True,2021-01-16T15:00:00Z,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-570,24253,610,1180
532,196,14,0,False,2021-01-26T18:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-479,23752,559,1038
532,204,9,0,False,2021-01-31T14:00:00Z,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-334,23513,247,581
532,212,7,0,True,2021-02-03T19:30:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-160,23387,245,405
