element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
333,6,19,0,False,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,5746,0,0
333,16,3,0,True,2020-09-20T13:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-972,5689,104,1076
333,26,17,0,False,2020-09-27T13:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-806,5235,104,910
333,36,4,2,True,2020-10-03T19:00:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,0,0,14,18.2,15.8,0.0,3.4,44,-581,4807,79,660
333,45,13,2,True,2020-10-17T19:00:00Z,1,4,5,90,0,1,0,4,0,0,0,1,0,0,0,16,22.0,11.1,2.0,3.5,44,-44,5018,435,479
333,58,20,0,False,2020-10-25T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,133,5293,501,368
333,65,7,0,True,2020-11-01T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-144,5202,165,309
333,76,16,0,False,2020-11-06T20:00:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-257,4996,58,315
333,85,5,0,True,2020-11-21T12:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-220,4860,111,331
333,92,6,0,False,2020-11-27T20:00:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-139,4792,67,206
333,116,18,2,True,2020-12-12T15:00:00Z,2,1,12,79,0,0,0,1,0,0,0,0,0,0,0,11,5.6,2.8,4.0,1.2,43,-110,4582,62,172
333,122,10,0,False,2020-12-16T18:00:00Z,5,2,13,28,0,0,0,3,0,0,0,0,0,0,0,8,12.8,0.1,0.0,1.3,43,155,4806,271,116
333,135,8,0,True,2020-12-19T20:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-81,4707,111,192
333,145,12,0,False,2020-12-26T20:00:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-156,4608,66,222
333,155,11,0,True,2020-12-30T20:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-73,4559,30,103
333,165,9,0,True,2021-01-03T14:15:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-84,4508,43,127
333,174,15,0,False,2021-01-12T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,20,5004,246,226
333,179,1,1,False,2021-01-18T20:00:00Z,3,0,19,90,0,0,0,3,0,0,0,0,0,0,0,9,13.4,0.9,0.0,1.4,43,-111,4487,31,142
333,99,2,0,False,2021-01-23T20:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-111,4487,31,142
333,196,10,0,True,2021-01-26T18:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-24,4515,130,154
333,203,7,0,False,2021-01-30T12:30:00Z,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-89,4441,36,125
333,217,6,0,True,2021-02-02T20:15:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-45,4422,41,86
333,225,16,0,True,2021-02-06T15:00:00Z,3,2,23,66,0,0,0,2,0,0,0,1,0,0,0,6,19.2,0.4,0.0,2.0,42,-29,4415,66,95
333,231,5,1,False,2021-02-15T20:00:00Z,2,0,24,90,0,0,0,2,0,0,0,0,0,0,0,8,6.4,2.0,0.0,0.8,42,-23,4438,110,133
333,245,13,1,False,2021-02-21T19:00:00Z,3,1,25,90,0,0,0,3,0,0,0,0,0,0,0,8,13.4,21.0,2.0,3.6,42,11,4476,107,96
333,255,20,6,True,2021-02-27T20:00:00Z,1,1,26,71,0,0,1,0,0,0,0,0,0,0,0,18,11.0,1.2,7.0,1.9,42,51,4577,191,140
333,267,18,6,False,2021-03-07T12:00:00Z,0,0,27,90,0,0,1,0,0,0,0,0,0,0,0,19,13.6,1.0,8.0,2.3,42,-149,4431,28,177
333,276,2,5,True,2021-03-12T20:00:00Z,1,1,28,82,0,0,1,0,0,0,0,1,0,0,0,18,11.4,0.7,18.0,3.0,42,891,5404,1011,120
