element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
23,2,8,0,False,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,17820,0,0
23,9,19,0,True,2020-09-19T19:00:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-3896,13976,302,4198
23,23,11,0,False,2020-09-28T19:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2114,12195,485,2599
23,29,15,0,True,2020-10-04T13:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1287,11046,215,1502
23,44,12,0,False,2020-10-17T16:30:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,1518,14162,3519,2001
23,49,9,0,True,2020-10-25T19:15:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,2822,18104,4836,2014
23,64,13,0,False,2020-11-01T16:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,220,18094,1679,1459
23,69,2,0,True,2020-11-08T19:15:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-414,17807,1011,1425
23,82,10,0,False,2020-11-22T16:30:00Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,36,18408,1560,1524
23,89,20,0,True,2020-11-29T19:15:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-254,18114,644,898
23,106,17,0,False,2020-12-06T16:30:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-619,17474,456,1075
23,109,4,0,True,2020-12-13T19:15:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-300,17307,410,710
23,119,16,0,True,2020-12-16T18:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-89,17253,408,497
23,133,7,0,False,2020-12-19T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-233,17087,333,566
23,139,5,6,True,2020-12-26T17:30:00Z,3,1,15,64,0,1,1,0,0,0,0,0,0,0,0,11,19.2,23.9,4.0,4.7,44,-218,17002,531,749
23,149,3,3,False,2020-12-29T18:00:00Z,0,1,16,88,0,0,1,0,0,0,0,0,0,0,0,13,9.0,23.7,2.0,3.5,44,7408,25098,8347,939
23,168,18,9,False,2021-01-02T20:00:00Z,0,4,17,76,0,2,1,0,0,0,0,0,0,0,0,32,25.6,23.9,26.0,7.6,44,11153,36415,14188,3035
23,169,6,3,True,2021-01-14T20:00:00Z,0,0,18,90,0,0,1,0,0,0,0,0,0,0,0,9,6.6,5.3,14.0,2.6,44,141708,408204,160130,18422
23,179,14,6,True,2021-01-18T20:00:00Z,3,0,19,81,0,1,1,0,0,0,0,0,0,0,0,26,25.4,48.6,4.0,7.8,45,51999,219564,80084,28085
23,197,16,2,False,2021-01-26T20:15:00Z,1,3,20,71,0,0,0,1,0,0,0,0,0,0,0,11,7.4,5.8,18.0,3.1,45,65532,290496,101301,35769
23,199,13,3,True,2021-01-30T17:30:00Z,0,0,21,82,0,0,1,0,0,0,0,0,0,0,0,14,17.6,24.2,17.0,5.9,45,-87304,201113,6424,93728
23,215,20,2,False,2021-02-02T18:00:00Z,2,1,22,90,0,0,0,2,0,0,0,0,0,0,0,13,6.8,19.3,4.0,3.0,44,-2788,201009,20648,23436
23,219,2,2,False,2021-02-06T12:30:00Z,1,0,23,90,0,0,0,1,0,0,0,0,0,0,0,17,8.0,17.9,24.0,5.0,44,-18772,182573,9000,27772
23,229,10,5,True,2021-02-14T16:30:00Z,4,2,24,61,0,1,0,1,0,0,0,0,0,0,0,21,22.2,27.7,10.0,6.0,43,-12767,169536,18838,31605
