element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
347,8,20,1,True,2020-09-14T17:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,13,13.2,6.9,6.0,2.6,55,0,340758,0,0
347,10,2,2,False,2020-09-21T17:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,11,13.2,0.3,0.0,1.4,55,-42400,306284,5284,47684
347,25,10,2,True,2020-09-27T11:00:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,0,0,19,29.8,1.8,9.0,4.1,55,-44946,264639,4071,49017
347,29,1,1,False,2020-10-04T13:00:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,0,0,13,16.2,4.6,10.0,3.1,54,-41947,224544,1296,43243
347,46,8,2,True,2020-10-18T11:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,9,15.4,2.6,19.0,3.7,54,-25491,202683,5038,30529
347,54,11,0,False,2020-10-24T19:00:00Z,2,1,6,90,0,0,0,2,0,0,0,1,0,0,0,9,24.6,12.9,9.0,4.7,54,-24779,177038,504,25283
347,66,12,2,True,2020-10-31T12:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,0,0,19,16.4,1.8,2.0,2.0,53,-18807,159365,522,19329
347,71,5,0,False,2020-11-07T17:30:00Z,4,1,8,90,0,0,0,4,0,0,0,0,0,0,0,14,11.6,0.8,0.0,1.2,53,-12529,147117,424,12953
347,86,19,0,True,2020-11-22T14:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-20719,125382,336,21055
347,97,18,0,False,2020-11-28T20:00:00Z,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-12740,113968,80,12820
347,105,9,0,True,2020-12-06T14:15:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-12228,101607,32,12260
347,117,16,0,False,2020-12-13T12:00:00Z,3,0,12,90,0,0,0,3,0,0,0,1,0,0,0,4,9.8,16.1,2.0,2.8,51,-5437,97055,146,5583
347,124,13,1,True,2020-12-17T20:00:00Z,2,3,13,90,0,0,0,3,0,0,0,0,0,0,0,8,12.4,3.3,2.0,1.8,51,-3631,93518,126,3757
347,129,3,2,False,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,9,14.4,0.9,4.0,1.9,51,-2640,91013,318,2958
347,146,7,2,True,2020-12-26T20:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,0,11,12.0,12.4,12.0,3.6,51,-3236,87805,279,3515
347,150,4,1,False,2020-12-29T18:00:00Z,1,0,16,90,0,0,0,1,0,0,0,1,0,0,0,16,13.4,15.5,2.0,3.1,51,-1464,86510,409,1873
347,162,6,1,False,2021-01-02T15:00:00Z,2,0,17,90,0,0,0,2,0,0,0,0,0,0,0,12,14.0,2.9,0.0,1.7,51,-1770,84823,289,2059
347,174,14,0,True,2021-01-12T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2777,81197,825,3602
347,186,17,1,True,2021-01-17T14:00:00Z,1,3,19,90,0,0,0,3,0,0,0,0,0,0,0,10,7.8,18.3,22.0,4.8,50,-2840,78986,5,2845
347,192,13,0,False,2021-01-27T20:15:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1476,78043,176,1652
347,205,12,0,False,2021-01-30T15:00:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2069,75960,49,2118
347,214,18,0,True,2021-02-02T18:00:00Z,2,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1841,74158,33,1874
347,226,5,0,True,2021-02-07T19:15:00Z,1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1619,72540,11,1630
347,238,19,1,False,2021-02-15T18:00:00Z,3,0,24,90,0,0,0,3,0,0,0,0,0,0,0,12,14.0,22.0,2.0,3.8,50,-1610,70888,16,1626
