element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
391,4,7,2,True,2020-09-13T15:30:00Z,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,13,17.4,0.7,0.0,1.8,50,0,95090,0,0
391,17,16,1,False,2020-09-20T11:00:00Z,2,5,2,90,0,0,0,2,0,0,0,0,0,0,0,13,17.8,0.3,0.0,1.8,50,-5327,106120,7555,12882
391,26,14,2,True,2020-09-27T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,8,12.8,1.7,4.0,1.9,50,-2740,111525,14985,17725
391,35,13,2,False,2020-10-04T15:30:00Z,1,6,4,90,0,0,0,1,0,0,0,0,0,0,0,15,20.8,0.3,0.0,2.1,50,-7517,106781,5957,13474
391,47,19,0,True,2020-10-18T15:30:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-10843,99469,11818,22661
391,52,4,6,False,2020-10-26T20:00:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,27,18.0,0.8,0.0,1.9,50,-18721,80780,549,19270
391,67,3,2,True,2020-11-01T19:15:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,13,19.4,0.3,0.0,2.0,49,4035,87808,9405,5370
391,77,18,6,False,2020-11-08T12:00:00Z,0,1,8,90,0,0,1,0,0,0,0,0,0,0,0,25,23.2,0.3,2.0,2.6,49,4146,94740,8366,4220
391,87,12,7,True,2020-11-21T17:30:00Z,2,0,9,90,0,0,1,0,0,0,0,0,0,0,1,26,33.4,0.0,8.0,4.1,49,1115,96852,9379,8264
391,91,5,6,False,2020-11-29T16:30:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,25,13.6,10.6,0.0,2.4,49,21114,122314,25622,4508
391,106,1,6,True,2020-12-06T16:30:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,23,18.2,0.2,1.0,1.9,49,64305,201005,70195,5890
391,110,6,2,False,2020-12-13T14:15:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,5,17.0,1.3,15.0,3.3,50,95678,298185,105026,9348
391,127,11,1,False,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,0,0,10,20.4,0.0,7.0,2.7,50,13276,308692,28985,15709
391,137,9,0,True,2020-12-20T14:15:00Z,0,2,14,90,0,0,0,2,0,0,0,1,0,0,0,13,22.0,5.3,4.0,3.1,50,47811,360165,59018,11207
391,148,20,2,False,2020-12-27T19:15:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,16,21.0,0.3,1.0,2.2,50,28673,391134,58595,29922
391,167,10,6,True,2021-01-02T12:30:00Z,3,0,17,90,0,0,1,0,0,0,0,0,0,0,0,27,21.2,0.3,18.0,4.0,51,-9013,450786,22623,31636
391,157,8,2,True,2021-01-13T20:15:00Z,1,1,18,90,0,0,0,1,0,0,0,0,0,0,0,13,22.4,0.9,8.0,3.1,51,46958,688944,83483,36525
391,186,15,2,False,2021-01-17T14:00:00Z,1,3,19,90,0,0,0,1,0,0,0,0,0,0,0,13,28.4,0.2,4.0,3.3,51,-66786,408581,10007,76793
391,198,11,1,True,2021-01-28T20:00:00Z,1,3,20,90,0,0,0,3,0,0,0,0,0,0,0,18,23.2,0.6,0.0,2.4,51,-53701,382961,6367,60068
391,200,3,0,False,2021-01-31T19:15:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-11257,373613,12508,23765
391,218,5,2,True,2021-02-04T20:00:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,11,44.4,0.1,3.0,4.8,50,-32185,341674,2965,35150
