element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
509,8,20,0,True,2020-09-14T17:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,51564,0,0
509,10,2,1,False,2020-09-21T17:00:00Z,1,0,2,59,0,0,0,1,0,0,0,0,0,0,0,8,13.6,0.3,1.0,1.5,45,-5634,53357,3691,9325
509,25,10,2,True,2020-09-27T11:00:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,0,0,12,22.8,0.4,2.0,2.5,45,-4191,51373,4301,8492
509,29,1,0,False,2020-10-04T13:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2374,50089,2578,4952
509,46,8,0,True,2020-10-18T11:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-3642,47413,2602,6244
509,54,11,1,False,2020-10-24T19:00:00Z,2,1,6,90,0,0,0,2,0,0,0,0,0,0,0,15,18.4,14.2,1.0,3.4,45,-4113,43424,651,4764
509,66,12,2,True,2020-10-31T12:30:00Z,0,1,7,64,0,0,0,1,0,0,0,0,0,0,0,9,16.4,5.1,0.0,2.2,45,-1699,42247,902,2601
509,71,5,0,False,2020-11-07T17:30:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-4405,37663,406,4811
509,86,19,2,True,2020-11-22T14:00:00Z,0,1,9,61,0,0,0,1,0,0,0,0,0,0,0,11,19.4,1.8,0.0,2.1,44,-1746,36314,694,2440
509,97,18,0,False,2020-11-28T20:00:00Z,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1831,34520,198,2029
509,105,9,0,True,2020-12-06T14:15:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2515,31926,45,2560
509,117,16,1,False,2020-12-13T12:00:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,0,0,8,8.8,1.3,0.0,1.0,43,-950,31258,304,1254
509,124,13,1,True,2020-12-17T20:00:00Z,2,3,13,90,0,0,0,3,0,0,0,0,0,0,0,18,24.0,30.2,0.0,5.4,43,-358,30989,364,722
509,129,3,2,False,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,11,16.4,1.3,0.0,1.8,43,279,31369,972,693
509,146,7,2,True,2020-12-26T20:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,0,13,12.8,2.9,8.0,2.4,43,1464,33052,2702,1238
509,150,4,2,False,2020-12-29T18:00:00Z,1,0,16,66,0,0,0,1,0,0,0,0,0,0,0,14,10.2,22.9,0.0,3.3,43,1768,34919,2822,1054
509,162,6,1,False,2021-01-02T15:00:00Z,2,0,17,90,0,0,0,2,0,0,0,0,0,0,0,15,14.4,12.3,0.0,2.7,43,-8,34916,1456,1464
509,174,14,9,True,2021-01-12T18:00:00Z,1,0,18,90,0,0,1,0,0,0,0,0,0,0,3,32,29.6,28.1,2.0,6.0,43,2359,55821,5250,2891
509,186,17,0,True,2021-01-17T14:00:00Z,1,3,19,90,0,0,0,3,0,0,0,1,0,0,0,7,12.8,11.7,17.0,4.2,43,1423,38653,5317,3894
509,192,13,2,False,2021-01-27T20:15:00Z,1,2,20,90,0,0,0,1,0,0,0,0,0,0,0,13,29.6,0.7,0.0,3.0,43,-760,38443,2350,3110
509,205,12,2,False,2021-01-30T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,0,0,0,0,7,11.8,0.4,0.0,1.2,43,-299,38303,1451,1750
509,214,18,2,True,2021-02-02T18:00:00Z,2,1,22,90,0,0,0,1,0,0,0,0,0,0,0,17,30.4,7.9,14.0,5.2,43,3848,42542,5392,1544
