element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
253,3,10,4,True,2020-09-12T16:30:00Z,4,3,1,32,0,1,0,1,0,0,0,0,0,0,0,13,4.2,1.0,2.0,0.7,55,0,76886,0,0
253,11,5,3,False,2020-09-20T15:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,0,0,21,21.4,1.1,0.0,2.3,55,-5274,97248,11366,16640
253,23,1,2,True,2020-09-28T19:00:00Z,3,1,3,90,0,0,0,1,0,0,0,0,0,0,0,18,16.6,15.3,0.0,3.2,55,-5113,101976,13226,18339
253,30,2,2,False,2020-10-04T18:15:00Z,7,2,4,90,0,0,0,7,0,0,0,0,0,0,0,12,19.2,13.3,0.0,3.3,55,4503,113304,17540,13037
253,41,7,1,False,2020-10-17T11:30:00Z,2,2,5,90,0,0,0,2,0,0,0,1,0,0,0,9,13.6,1.9,3.0,1.9,55,-10195,107480,7735,17930
253,54,15,2,True,2020-10-24T19:00:00Z,2,1,6,90,0,0,0,1,0,0,0,0,0,0,0,12,14.8,0.9,4.0,2.0,55,-640,111214,10448,11088
253,63,19,0,True,2020-10-31T17:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-15582,96669,5467,21049
253,75,12,0,False,2020-11-08T16:30:00Z,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-22355,74391,169,22524
253,83,9,3,True,2020-11-22T19:15:00Z,3,0,9,90,0,0,1,0,0,0,0,0,0,0,0,16,21.6,0.6,0.0,2.2,54,-9907,65006,199,10106
253,90,3,2,False,2020-11-28T12:30:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,17,15.6,10.1,0.0,2.6,54,2621,68979,4463,1842
253,103,20,3,True,2020-12-06T19:15:00Z,4,0,11,90,0,0,1,0,0,0,0,0,0,0,0,15,17.4,0.2,0.0,1.8,54,905,70562,3563,2658
253,112,8,4,False,2020-12-13T16:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,2,25,28.6,1.8,0.0,3.0,54,1676,73000,4318,2642
253,127,17,2,True,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,1,0,0,0,0,0,0,0,23,21.2,1.9,0.0,2.3,54,1731,75198,3773,2042
253,132,6,3,False,2020-12-19T12:30:00Z,0,7,14,90,0,0,1,0,0,0,0,0,0,0,0,20,28.2,0.8,0.0,2.9,54,1559,77333,3996,2437
253,144,18,2,True,2020-12-27T16:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,14,13.2,4.5,1.0,1.9,54,1897,80307,6163,4266
253,155,14,2,False,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,1,0,0,0,14,24.0,1.8,0.0,2.6,54,-152,80450,2269,2421
253,166,16,2,False,2021-01-04T20:00:00Z,1,0,17,90,0,0,0,1,0,0,0,0,0,0,0,12,17.2,2.4,0.0,2.0,54,-1041,79897,2393,3434
253,184,13,2,True,2021-01-17T16:30:00Z,0,0,19,90,0,0,1,0,0,0,0,1,0,0,0,13,26.6,0.9,2.0,3.0,54,463,79221,2411,1948
253,177,4,1,True,2021-01-21T20:00:00Z,0,1,19,90,0,0,0,1,0,0,0,1,0,0,0,10,5.8,2.1,4.0,1.2,54,463,79221,2411,1948
253,198,17,0,False,2021-01-28T20:00:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1410,78133,2175,3585
253,208,19,0,False,2021-01-31T16:30:00Z,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-4633,73583,378,5011
253,216,3,0,True,2021-02-03T20:15:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3936,69704,45,3981
