element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
323,6,19,6,False,2020-09-12T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,27,26.0,0.1,2.0,2.8,50,0,88657,0,0
323,16,3,1,True,2020-09-20T13:00:00Z,0,3,2,90,0,0,0,3,0,0,0,0,0,0,0,11,9.8,0.2,0.0,1.0,50,487,102812,9576,9089
323,26,17,2,False,2020-09-27T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,18,25.8,10.4,2.0,3.8,50,-15084,88610,2860,17944
323,36,4,2,True,2020-10-03T19:00:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,0,0,12,27.0,0.0,0.0,2.7,50,-3290,89113,5526,8816
323,45,13,0,True,2020-10-17T19:00:00Z,1,4,5,90,0,0,0,4,0,0,0,0,0,0,0,19,27.0,0.3,0.0,2.7,50,-7617,82472,3198,10815
323,58,20,2,False,2020-10-25T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,11,17.8,1.2,0.0,1.9,50,-7959,75073,1078,9037
323,65,7,3,True,2020-11-01T14:00:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,1,19,33.6,10.4,0.0,4.4,49,-3843,72134,1212,5055
323,76,16,0,False,2020-11-06T20:00:00Z,2,0,8,90,0,0,0,2,0,0,0,1,0,0,0,11,20.8,0.6,0.0,2.1,49,-1757,71215,2512,4269
323,85,5,-1,True,2020-11-21T12:30:00Z,0,2,9,90,0,0,0,2,1,0,0,0,0,0,0,2,7.2,0.4,2.0,1.0,49,-6144,65007,1060,7204
323,92,6,5,False,2020-11-27T20:00:00Z,0,2,10,90,0,0,1,0,0,0,0,1,0,0,0,22,17.0,0.2,0.0,1.7,49,-2310,63676,2452,4762
323,116,18,0,True,2020-12-12T15:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,1812,62960,5005,3193
323,122,10,0,False,2020-12-16T18:00:00Z,5,2,13,90,0,0,0,5,0,0,0,0,0,0,0,12,18.8,0.0,0.0,1.9,48,-3886,58530,700,4586
323,135,8,1,True,2020-12-19T20:00:00Z,1,1,14,45,0,0,0,1,0,0,0,0,0,0,0,6,15.2,0.1,2.0,1.7,48,-69,58929,2966,3035
323,145,12,1,False,2020-12-26T20:00:00Z,2,0,15,90,0,0,0,2,0,0,0,0,0,0,0,18,22.6,0.8,0.0,2.3,48,-8413,50256,160,8573
323,155,11,9,True,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,3,33,26.0,0.8,2.0,2.9,47,-1478,49106,511,1989
323,165,9,1,True,2021-01-03T14:15:00Z,1,2,17,90,0,0,0,2,0,0,0,0,0,0,0,19,18.8,15.3,0.0,3.4,47,2464,51869,4092,1628
323,174,15,2,False,2021-01-12T18:00:00Z,1,0,18,76,0,0,0,1,0,0,0,0,0,0,0,12,18.8,14.3,4.0,3.7,47,37930,238159,49509,11579
323,179,1,0,False,2021-01-18T20:00:00Z,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-17002,69609,2015,19017
323,99,2,0,False,2021-01-23T20:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-17002,69609,2015,19017
323,196,10,0,True,2021-01-26T18:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-15622,57201,182,15804
323,203,7,0,False,2021-01-30T12:30:00Z,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-7277,50103,34,7311
323,217,6,0,True,2021-02-02T20:15:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-4430,45777,50,4480
