element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
440,6,14,1,True,2020-09-12T19:00:00Z,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2.4,0.3,0.0,0.3,65,0,32372,0,0
440,9,1,1,False,2020-09-19T19:00:00Z,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,2.0,0.2,64,-7444,29179,1761,9205
440,28,20,0,True,2020-09-27T18:00:00Z,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-6676,23999,1381,8057
440,34,9,0,False,2020-10-04T11:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-3879,21034,935,4814
440,47,17,0,False,2020-10-18T15:30:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-5888,15443,476,6364
440,57,12,0,True,2020-10-24T11:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-2845,12783,35,2880
440,63,11,0,False,2020-10-31T17:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-1317,11558,13,1330
440,78,8,0,True,2020-11-07T20:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-695,10889,13,708
440,86,15,0,False,2020-11-22T14:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-544,10353,3,547
440,98,2,0,True,2020-11-30T20:00:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-190,10188,4,194
440,108,13,0,True,2020-12-05T17:30:00Z,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-170,10021,22,192
440,113,10,0,False,2020-12-11T20:00:00Z,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-139,9889,10,149
440,125,6,0,True,2020-12-16T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-85,9806,2,87
440,131,5,0,False,2020-12-21T20:00:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-61,9751,2,63
440,147,3,0,True,2020-12-27T14:15:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-135,9619,4,139
440,156,16,0,False,2020-12-29T18:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-58,9564,2,60
440,163,7,0,False,2021-01-01T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-51,9519,6,57
440,187,4,0,True,2021-01-16T15:00:00Z,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-24,9398,4,28
440,175,18,0,True,2021-01-19T18:00:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-24,9398,4,28
440,195,6,0,False,2021-01-26T18:00:00Z,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-59,9340,1,60
440,208,11,0,True,2021-01-31T16:30:00Z,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-28,9315,0,28
440,209,2,0,False,2021-02-03T20:15:00Z,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-38,9276,0,38
440,221,8,0,False,2021-02-06T17:30:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-47,9229,0,47
440,238,15,0,True,2021-02-15T18:00:00Z,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-45,9183,0,45
