element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
282,18,20,6,False,2020-09-21T19:15:00Z,1,3,2,90,1,0,0,1,0,0,0,1,0,0,1,28,47.0,13.8,45.0,10.6,95,29514,153900,45431,15917
282,24,9,0,True,2020-09-27T15:30:00Z,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,95,-14146,151721,74643,88789
282,33,10,0,False,2020-10-03T16:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94,-75534,75463,988,76522
282,44,1,0,True,2020-10-17T16:30:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,94,-16611,61917,493,17104
282,57,19,0,False,2020-10-24T11:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,93,-6119,56383,211,6330
282,66,15,0,False,2020-10-31T12:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,93,-3214,53446,169,3383
282,75,11,9,True,2020-11-08T16:30:00Z,1,1,8,90,1,0,0,1,0,0,0,0,0,0,3,24,32.2,13.7,23.0,6.9,93,5108,59961,6986,1878
282,87,17,2,False,2020-11-21T17:30:00Z,2,0,9,90,0,0,0,2,0,0,0,0,0,0,0,4,3.4,16.3,59.0,7.9,93,20495,85996,26778,6283
282,95,4,5,True,2020-11-28T15:00:00Z,5,0,10,90,0,1,1,0,0,0,0,0,0,0,0,12,15.6,23.4,18.0,5.7,93,21196,111244,29643,8447
282,104,8,2,True,2020-12-05T15:00:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,7,4.0,21.9,8.0,3.4,94,105167,234699,115353,10186
282,115,13,2,False,2020-12-12T17:30:00Z,0,0,12,90,0,0,1,0,0,0,0,0,0,0,0,3,8.6,13.3,12.0,3.4,93,-68288,146037,6659,74947
282,128,18,2,True,2020-12-15T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,6,7.2,12.8,28.0,4.8,93,13256,166983,30298,17042
282,136,16,0,False,2020-12-19T15:00:00Z,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,92,-34660,129197,4970,39630
282,145,14,0,True,2020-12-26T20:00:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,91,-46137,83167,3104,49241
282,161,5,0,False,2021-01-03T16:30:00Z,1,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,91,-4883,69528,131,5014
282,178,3,1,True,2021-01-13T18:00:00Z,1,0,18,23,0,0,0,0,0,0,0,0,0,0,0,1,2.2,1.5,0.0,0.4,91,24341,121669,30322,5981
282,185,6,2,True,2021-01-17T19:15:00Z,4,0,19,90,0,0,1,0,0,0,0,0,0,0,0,16,10.4,27.8,27.0,6.5,91,13192,109790,24289,11097
282,380,2,4,True,2021-01-20T18:00:00Z,2,0,19,31,0,1,0,0,0,0,0,0,0,0,0,10,0.0,10.9,19.0,2.9,91,13192,109790,24289,11097
282,193,18,1,False,2021-01-26T20:15:00Z,0,5,20,30,0,0,0,0,0,0,0,0,0,0,0,3,2.8,14.1,6.0,2.3,91,60037,171356,75695,15658
282,205,15,9,True,2021-01-30T15:00:00Z,1,0,21,90,1,0,1,0,0,0,0,0,0,0,3,32,36.4,16.1,56.0,10.9,91,19519,191419,51970,32451
282,210,4,9,False,2021-02-03T18:00:00Z,0,2,22,90,1,0,1,0,0,0,0,0,0,0,3,37,36.0,6.3,61.0,10.3,92,94446,289705,106264,11818
282,223,11,4,False,2021-02-07T16:30:00Z,1,4,23,18,0,1,0,0,0,0,0,0,0,0,0,13,18.6,11.1,0.0,3.0,92,42018,333956,66594,24576
282,235,17,2,True,2021-02-13T17:30:00Z,3,0,24,78,0,0,1,0,0,0,0,0,0,0,0,14,1.8,9.5,42.0,5.3,92,87710,434483,141284,53574
282,153,7,5,False,2021-02-17T20:15:00Z,1,3,24,90,0,1,0,1,0,0,0,0,0,0,0,21,20.6,19.7,58.0,9.8,92,87710,434483,141284,53574
