element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
401,4,7,0,True,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,6161,0,0
401,17,16,0,False,2020-09-20T11:00:00Z,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-943,6639,403,1346
401,26,14,0,True,2020-09-27T13:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-970,6203,335,1305
401,35,13,0,False,2020-10-04T15:30:00Z,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-488,6039,311,799
401,47,19,0,True,2020-10-18T15:30:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-511,5806,224,735
401,52,4,0,False,2020-10-26T20:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-256,5724,180,436
401,67,3,0,True,2020-11-01T19:15:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-207,5661,152,359
401,77,18,0,False,2020-11-08T12:00:00Z,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-180,5567,142,322
401,87,12,0,True,2020-11-21T17:30:00Z,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-150,5586,165,315
401,91,5,0,False,2020-11-29T16:30:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-127,5545,108,235
401,106,1,0,True,2020-12-06T16:30:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-129,5493,80,209
401,110,6,0,False,2020-12-13T14:15:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-105,5457,98,203
401,127,11,0,False,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-22,5501,106,128
401,137,9,0,True,2020-12-20T14:15:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-59,5493,117,176
401,148,20,0,False,2020-12-27T19:15:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-67,5571,159,226
401,167,10,0,True,2021-01-02T12:30:00Z,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-41,5598,80,121
401,157,8,0,True,2021-01-13T20:15:00Z,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-57,5724,146,203
401,186,15,0,False,2021-01-17T14:00:00Z,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-45,5672,53,98
401,198,11,0,True,2021-01-28T20:00:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-79,5699,79,158
401,200,3,0,False,2021-01-31T19:15:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-44,5709,42,86
401,218,5,0,True,2021-02-04T20:00:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-88,5645,27,115
401,227,18,0,True,2021-02-07T12:00:00Z,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-216,5430,0,216
401,235,12,0,False,2021-02-13T17:30:00Z,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-163,5266,0,163
401,247,19,0,False,2021-02-21T12:00:00Z,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-95,5175,0,95
401,257,4,0,True,2021-02-28T14:00:00Z,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-78,5103,0,78
401,321,8,0,False,2021-03-04T18:00:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-78,5103,0,78
401,266,6,0,True,2021-03-07T19:15:00Z,4,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-51,5051,0,51
401,269,1,0,False,2021-03-14T16:30:00Z,2,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-42,5011,0,42
