element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
243,3,10,2,True,2020-09-12T16:30:00Z,4,3,1,90,0,0,0,3,0,0,0,0,0,0,0,9,15.8,23.0,35.0,7.4,55,0,120632,0,0
243,11,5,3,False,2020-09-20T15:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,0,0,7,2.4,5.3,29.0,3.7,55,-13907,121913,7259,21166
243,23,1,2,True,2020-09-28T19:00:00Z,3,1,3,90,0,0,0,1,0,0,0,0,0,0,0,11,9.4,15.8,9.0,3.4,55,-15437,111048,6340,21777
243,30,2,2,False,2020-10-04T18:15:00Z,7,2,4,90,0,0,0,7,0,0,0,0,0,0,0,12,11.6,4.6,0.0,1.6,54,387,116057,13643,13256
243,41,7,1,False,2020-10-17T11:30:00Z,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,3,2.4,0.4,0.0,0.3,54,-12925,105170,5101,18026
243,54,15,2,True,2020-10-24T19:00:00Z,2,1,6,90,0,0,0,1,0,0,0,0,0,0,0,16,15.4,15.8,9.0,4.0,54,-9821,96966,2509,12330
243,63,19,2,True,2020-10-31T17:30:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,15,7.6,6.8,0.0,1.4,53,-5076,93303,2717,7793
243,75,12,2,False,2020-11-08T16:30:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,0,0,14,9.8,3.7,0.0,1.4,53,-5552,88404,2077,7629
243,83,9,3,True,2020-11-22T19:15:00Z,3,0,9,90,0,0,1,0,0,0,0,0,0,0,0,10,6.8,2.0,0.0,0.9,53,-1516,88526,4705,6221
243,90,3,2,False,2020-11-28T12:30:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,10,3.4,4.1,4.0,1.2,53,1323,90909,5304,3981
243,103,20,8,True,2020-12-06T19:15:00Z,4,0,11,90,1,0,1,0,0,0,0,0,0,0,0,32,41.6,13.3,7.0,6.2,53,-1575,89932,4186,5761
243,112,8,6,False,2020-12-13T16:30:00Z,1,1,12,90,0,1,0,1,0,0,0,0,0,0,1,23,7.6,4.4,8.0,2.0,53,13343,105559,16817,3474
243,127,17,2,True,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,1,0,0,0,0,0,0,0,15,12.2,21.8,4.0,3.8,53,12351,118433,16591,4240
243,132,6,3,False,2020-12-19T12:30:00Z,0,7,14,68,0,0,1,0,0,0,0,0,0,0,0,13,5.4,3.8,0.0,0.9,53,9600,128969,15623,6023
243,144,18,2,True,2020-12-27T16:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,14,18.6,41.8,6.0,6.6,53,8799,139507,19816,11017
243,155,14,1,False,2020-12-30T20:00:00Z,0,0,16,22,0,0,0,0,0,0,0,0,0,0,0,3,3.0,12.5,6.0,2.2,53,-2584,137235,5549,8133
243,166,16,2,False,2021-01-04T20:00:00Z,1,0,17,90,0,0,0,1,0,0,0,0,0,0,0,14,8.0,6.4,22.0,3.6,53,-8334,129494,4179,12513
243,184,13,3,True,2021-01-17T16:30:00Z,0,0,19,88,0,0,1,0,0,0,0,0,0,0,0,9,11.8,14.9,16.0,4.3,53,669,120492,7358,6689
243,177,4,2,True,2021-01-21T20:00:00Z,0,1,19,90,0,0,0,1,0,0,0,0,0,0,0,14,9.6,29.8,14.0,5.3,53,669,120492,7358,6689
243,198,17,2,False,2021-01-28T20:00:00Z,1,3,20,90,0,0,0,1,0,0,0,0,0,0,0,16,7.8,5.1,1.0,1.4,53,-7669,112456,2413,10082
243,208,19,9,False,2021-01-31T16:30:00Z,1,3,21,90,1,0,0,1,0,0,0,0,0,0,2,33,43.0,14.8,18.0,7.6,53,-6923,105907,1001,7924
243,216,3,1,True,2021-02-03T20:15:00Z,0,1,22,63,0,0,0,1,0,0,0,1,0,0,0,-2,0.0,2.4,0.0,0.0,53,1829,108548,4966,3137
243,223,12,2,True,2021-02-07T16:30:00Z,1,4,23,90,0,0,0,4,0,0,0,0,0,0,0,14,5.8,3.8,0.0,1.0,53,-5039,103942,1410,6449
243,234,9,2,False,2021-02-13T12:30:00Z,3,1,24,86,0,0,0,3,0,0,0,0,0,0,0,19,6.2,2.2,2.0,1.0,53,-4545,99885,2025,6570
