element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
403,4,7,0,True,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,0,55175,0,0
403,17,16,0,False,2020-09-20T11:00:00Z,2,5,2,45,0,0,0,1,0,0,0,1,0,0,0,2,1.8,11.8,8.0,2.2,69,-10831,45404,741,11572
403,26,14,3,True,2020-09-27T13:00:00Z,1,1,3,76,0,0,1,0,0,0,0,0,0,0,0,8,12.6,34.5,35.0,8.2,69,-5057,42371,1653,6710
403,35,13,0,False,2020-10-04T15:30:00Z,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-2478,40903,1507,3985
403,47,19,0,True,2020-10-18T15:30:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-5742,35234,294,6036
403,52,4,1,False,2020-10-26T20:00:00Z,0,1,6,11,0,0,0,0,0,0,0,0,0,0,0,4,5.2,11.8,21.0,3.8,69,-2144,33449,250,2394
403,67,3,1,True,2020-11-01T19:15:00Z,2,1,7,26,0,0,0,0,0,0,0,0,0,0,0,2,5.6,25.6,5.0,3.6,69,-858,32928,291,1149
403,77,18,1,False,2020-11-08T12:00:00Z,0,1,8,26,0,0,0,0,0,0,0,0,0,0,0,3,3.4,1.9,8.0,1.3,69,-595,32522,378,973
403,87,12,6,True,2020-11-21T17:30:00Z,2,0,9,25,1,0,0,0,0,0,0,0,0,0,0,19,38.8,0.7,17.0,5.7,69,-631,32222,375,1006
403,91,5,1,False,2020-11-29T16:30:00Z,0,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2,0.0,0.2,69,880,33515,1567,687
403,106,1,2,True,2020-12-06T16:30:00Z,2,0,11,71,0,0,1,0,0,0,0,1,0,0,0,0,0.0,2.3,2.0,0.0,69,-525,33165,572,1097
403,110,6,1,False,2020-12-13T14:15:00Z,1,1,12,23,0,0,0,1,0,0,0,0,0,0,0,7,1.6,11.1,0.0,1.3,69,771,34235,1626,855
403,127,11,3,False,2020-12-16T20:00:00Z,2,1,13,57,0,1,0,1,0,0,0,1,0,0,0,20,24.8,24.1,0.0,4.9,69,552,34925,1576,1024
403,137,9,1,True,2020-12-20T14:15:00Z,0,2,14,48,0,0,0,1,0,0,0,0,0,0,0,6,13.8,0.7,0.0,1.5,69,1078,36214,1910,832
403,148,20,0,False,2020-12-27T19:15:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-2755,33456,422,3177
403,167,10,0,True,2021-01-02T12:30:00Z,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-820,31540,33,853
403,157,8,0,True,2021-01-13T20:15:00Z,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-888,30642,55,943
403,186,15,0,False,2021-01-17T14:00:00Z,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-283,30425,23,306
403,198,11,0,True,2021-01-28T20:00:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-426,30005,26,452
403,200,3,0,False,2021-01-31T19:15:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-212,29802,22,234
403,218,5,0,True,2021-02-04T20:00:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-205,29606,17,222
