element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
446,5,9,2,True,2020-09-13T13:00:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,3,4.8,12.8,9.0,2.7,55,0,37744,0,0
446,12,7,7,False,2020-09-19T11:30:00Z,5,2,2,70,1,0,0,5,0,0,0,0,0,0,0,26,47.6,3.6,36.0,8.7,55,-4989,34399,1716,6705
446,27,5,2,True,2020-09-26T16:30:00Z,3,3,3,73,0,0,0,2,0,0,0,0,0,0,0,5,12.0,20.2,12.0,4.4,55,8010,45313,16876,8866
446,37,16,2,False,2020-10-04T11:00:00Z,2,0,4,90,0,0,0,2,0,0,0,0,0,0,0,6,10.0,1.9,6.0,1.8,55,8349,54990,15433,7084
446,48,4,3,True,2020-10-19T16:30:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,4,6.0,15.8,19.0,4.1,55,-6729,48038,3995,10724
446,51,3,2,False,2020-10-26T17:30:00Z,1,1,6,62,0,0,0,1,0,0,0,0,0,0,0,3,6.0,14.2,2.0,2.2,55,-5674,42658,1260,6934
446,61,8,2,False,2020-11-02T17:30:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,5,10.4,2.7,22.0,3.5,55,-3967,39147,1297,5264
446,77,17,1,True,2020-11-08T12:00:00Z,0,1,8,23,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.7,2.0,0.2,55,-6551,32568,323,6874
446,84,13,2,False,2020-11-21T20:00:00Z,1,0,9,61,0,0,0,1,0,0,0,0,0,0,0,10,7.6,2.9,18.0,2.9,54,-5035,27607,484,5519
446,97,15,0,True,2020-11-28T20:00:00Z,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1291,26831,1103,2394
446,107,6,1,True,2020-12-06T12:00:00Z,1,5,11,45,0,0,0,1,0,0,0,0,0,0,0,1,4.6,6.1,0.0,1.1,53,-3278,23367,338,3616
446,116,14,0,False,2020-12-12T15:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1890,21743,191,2081
446,128,12,2,False,2020-12-15T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,10,21.6,1.6,0.0,2.3,52,-1378,20425,309,1687
446,138,2,2,True,2020-12-20T19:15:00Z,0,3,14,77,0,0,0,1,0,0,0,0,0,0,0,9,4.2,2.3,0.0,0.7,52,-878,19605,242,1120
446,144,11,2,False,2020-12-27T16:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,6,11.0,1.1,4.0,1.6,52,-1037,18579,156,1193
446,158,10,2,True,2020-12-29T18:00:00Z,0,5,16,72,0,0,0,5,0,0,0,0,0,0,0,4,6.6,2.1,19.0,2.8,52,-398,18253,244,642
446,168,1,1,True,2021-01-02T20:00:00Z,0,4,17,45,0,0,0,2,0,0,0,0,0,0,0,3,0.0,0.5,2.0,0.2,51,-677,17603,191,868
446,188,20,0,False,2021-01-16T12:30:00Z,2,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-82,16751,546,628
446,175,19,0,False,2021-01-19T18:00:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-82,16751,546,628
446,193,12,0,True,2021-01-26T20:15:00Z,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-884,15795,111,995
446,207,8,0,True,2021-01-30T15:00:00Z,2,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-620,15212,75,695
446,214,15,0,False,2021-02-02T18:00:00Z,2,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-421,14815,62,483
